LOCALIDADES,San Miguel Agua Bendita,Buenavista,San Lorenzo Querndaro,Guarda la Lagunita (Las Canoas),San Jernimo de los Jarros,San Isidro Boxipe,San Jernimo Bonchete,San Antonio Villalongn,San Francisco Curungueo,San Juan Jalpa Centro,Pursima Concepcin Mayorazgo (Mayorazgo),Senguio,Sitio Ejido,Ejido Loma de Malacota (Loma de Malacota),Tzintzingareo,San Felipe los Alzati (Colonia Nueva),Jalpa de los Baos,Tuzantla,Santa Cruz Bombatevi,Barrio San Joaqun la Cabecera,Barrio de San Pedro la Cabecera,San Sebastin Buenos Aires (San Sebastin),La Puerta del Pilar,Barrio San Joaqun el Junco,San Juan,Zacazonapan,Bombatevi Ejido (Ejido Santa Cruz Bombatevi),Manzana de San Luis,Irimbo,San Juan Xoconusco,San Lucas Ocotepec,Cieneguillas de Guadalupe,San Agustn Citlali,Tecoac (Santa Mara Nativitas),San Ildefonso Tultepec (Centro),Santa Ana la Ladera,San Felipe Santiago,San Lorenzo Malacota,San Lorenzo Toxico,San Felipe Santiago,Dolores Hidalgo,San Marcos de la Loma,Mextepec (Ex-Hacienda Mextepec),San Jernimo Ixtapantongo,Tlalpujahua de Rayn,San Antonio de las Huertas,Barrio Cuarto (La Loma),San Agustn de las Palmas (San Agustn),Benito Jurez,Santiago Puriatzcuaro,Emilio Portes Gil,Santiago Coachochitln,Manzana Tercera de Santa Cruz Tepexpan,San Lucas Totolmaloya,Ocampo,Guadalupe Cachi,Villa Victoria,Santa Clara de Jurez,San Juan de las Manzanas,Pueblo Nuevo,Los Reyes,Agostitln,Villa de Acambay de Ruz Castaeda,Santa Mara del Llano,Calvario del Carmen,Contepec,San Pedro del Rosal,San Matas Grande,San Cristbal los Baos,San Felipe del Progreso,San Ildefonso,Pueblo Nuevo,La Magdalena,Santa Ana Ixtlahuaca (Santa Ana Ixtlahuacingo),Tungareo,Mineral de Angangueo,Manzana Cuarta de Santa Cruz Tepexpan,San Antonio Enchisi,San Agustn Mextepec,San Pedro el Alto,Santiago Casandeje,San Bartolo Cuitareo,San Simn de la Laguna,Jungapeo de Jurez,San Juan Coajomulco,San Miguel la Labor,Colorines,El Oro de Hidalgo,San Miguel Tenochtitln,Santiago Acutzilapan,San Nicols Guadalupe,Santa Mara Citendeje,Rincn de Nicols Romero (Cedros Tercera Manzana),Ixtlahuaca de Rayn,San Francisco Tepeolulco,La Concepcin los Baos,Emiliano Zapata (Santo Domingo),San Lorenzo Tlacotepec,Jocotitln,Santo Domingo de Guzmn,Tuxpan,San Pedro los Baos,San Bartolo del Llano,Temascalcingo de Jos Mara Velasco,Atlacomulco de Fabela,Valle de Bravo,Maravato de Ocampo,Ciudad Hidalgo,Herica Zitcuaro, 
Pursima Concepcin Mayorazgo (Mayorazgo),16.272,56,74.953,17.833,33.246,21.287,16.301,129.471,73.809,10.511,0,57.572,40.032,57.239,88.263,69.949,18.929,132.259,22.308,38.8,39.649,56.05,42.893,36.527,81.401,141.047,27.215,55.528,73.42,73.305,5.446,58.077,44.513,24.283,81.356,26.389,51.301,63.628,44.444,50.055,13.108,34.294,38.376,39.787,37.129,23.623,46.683,79.356,104.71,101.945,16.096,30.063,44.826,73.86,54.277,31.785,44.988,55.588,29.418,63.302,43.86,107.187,43.977,45.886,12.181,49.433,29.336,92.231,16.862,8.263,34.551,51.91,41.176,24.467,72.714,46.822,43.231,31.363,16.034,20.005,17.25,90.025,72.047,85.322,14.096,17.521,102.579,29.365,15.656,35.681,13.1,21.682,82.64,37.73,27.76,21.422,33.246,25.202,37.395,39.039,75.426,25.077,40.812,37.426,21.165,89.116,71.03,83.288,77.677, 
Senguio,55.497,30.943,21.683,40.755,83.418,76.441,72.945,76.201,62.8,65.665,57.572,0,132.976,107.915,17.54,59.024,91.244,121.334,71.962,102.573,102.573,105.997,116.712,102.218,127.812,197.835,71.485,47.802,17.597,88.941,62.459,127.047,117.103,74.23,122.037,97.858,113.503,114.304,110.82,98.004,68.017,80.161,145.472,105.092,33.847,75.186,96.63,108.88,93.785,53.453,71.005,52.34,107.028,114.541,36.089,100.463,111.002,105.535,107.584,113.978,94.536,51.938,84.658,100.764,62.119,38.217,79.283,36.408,90.863,73.812,103.449,92.591,63.452,79.376,29.795,39.096,105.433,83.316,70.943,74.914,65.479,34.202,118.458,52.677,68.162,67.459,148.99,40.083,79.24,85.628,63.038,66.851,71.716,100.239,59.774,88.686,103.38,74.089,88.071,97.803,39.883,89.052,102.852,59.702,71.494,145.816,21.439,27.465,66.752, 
Sitio Ejido,38.661,128.743,108.898,53.948,90.173,25.124,28.345,164.633,72.995,39.288,40.032,132.976,0,60.299,116.596,68.505,37.578,115.556,71.712,40.303,42.618,76.296,24.781,28.158,39.856,107.345,72.963,94.945,109.366,62.121,35.53,20.309,20.356,68.485,127.104,29.467,51.468,59.518,23.814,32.114,35.541,12.76,2.118,27.95,84.429,20.189,68.693,49.717,88.007,136.125,32.5,68.661,44.993,119.608,83.574,33.372,19.071,73.851,29.345,66.362,45.227,107.756,89.725,37.517,37.931,114.414,68.443,118.209,43.377,41.271,26.182,97.658,79.774,23.77,137.695,93.992,42.837,64.501,31.597,30.033,49.934,113.988,42.408,85.891,46.78,27.927,72.94,76.665,48.34,75.333,31.35,54.366,61.39,29.361,60.444,38.524,24.878,74.927,57.672,30.67,88.03,38.467,32.443,76.024,53.849,55.414,133.131,107.251,61.331, 
Ejido Loma de Malacota (Loma de Malacota),71.093,87.76,130.25,72.654,49.19,37.058,49.348,184.768,124.278,38.589,57.239,107.915,60.299,0,117.586,125.439,28.76,172.49,36.054,18.437,17.313,19.145,84.419,20.524,101.114,155.823,37.305,107.321,124.328,119.054,44.771,79.946,37.085,32.828,91.446,30.463,7.944,7.123,30.802,89.047,38.335,52.209,68.263,23.323,83.131,53.247,15.507,106.197,144.941,131.268,35.991,59.78,13.998,83.95,140.508,21.092,78.709,19.549,27.567,7.537,12.576,164.69,54.067,10.03,63.973,78.756,30.607,136.683,30.85,46.029,21.755,62,72.708,35.665,102.037,98.615,15.439,28.844,40.754,37.48,48.297,140.933,98.888,142.825,47.662,51.206,121.651,62.787,40.13,25.061,57.592,40.108,118.324,19.053,50.313,26.338,23.363,39.269,17.025,17.786,144.964,23.7,15.552,67.142,34.092,103.892,100.353,134.196,118.265, 
Tzintzingareo,69.653,41.074,12.95,55.43,80.294,101.14,102.821,59.222,53.16,88.99,88.263,17.54,116.596,117.586,0,49.302,102.736,111.612,83.454,114.065,114.065,117.489,106.99,113.71,118.09,188.113,82.977,44.317,8.962,79.219,91.671,117.325,128.595,85.722,133.529,109.35,124.995,125.796,122.312,88.282,92.343,125.939,135.75,116.584,56.706,129.712,108.122,99.158,84.063,26.712,95.331,63.832,118.52,126.033,32.604,111.955,101.28,117.027,119.076,125.47,106.028,44.078,96.15,112.256,77.224,55.96,90.775,19.457,102.355,85.304,114.941,104.083,74.944,115.331,26.636,35.611,116.925,94.808,95.269,99.24,76.971,26.342,108.736,42.955,79.654,79.526,139.268,60.917,90.732,97.12,76.895,78.343,61.993,111.731,71.266,100.178,114.872,85.581,99.563,109.295,30.161,100.544,114.344,71.194,82.986,136.094,17.736,13.63,57.03, 
San Felipe los Alzati (Colonia Nueva),58.248,89.243,34.946,56.537,146.732,91.365,90.521,90.681,5.07,78.042,69.949,59.024,68.505,125.439,49.302,0,131.836,64.793,139.13,107.721,110.037,143.715,60.171,109.357,71.271,141.294,140.381,26.54,40.961,32.4,73.972,70.506,103.675,135.903,194.522,120.31,118.886,126.936,105.101,41.463,79.53,79.12,88.931,106.452,58.098,82.893,136.112,52.339,37.244,67.72,82.518,110.822,112.411,187.026,15.169,116.929,54.461,141.27,116.538,133.781,125.111,39.35,157.143,115.832,67.199,102.95,135.861,49.804,83.284,74.685,110.588,165.076,121.934,94.406,73.626,25.587,110.255,131.919,82.456,97.255,83.672,45.583,61.917,17.486,80.518,85.596,92.449,64.334,82.078,142.751,66.87,88.104,15.174,108.882,118.256,129.414,113.316,142.345,125.091,112.906,19.624,126.776,110.263,118.184,137.168,89.275,64.726,38.846,10.211, 
Jalpa de los Baos,32.784,71.089,113.579,34.344,32.519,13.087,19.975,168.097,128.396,8.578,18.929,91.244,37.578,28.76,102.736,131.836,0,175.226,31.343,25.291,25.291,41.055,52.327,24.936,103.85,158.559,32.594,72.039,119.617,121.79,17.271,82.682,39.821,28.116,86.735,10.251,36.221,37.022,33.538,91.783,8.71,36.66,34.977,27.81,53.803,25.989,33.452,108.933,147.677,126.557,8.491,55.069,29.746,79.239,70.788,12.891,81.445,38.986,17.772,36.696,17.254,167.426,49.356,23.482,28.691,74.045,28.074,131.972,4.201,11.818,26.167,57.289,67.997,15.084,97.326,63.333,28.151,24.132,10.645,11.851,20.481,136.222,101.624,145.561,17.327,23.706,124.387,43.942,15.238,34.964,27.733,21.264,121.06,22.957,31.468,3.115,17.435,34.558,14.235,20.521,147.7,6.77,25.57,62.431,29.381,106.628,95.642,129.485,121.001, 
Tuzantla,111.134,151.553,97.256,118.847,193.783,138.416,137.572,152.991,61.352,148.515,132.259,121.334,115.556,172.49,111.612,64.793,175.226,0,184.861,153.452,155.768,189.446,105.902,155.088,117.002,92.216,186.112,90.846,105.267,54.997,146.799,116.237,149.406,181.634,240.253,166.041,164.617,172.667,150.832,87.194,147.458,124.851,134.662,152.183,122.404,128.624,181.843,73.838,28.286,132.026,147.513,175.128,158.142,232.757,79.475,162.66,100.192,187.001,162.269,179.512,170.842,103.657,202.874,161.563,138.661,167.256,181.592,114.11,179.656,138.991,156.319,210.807,186.24,140.137,137.932,89.893,155.986,177.65,146.61,142.986,147.978,109.889,107.648,64.199,144.824,131.327,82.409,128.64,188.937,188.482,133.884,188.915,60.043,154.613,199.12,175.145,159.047,188.076,170.822,158.637,83.931,172.507,155.994,182.49,182.899,135.006,129.032,103.152,55.641, 
Santa Cruz Bombatevi,36.162,51.807,94.297,37.723,12.328,29.271,30.952,148.815,135.69,17.121,22.308,71.962,71.712,36.054,83.454,139.13,31.343,184.861,0,34.665,34.665,38.208,96.529,34.31,113.224,167.933,3.291,74.714,91.587,131.164,19.79,92.056,49.195,6.441,59.641,29.95,45.595,46.396,42.912,101.157,20.461,47.013,80.373,37.184,50.39,36.342,28.841,118.307,157.051,98.527,23.449,20.104,39.12,52.145,73.463,32.555,90.819,37.746,39.676,46.07,26.628,125.928,22.262,32.856,31.366,46.015,11.494,103.942,22.955,13.422,35.541,21.774,38.151,31.82,69.296,66.008,37.525,15.408,23.387,27.358,15.69,108.192,110.998,126.667,15.055,32.739,133.761,30.18,7.523,17.839,32.285,7.501,130.434,32.331,15.417,20.778,35.472,3.242,20.163,29.895,113.873,21.144,34.944,34.401,2.437,116.002,67.612,101.455,130.375, 
Barrio San Joaqun la Cabecera,48.529,82.418,140.184,54.215,43.848,17.907,34.63,195.919,104.281,33.247,38.8,102.573,40.303,18.437,114.065,107.721,25.291,153.452,34.665,0,1.282,37.642,63.626,3.067,80.321,135.03,34.308,91.957,121.331,98.261,31.927,59.153,16.292,29.83,88.449,14.02,13.526,21.576,10.009,68.254,27.379,34.891,47.47,6.263,80.134,35.929,30.039,85.404,124.148,128.271,24.338,56.783,7.051,80.953,119.715,10.639,57.916,35.197,10.248,27.708,19.038,143.897,51.07,10.472,48.609,75.759,29.788,154.35,27.852,43.032,4.298,59.003,69.711,18.347,99.04,83.251,4.895,25.846,23.435,20.162,45.3,150.129,78.095,122.032,44.665,38.362,100.858,59.79,37.133,36.678,40.274,37.111,97.531,2.592,47.316,23.341,7.026,36.272,19.018,6.833,124.171,20.703,4.903,64.145,31.095,83.099,97.356,143.392,97.472, 
