LOCALIDADES,Coxcatln,Chalma,Papatlatla,Tezapotla,San Martn Chalchicuautla,Tancanhuitz,Colonia las Flores,Tehuetln,Tampamoln Corona,Nuevo Tampan,Tampate,Chapulhuacanito,Tambaca,Chililico,Chalchocoyo,Coacuilco,Ahuatitla,Agua Buena,Huautla,Matlapa,Huitzitzilingo,Ixcatepec,Chapulhuacn,Calnali,Santa Teresa,Ozuluama de Mascareas,Molango,Tamasopo,Jacala,Potrero del Llano,Chicontepec de Tejeda,Citlaltpec,Tamaln,Tamiahua,Tepetzintla,Tlanchinol,Chinampa de Gorostiza,Jaltocn,San Vicente Tancuayalab,Xilitla,Orizatln,Axtla de Terrazas,El Higo,Tanquin de Escobedo,Platn Snchez,Jalpan de Serra,Tempoal de Snchez,Tamun,Naranjos,Cerro Azul,Tamazunchale,Tantoyuca,Huejutla de Reyes,Pnuco,Ciudad Valles, 
Tampate,25.193,130.604,158.633,84.907,78.41,12.874,189.832,130.707,30.314,110.863,0,81.503,91.538,116.89,57.886,103.64,89.23,112.667,146.063,49.38,87.798,150.569,109.102,180.482,157.136,181.485,168.236,107.346,160.788,185.023,185.107,170.121,179.743,255.274,168.39,135.127,188.018,106.401,69.217,46.072,93.943,40.058,85.324,51.776,142.446,128.214,91.525,63.914,224.283,195.829,66.055,116.269,120.02,133.804,53.141, 
Chapulhuacanito,65.103,63.937,91.966,31.173,32.668,75.351,168.148,64.04,70.715,158.538,81.503,0,182.885,36.043,55.315,22.793,8.383,204.014,65.216,54.379,7.087,113.985,77.084,99.635,76.289,202.244,87.389,198.693,132.529,148.438,104.26,133.537,143.159,191.658,131.806,54.28,151.434,25.554,114.903,87.431,13.096,71.488,123.217,97.918,61.599,169.573,91.308,155.261,158.5,159.244,38.264,80.518,39.173,154.563,144.488, 
Tambaca,104.859,206.932,238.299,164.573,158.076,92.541,267.665,210.373,109.98,103.191,91.538,182.885,0,196.912,137.908,183.662,169.252,12.537,226.085,129.402,167.82,222.524,189.124,260.504,237.158,224.43,248.258,13.786,240.81,256.978,243.767,242.076,251.698,298.219,240.345,215.149,259.973,186.423,111.712,126.094,173.965,120.08,128.269,128.444,193.279,199.786,162.581,73.665,267.228,267.784,146.077,188.224,211.469,163.975,40.417, 
Chililico,100.49,13.878,43.895,66.561,44.927,110.738,118.089,15.277,106.102,168.012,116.89,36.043,196.912,0,68.975,31.975,35.271,217.674,31.312,68.039,33.839,78.094,90.745,65.731,42.385,166.353,84.888,212.353,146.189,112.547,70.356,97.646,107.268,155.767,95.915,51.78,115.543,16.263,108.927,101.091,23.489,85.148,87.326,125.861,25.708,183.233,55.417,148.124,122.609,123.353,51.924,44.627,3.281,118.672,158.148, 
Chalchocoyo,41.486,82.7,110.729,37.003,30.387,51.734,186.911,82.803,47.098,129.345,57.886,55.315,137.908,68.975,0,62.289,47.879,159.444,104.712,9.809,46.447,142.716,67.751,139.131,115.785,176.263,126.885,154.123,119.436,177.17,143.756,162.268,171.89,250.052,160.537,93.776,180.165,65.05,63.995,42.861,52.592,26.918,80.102,47.01,69.057,125.003,83.672,102.541,219.061,187.976,24.703,108.416,78.669,128.582,99.918, 
Coacuilco,87.24,54.422,77.323,53.31,54.804,97.488,158.633,27.067,92.852,180.675,103.64,22.793,183.662,31.975,62.289,0,22.032,204.435,60.725,54.8,20.6,109.494,77.506,76.093,71.798,197.753,64.596,199.114,132.95,143.947,99.769,129.046,138.668,187.167,127.315,31.487,146.943,21.064,115.324,87.852,10.25,71.909,118.726,98.339,57.108,169.994,86.817,155.682,154.009,154.753,38.685,76.027,34.682,150.072,144.909, 
Ahuatitla,72.83,48.996,77.025,38.901,40.395,83.078,153.207,49.099,78.442,166.265,89.23,8.383,169.252,35.271,47.879,22.032,0,203.617,64.45,53.982,1.682,113.219,76.687,76.358,75.523,201.478,64.861,198.296,132.132,147.672,103.494,132.771,142.393,190.892,131.04,31.752,150.668,24.788,114.506,87.034,12.33,71.091,122.451,97.521,60.833,169.176,90.542,154.864,157.734,158.478,37.867,79.752,38.407,153.797,144.091, 
Agua Buena,125.988,228.061,259.428,185.702,179.205,113.67,288.794,231.502,131.109,124.32,112.667,204.014,12.537,217.674,159.444,204.435,203.617,0,238.313,141.63,180.048,234.752,201.352,272.732,249.386,236.658,260.486,5.702,253.038,269.206,255.995,254.304,263.926,310.447,252.573,227.377,272.201,198.651,123.94,138.322,186.193,132.308,140.497,140.672,205.507,186.378,174.809,85.893,279.456,280.012,158.305,200.452,223.697,176.203,52.645, 
Huautla,129.663,43.39,35.455,95.733,75.935,139.911,91.833,37.624,135.275,197.524,146.063,65.216,226.085,31.312,104.712,60.725,64.45,238.313,0,97.315,63.115,49.275,120.021,57.397,34.051,133.323,91.622,241.629,175.465,83.741,25.975,68.827,78.449,126.948,67.109,74.305,86.724,45.539,137.057,130.367,52.765,114.424,115.456,153.991,53.838,212.509,83.547,176.254,93.79,94.547,81.2,51.842,32.143,146.802,187.424, 
Matlapa,32.98,81.764,109.793,36.067,29.57,43.228,185.975,81.867,38.592,128.528,49.38,54.379,129.402,68.039,9.809,54.8,53.982,141.63,97.315,0,38.959,145.993,60.263,131.643,108.297,175.445,119.397,144.854,111.948,180.446,136.268,165.545,175.167,223.666,163.814,86.288,183.442,57.562,63.177,33.592,45.104,17.649,79.284,46.192,93.607,115.734,82.854,101.422,190.508,191.252,17.215,112.526,71.181,127.764,90.649, 
