LOCALIDADES,La Ermita (Nueva Jerusaln),Tecario,Zipiajo,Huaniqueo de Morales,Erongarcuaro,Santa Mara Huiramangaro (San Juan Tumbio),Urutaro,San Nicols Obispo,Quinceo,Arantepacua,Fraccionamiento Puerta del Sol,Campestre Tarmbaro,Jarcuaro,Ziracuaretiro,Puerto de Buenavista (Lzaro Crdenas),Zirahun,Galeana,Huiramba,Colonia Vista Bella (Lomas del Peaje),Zurumbeneo,Copndaro de Galeana,Naranja de Tapia,Tirndaro,Nocuptaro de Morelos,Sevina,Turcuaro,Tzintzuntzan,Ihuatzio,Santa Rosa (Santa Brbara),Toreo Bajo (El Toreo Bajo),Carcuaro de Morelos,Tjaro de los Izquierdo,Coeneo de la Libertad,San Antonio,Real Hacienda (Metrpolis),San Lorenzo,Villachuato,Cuto del Porvenir,Jess del Monte (La Capilla),Villa Jimnez,Villas de la Loma,San ngel Zurumucapio,Villa Magna,Cuanajo,Comachun,Santa Fe de la Laguna,San Francisco Pichtaro,Angamacutiro de la Unin,Capula,Caltzontzin,Charo,Panindcuaro,Fraccionamiento Metrpolis II,Fraccionamiento Galaxia Tarmbaro,Tarmbaro,Pedernales,La Aldea,Taretan,Villa Madero,Acuitzio del Canje,Huandacareo,Indaparapeo,Puruarn,Capcuaro,Tingambato,Fraccionamiento Misin del Valle,lvaro Obregn,Opopeo,Nahuatzen,Conjunto Habitacional Villas del Pedregal,Morelos,Chern,Santa Clara del Cobre,Quiroga,Nuevo San Juan Parangaricutiro,Ario de Rosales,Paracho de Verduzco,Tacmbaro de Codallos,Purundiro,Zacapu,Ptzcuaro,Uruapan,Morelia, 
Puerto de Buenavista (Lzaro Crdenas),111.866,99.677,66.8,74.487,80.959,84.669,23.029,26.833,120.732,116.218,16.204,19.597,77.611,103.968,0,84.99,129.227,44.743,65.699,31.279,38.06,87.554,84.252,131.561,108.061,112.12,59.362,69.982,119.869,115.85,137.636,27.84,84.487,22.462,13.86,137.791,125.929,26.796,14.679,108.096,22.775,99.002,28.068,57.483,106.758,83.842,94.921,125.878,32.644,113.022,21.658,101.831,15.193,15.83,20.9,101.872,12.078,114.282,59.286,41.365,53.493,31.183,110.004,136.786,98.931,15.769,28.817,76.524,111.943,24.808,19.092,117.468,81.179,52.416,131.221,107.248,153.203,84.488,113.727,93.007,66.199,119.711,10.804, 
Zirahun,64.239,37.432,86.914,97.557,31.447,10.749,92.268,74.981,46.812,42.298,85.443,88.836,28.099,33.087,84.99,0,104.879,40.852,22.635,100.522,107.325,51.026,74.912,120.825,32.894,36.953,36.871,34.135,47.039,45.754,126.901,97.105,83.128,71.952,81.264,64.961,101.581,96.061,80.799,70.004,77.528,26.172,64.848,32.626,31.591,58.103,19.754,101.53,58.834,40.192,94.185,77.483,82.597,83.234,90.165,76.85,84.606,41.452,74.956,57.035,122.758,103.711,66.987,63.956,23.764,88.297,98.082,19.295,36.776,68.76,68.083,42.301,15.616,44.273,58.391,39.494,54.344,59.466,115.006,56.845,24.262,46.881,74.596, 
Galeana,183.445,152.177,71.801,60.225,85.568,94.637,116.27,103.069,96.493,91.979,122.925,118.972,92.8,128.143,129.227,104.879,0,115.458,117.248,154.751,69.754,54.945,56.772,218.1,85.997,95.039,94.768,108.024,155.873,151.932,224.175,114.006,71.089,109.95,120.737,135.233,20.127,102.958,133.25,36.356,105.951,146.374,95.344,124.048,94.985,84.546,85.008,30.353,99.92,153.05,148.414,28.955,122.07,122.306,114.042,184.976,121.047,161.654,145.825,127.904,55.678,129.676,175.486,128.609,110.03,120.962,122.686,128.073,82.082,99.256,111.577,85.378,132.728,88.842,152.296,158.797,111.303,167.592,11.883,48.465,111.792,150.34,125.149, 
Huiramba,88.124,56.855,70.731,61.944,38.137,41.847,52.021,34.734,77.91,73.396,45.196,48.589,34.789,61.146,44.743,40.852,115.458,0,25.375,60.324,67.127,61.999,58.697,107.033,67.737,71.796,32.395,29.658,79.545,75.526,113.108,56.907,66.913,31.754,41.066,97.467,112.188,55.863,40.601,80.611,37.33,58.678,24.65,17.159,66.434,58.287,54.597,112.137,18.636,72.698,53.987,88.09,42.399,43.036,49.967,77.344,44.408,73.958,34.758,16.837,82.56,63.513,85.476,96.462,58.607,48.099,57.884,36.2,71.619,28.562,27.885,77.144,40.855,26.861,90.897,66.924,112.879,59.96,102.569,67.452,25.875,79.387,34.398, 
Colonia Vista Bella (Lomas del Peaje),65.49,34.221,72.52,82.901,25.347,23.63,72.977,55.69,59.693,55.179,66.152,69.545,21.999,42.929,65.699,22.635,117.248,25.375,0,82.304,89.107,64.467,61.165,129.013,45.889,49.948,23.124,20.388,57.696,53.678,135.088,78.887,69.381,53.734,63.046,75.618,114.657,77.843,62.581,83.08,59.31,36.829,46.63,10.131,44.586,60.755,32.749,114.606,40.616,50.85,75.967,90.559,64.379,65.016,71.947,67.728,66.388,52.11,56.738,38.817,104.54,85.493,58.238,74.613,36.759,70.079,79.864,10.825,49.771,50.542,49.865,55.296,15.48,30.526,69.049,41.549,91.03,50.344,119.478,69.921,5.603,57.539,56.378, 
Zurumbeneo,128.714,116.525,113.796,99.142,97.807,101.517,27.292,43.681,137.58,133.066,32.371,23.073,94.459,120.816,31.279,100.522,154.751,60.324,82.304,0,51.339,100.833,97.531,144.841,121.341,125.4,72.641,83.262,133.149,129.13,150.916,41.119,97.766,35.741,27.139,151.071,139.208,40.075,27.958,121.375,36.054,112.282,41.347,70.763,120.038,97.121,108.201,139.157,45.923,126.302,6.337,115.11,28.472,29.109,34.179,115.152,19.114,127.562,72.566,54.645,66.772,17.173,123.284,150.066,112.211,21.322,24.768,89.804,125.223,38.087,32.372,130.748,94.459,65.695,144.501,120.528,166.483,97.768,127.006,106.286,79.479,132.991,24.084, 
Copndaro de Galeana,135.518,123.328,66.657,52.003,104.61,108.32,25.102,50.485,144.383,139.869,31.758,27.804,101.262,127.619,38.06,107.325,69.754,67.127,89.107,51.339,0,87.124,83.822,154.257,130.757,134.816,80.143,92.678,142.565,138.546,160.332,22.357,62.876,43.243,29.088,160.487,104.318,11.308,41.601,86.485,43.556,121.698,48.849,80.179,129.454,98.116,117.617,104.267,53.425,135.718,58.537,80.22,30.421,30.657,22.393,124.568,29.398,136.978,81.982,64.061,29.925,39.799,132.7,159.482,121.627,29.313,32.809,99.22,114.521,45.589,41.788,117.817,103.875,73.197,153.917,129.944,151.75,107.184,59.364,98.594,88.895,142.407,33.5, 
Naranja de Tapia,129.957,98.689,28.827,39.47,32.08,40.784,92.918,65.271,42.64,38.126,86.093,89.486,39.312,74.29,87.554,51.026,54.945,61.999,64.467,100.833,87.124,0,2.617,163.945,32.456,41.499,40.613,53.869,110.706,78.48,170.02,97.971,24.439,75.578,82.34,90.066,51.7,84.699,84.572,20.123,71.579,92.219,60.972,69.893,41.444,30.391,31.467,51.649,54.958,106.239,94.675,27.602,83.673,84.31,91.031,130.821,85.096,107.499,91.67,73.749,81.053,104.201,121.331,83.442,56.489,90.2,98.948,73.918,28.542,64.884,77.206,31.838,78.573,34.687,107.129,104.642,66.136,113.437,65.125,6.964,57.637,105.173,74.49, 
Tirndaro,126.655,95.387,25.525,36.168,28.778,43.338,89.616,61.969,45.194,40.68,82.791,86.184,36.01,96.276,84.252,74.912,56.772,58.697,61.165,97.531,83.822,2.617,0,161.328,34.613,43.656,37.995,51.251,110.468,80.637,167.403,95.354,21.822,72.961,79.723,91.857,53.491,82.082,81.955,21.914,68.962,89.601,58.355,67.275,43.601,27.774,33.624,53.44,52.341,103.621,92.058,29.393,81.056,81.693,88.414,128.203,82.479,104.881,89.053,71.132,78.436,101.584,118.713,85.233,58.646,87.583,96.331,71.3,30.699,62.267,74.589,33.995,75.955,32.07,108.92,102.024,67.927,110.819,66.916,8.755,55.019,106.964,71.873, 
Nocuptaro de Morelos,84.951,77.943,173.373,166.686,144.516,148.226,138.839,121.552,184.289,179.775,132.014,135.407,141.168,167.525,131.561,120.825,218.1,107.033,129.013,144.841,154.257,163.945,161.328,0,176.158,180.217,140.816,138.079,187.966,183.947,6.507,149.225,175.29,124.071,133.384,205.888,220.565,148.181,132.918,188.988,129.647,167.099,133.027,125.579,174.855,166.664,163.018,220.514,127.013,181.119,146.304,196.467,134.717,135.354,142.285,73.597,136.725,182.379,78.274,96.688,174.878,155.83,81.729,204.883,167.028,140.416,150.202,107.185,180.04,131.679,120.202,185.565,112.817,135.238,199.318,98.219,221.3,64.232,235.112,175.829,134.296,187.808,126.716, 
Sevina,96.999,70.192,60.138,70.781,30.836,22.653,115.339,98.052,16.396,11.882,108.514,111.907,35.425,56.158,108.061,32.894,85.997,67.737,45.889,121.341,130.757,32.456,34.613,176.158,0,15.407,59.563,56.827,52.832,59.963,175.997,119.796,55.39,94.643,103.955,32.191,81.569,118.752,103.49,49.992,100.219,48.863,87.539,55.317,9.525,61.342,12.95,81.518,81.525,50.009,116.876,57.471,105.288,105.925,112.856,113.054,107.297,64.143,97.647,79.726,145.449,126.402,99.297,25.568,37.972,110.988,120.773,51.605,3.847,91.451,90.774,9.372,47.926,66.965,49.254,71.804,21.415,95.67,94.994,36.833,46.954,47.299,97.287, 
Turcuaro,101.058,74.251,69.181,79.824,42.83,26.711,119.398,102.111,9.927,5.413,112.573,115.966,39.483,55.112,112.12,36.953,95.039,71.796,49.948,125.4,134.816,41.499,43.656,180.217,15.407,0,64.003,61.267,46.363,42.422,180.437,124.236,66.028,99.083,108.395,25.722,92.207,123.192,107.93,60.63,104.659,53.303,91.979,59.757,5.362,71.98,16.991,92.156,85.965,43.54,121.316,68.109,109.728,110.365,117.296,117.494,111.737,60.4,102.087,84.166,149.889,130.842,103.737,19.099,42.412,115.428,125.213,56.045,13.396,95.891,95.214,18.921,52.366,71.405,42.785,76.244,33.163,100.11,105.632,47.471,51.394,40.83,101.727, 
Tzintzuntzan,88.614,57.346,50.04,60.683,32.994,37.867,64.726,37.079,73.93,69.416,57.901,61.294,29.646,58.235,59.362,36.871,94.768,32.395,23.124,72.641,80.143,40.613,37.995,140.816,59.563,64.003,0,13.21,72.427,72.761,141.197,70.464,46.211,48.071,54.833,90.349,91.487,69.421,57.065,59.91,44.072,51.56,33.465,29.234,58.597,37.585,46.76,91.436,27.451,65.58,67.168,67.389,56.166,56.803,63.524,90.162,57.589,66.84,62.847,44.926,96.118,76.694,80.672,89.344,50.77,62.693,71.441,33.259,63.782,37.377,49.699,69.307,37.914,7.356,83.779,63.983,105.761,72.778,96.308,46.751,16.978,72.269,46.983, 
Ihuatzio,85.878,54.61,63.296,73.939,30.258,35.131,77.26,50.335,71.194,66.68,70.435,73.828,26.91,55.499,69.982,34.135,108.024,29.658,20.388,83.262,92.678,53.869,51.251,138.079,56.827,61.267,13.21,0,69.691,70.025,138.461,82.26,59.467,57.107,66.419,87.613,104.743,81.216,65.954,73.166,57.328,48.824,46.721,26.498,55.861,50.841,44.024,104.692,40.707,62.844,79.34,80.645,67.752,68.389,75.32,87.426,69.761,64.104,60.111,42.19,107.913,88.866,77.936,86.608,48.034,73.452,83.237,30.523,61.046,50.633,53.238,66.571,35.178,20.612,81.043,61.247,103.025,70.042,109.564,60.007,14.242,69.533,59.751, 
