LOCALIDADES,La Gloria,Vargas,Ixhuacn de los Reyes,Pacho Nuevo,Tolome,Medelln,Juchique de Ferrer,Chichiquila,Ayahualulco,Lomas de Ro Medio Cuatro,Ro Medio [Granja],Acatln,Jalcomulco,Fraccionamiento las Fuentes,Yecuatla,Mozomboa,Mesa de Guadalupe,Los Robles,La Gloria,Chiconquiaco,Palma Sola,Miahuatln,Oasis,Tlalixcoyan,Las Amapolas Dos,Fraccionamiento el Campanario,Fraccionamiento Costa Dorada,La Concepcin,Mahuixtln,Totutla,Jilotepec,Delfino Victoria (Santa Fe),Jamapa,Los Altos,Rafael Lucio,Actopan,San Antonio Tenextepec,Villa Emiliano Zapata (El Carrizal),La Estanzuela,Tlaltetela,Cosautln de Carvajal,Ignacio de la Llave,Los Torrentes,Alto Lucero,Las Bajadas,Boca del Monte,Rafael J. Garca,Pacho Viejo,El Castillo,Paso del Toro,Ursulo Galvn,Manlio Fabio Altamirano,Emilio Carranza,Antn Lizardo,Fraccionamiento Arboledas San Ramn,Guadalupe Victoria,Cabezas,Colinas de Santa Fe,Lomas Verdes,Coacoatzintla,San Marcos de Len (San Marcos),Paso de Ovejas,Tuzamapan,Vega de Alatorre,Rinconada,Jacarandas,Colonia Santa Brbara,Piedras Negras,Naolinco de Victoria,Zempoala,Las Vigas de Ramrez,Boca del Ro,Teocelo,El Tejar,Soledad de Doblado,Fraccionamiento Geovillas los Pinos,Fraccionamiento Puente Moreno,Las Amapolas,Xico,Jos Cardel,Banderilla,Valente Daz,Misantla,Huatusco de Chicuellar,Coatepec,Veracruz,Xalapa-Enrquez,Veracruz, 
Ro Medio [Granja],165.552,17.937,134.025,90.123,32.45,33.122,121.326,119.333,175.796,2.377,0,134.309,79.678,92.787,145.2,52.552,89.988,46.133,36.106,141.371,78.32,133.565,2.924,67.507,12.549,1.825,2.127,115.284,103.424,102.916,108.358,13.901,34.961,166.057,109.86,76.602,156.339,62.881,92.308,126.625,131.598,88.977,1.877,104.327,13.129,107.449,152.413,96.876,96.528,39.99,33.273,24.897,110.791,38.293,22.211,99.393,29.038,7.321,91.475,115.096,109.665,40.012,101.053,119.136,49.945,88.304,89.741,80.182,125.96,39.059,130.768,21.701,116.951,24.107,36.562,2.867,21.857,10.791,113.558,27.655,105.947,7.531,151.385,113.108,103.257,19.055,93.268,11.779, 
Acatln,93.895,129.301,108.614,49.159,112.575,153.138,49.725,120.271,104.139,136.597,134.309,0,77.827,43.858,35.888,73.035,39.839,165.469,80.716,7.559,102.744,3.967,134.768,186.843,145.876,134.164,134.998,20.393,54.384,154.202,27.586,133.237,154.297,95.351,32.807,49.102,85.633,82.832,52.178,88.297,76.187,208.313,135.393,35.603,146.456,158.735,123.21,50.383,31.971,159.326,114.688,140.273,70.864,174.247,155.539,41.094,107.959,130.622,48.556,21.08,54.254,107.401,60.923,61.939,85.935,48.174,46.821,199.518,7.284,79.695,47.313,157.656,61.54,153.538,151.937,133.855,155.185,144.118,58.147,108.821,31.905,140.427,43.474,164.394,49.382,152.383,39.846,144.601, 
Jalcomulco,110.36,74.67,59.841,28.889,57.943,98.507,101.084,58.26,63.518,81.966,79.678,77.827,0,37.292,112.763,49.395,56.083,109.314,59.609,84.433,101.823,76.627,78.613,130.688,89.721,78.009,78.843,58.346,27.838,49.097,51.42,77.082,98.142,71.394,52.921,42.697,101.113,17.188,25.642,25.91,56.013,152.158,79.238,70.422,90.301,66.451,87.596,29.881,42.608,103.171,58.533,84.119,134.294,118.092,99.384,44.297,51.804,74.467,35.981,58.158,34.08,51.247,17.224,142.639,29.78,31.164,33.221,143.363,69.022,62.562,73.83,101.501,41.366,97.383,95.783,77.7,99.03,87.963,37.973,52.666,47.71,84.272,120.348,62.074,30.554,96.228,39.348,88.446, 
Fraccionamiento las Fuentes,82.401,87.779,44.615,9.384,71.053,111.616,92.45,80.192,48.292,95.075,92.787,43.858,37.292,0,83.917,69.504,44.846,121.743,72.038,55.587,114.252,47.781,91.042,143.117,102.15,90.438,91.272,29.5,22.29,70.481,22.574,89.511,110.571,81.984,24.075,43.8,72.266,39.106,11.174,47.293,42.286,164.587,91.667,46.757,102.73,115.009,109.843,14.139,13.762,115.6,70.962,96.547,146.723,130.521,111.813,14.316,64.233,86.896,3.452,29.312,20.353,63.675,19.919,155.068,42.209,7.17,4.459,155.792,40.176,74.991,44.983,113.93,27.639,109.812,108.211,90.129,111.459,100.392,24.246,65.095,18.864,96.701,91.502,120.668,15.481,108.657,10.502,100.875, 
Yecuatla,129.287,137.957,144.006,84.551,132.62,164.029,15.371,209.597,139.531,147.488,145.2,35.888,112.763,83.917,0,116.322,74.597,174.832,113.336,28.173,66.869,36.919,144.131,196.206,155.239,143.527,144.361,55.151,89.142,191.262,62.344,142.6,163.66,130.109,67.566,83.86,120.391,151.227,86.936,123.055,110.945,217.676,144.756,65.278,155.819,195.795,157.968,85.141,66.729,168.689,114.411,159.597,34.989,183.61,164.902,75.852,117.913,139.985,83.314,55.839,89.012,144.462,95.681,26.064,138.291,82.932,81.579,208.881,42.042,113.427,82.071,167.019,96.298,162.901,171.262,143.218,164.548,153.481,92.905,118.295,66.663,149.79,14.877,201.454,84.14,161.746,74.604,153.964, 
Mozomboa,144.188,45.309,112.661,68.759,39.972,71.381,93.692,116.949,154.432,54.84,52.552,73.035,49.395,69.504,116.322,0,37.98,82.18,20.684,76.721,49.504,68.915,51.479,103.554,62.587,50.875,51.709,62.105,83.686,98.61,68.921,49.948,71.008,146.319,90.122,24.594,136.601,36.679,72.57,122.319,111.86,125.024,52.104,52.318,63.167,103.143,148.107,77.138,58.288,76.037,21.759,66.945,81.974,90.958,72.25,79.655,25.261,47.333,71.737,72.221,89.927,51.81,81.315,90.319,27.461,68.566,70.003,116.229,63.46,13.172,111.03,74.367,97.213,70.249,78.61,50.566,71.896,60.829,93.82,25.643,86.209,57.138,122.568,108.802,83.519,69.094,73.53,61.312, 
Mesa de Guadalupe,109.225,84.98,79.233,44.101,68.253,108.817,77.901,128.818,82.91,92.276,89.988,39.839,56.083,44.846,74.597,37.98,0,123.87,50.211,44.409,88.752,36.603,93.169,145.244,104.277,92.565,93.399,29.793,48.389,112.603,36.609,91.638,112.698,102.878,41.83,18.597,93.16,43.533,43.089,79.208,70.192,166.714,93.794,20.702,104.857,117.136,130.737,44.388,25.976,117.727,56.613,98.675,121.222,132.648,113.94,38.072,66.36,89.023,37.65,39.909,48.259,65.803,51.834,129.567,44.336,39.085,37.732,157.919,31.148,49.19,65.877,116.057,55.545,111.939,110.339,92.256,113.586,102.519,52.152,67.222,39.758,98.828,80.324,122.795,43.387,110.784,31.947,103.002, 
Los Robles,196.427,40.363,164.9,120.998,50.186,13.287,152.201,139.797,206.671,35.159,46.133,165.469,109.314,121.743,174.832,82.18,123.87,0,75.198,180.463,117.412,172.657,48.516,29.264,41.893,48.718,53.789,154.376,142.516,128.249,147.45,42.71,31.564,205.149,148.952,115.694,195.431,101.973,131.4,151.958,170.69,50.734,54.184,143.419,40.182,102.629,177.746,135.968,135.62,17.055,72.365,43.6,149.883,32.969,26.405,138.485,68.13,49.413,130.567,154.188,148.757,65.127,140.145,158.228,89.037,127.396,128.833,41.939,165.052,78.151,169.86,26.77,156.043,24.412,56.058,52.646,28.31,42.018,152.65,66.747,145.039,39.764,190.477,138.441,142.349,37.141,132.36,42.553, 
La Gloria,146.722,28.863,115.195,71.293,23.526,54.935,90.706,100.503,156.966,38.394,36.106,80.716,59.609,72.038,113.336,20.684,50.211,75.198,0,84.17,48.134,76.364,33.659,85.734,44.767,33.055,33.889,93.158,81.298,80.79,86.232,32.128,53.188,143.931,87.734,32.043,134.213,40.755,70.182,104.499,109.472,107.204,34.284,59.767,45.347,85.323,130.287,74.75,74.402,58.217,6.456,49.125,80.604,73.138,54.43,77.267,7.441,29.513,69.349,92.97,87.539,33.99,78.927,88.949,27.819,66.178,67.615,98.409,70.909,4.234,108.642,56.547,94.825,52.429,60.79,32.746,54.076,43.009,91.432,7.823,83.821,39.318,121.198,90.982,81.131,51.274,71.142,43.492, 
Chiconquiaco,100.957,136.363,115.676,56.221,119.637,160.2,42.007,127.333,111.201,143.659,141.371,7.559,84.433,55.587,28.173,76.721,44.409,180.463,84.17,0,95.029,8.589,141.197,193.272,152.305,140.593,141.427,26.821,60.812,160.631,34.015,139.666,160.726,101.78,39.236,55.53,92.062,89.261,58.607,94.726,82.615,214.742,141.822,42.031,152.885,165.164,129.639,56.811,38.399,165.755,121.117,146.702,63.149,180.676,161.968,47.523,114.388,137.051,54.985,27.509,60.682,113.83,67.352,54.224,92.364,54.603,53.25,205.947,13.713,86.123,53.742,164.085,67.968,159.967,158.366,140.284,161.614,150.547,64.575,115.25,38.334,146.856,35.758,170.823,55.81,158.812,46.275,151.03, 
