LOCALIDADES,Jos Mara Pino Surez (Nuevo Nahuapa),Sentispac,Jess Mara,Mecatn,Rosa Blanca,Coamiles,La Labor,Guadalupe Victoria,Villa Jurez,Amatln de Caas,Cruz de Huanacaxtle,El Tuito,Pantanal,Pozo de Ibarra,Rosamorada,San Pedro Lagunillas,Jomulco,Yago,Las Palmas de Arriba,Jalcocotn,La Presa,San Cayetano,Santa Mara del Oro,San Vicente,Zacualpan,Jala,El Porvenir,Las Jarretaderas,Ahuacatln,Francisco I. Madero (Puga),Valle de Banderas,Mascota,Talpa de Allende,Tomatln,Las Juntas,La Peita de Jaltemba,Villa Hidalgo,San Blas,San Juan de Abajo,Buceras,Ruz,Las Varas,San Vicente,Compostela,Santiago Ixcuintla,Mezcales,Tuxpan,San Jos del Valle,Ixtln del Ro,Ixtapa,Xalisco,Puerto Vallarta,Tepic, 
Pantanal,256.034,89.655,211.298,52.616,90.844,82.427,26.669,98.9,95.72,121.156,137.307,210.872,0,89.624,93.538,54.014,73.483,61.476,122.877,42.329,67.313,6.474,41.847,87.478,78.434,71.557,150.602,149.478,77.31,23.949,151.22,244.659,273.392,264.339,153.384,89.932,72.146,83.892,122.902,139.6,73.671,69.646,150.026,34.161,71.866,146.164,85.6,153.145,81.188,157.46,5.688,163.601,13.684, 
Pozo de Ibarra,304.152,15.365,163.769,57.344,169.311,7.768,120.106,35.933,35.976,199.623,185.425,258.99,89.624,0,31.932,128.383,146.727,31.88,170.833,94.522,14.427,83.169,115.091,14.739,108.828,144.801,198.558,197.435,150.554,89.513,199.176,292.615,321.348,312.295,201.34,137.888,22.837,53.179,170.858,187.556,22.168,116.985,197.982,108.53,11.954,194.12,12.861,201.101,154.432,205.416,77.945,211.557,75.582, 
Rosamorada,340.695,60.221,163.084,87.854,173.225,24.566,124.02,72.523,66.286,203.537,221.968,295.533,93.538,31.932,0,138.978,157.322,39.92,207.841,105.117,44.313,93.764,125.686,27.975,141.091,155.396,235.565,234.442,161.149,100.108,236.183,329.622,358.355,349.302,238.347,174.895,59.377,89.719,207.866,224.563,25.127,154.609,234.989,119.125,42.545,231.127,27.908,238.108,165.027,242.423,88.54,248.564,86.177, 
San Pedro Lagunillas,241.157,134.598,256.241,97.559,73.344,127.37,44.564,136.139,140.663,87.284,122.43,195.995,54.014,128.383,138.978,0,56.664,109.437,107.948,90.29,115.274,64.133,48.122,135.439,63.505,54.738,135.673,134.549,43.848,77.67,136.291,229.73,258.463,249.41,138.455,75.003,120.107,121.016,107.973,124.671,121.632,54.717,135.097,19.937,119.827,131.235,133.561,138.216,56.596,142.531,53.649,148.672,61.518, 
Jomulco,293.192,152.942,274.585,115.903,19.121,145.714,50.936,162.187,159.007,55.476,174.465,248.03,73.483,146.727,157.322,56.664,0,122.557,158.522,103.41,128.394,68.922,49.965,148.559,114.079,2.412,186.247,185.123,11.856,81.238,186.865,194.13,190.348,299.984,189.029,125.577,133.227,144.973,158.547,175.245,134.752,105.291,185.671,70.511,132.947,181.809,146.681,188.79,16.416,193.105,72.752,199.246,70.972, 
Yago,308.633,38.095,148.568,55.792,141.163,30.867,91.958,41.185,44.16,171.475,189.906,263.471,61.476,31.88,39.92,109.437,122.557,0,176.189,73.465,22.233,62.112,94.034,36.077,109.439,123.744,203.913,202.79,129.497,68.456,204.531,297.97,326.703,317.65,206.695,143.243,28.029,58.371,176.214,192.911,18.53,122.957,203.337,87.473,20.465,199.475,34.199,206.456,133.375,210.771,56.888,216.912,54.525, 
Las Palmas de Arriba,128.841,175.865,325.104,126.548,177.128,196.233,161.454,135.762,181.93,130.961,44.577,83.679,122.877,170.833,207.841,107.948,158.522,176.189,0,114.867,157.181,129.996,161.918,201.302,63.03,157.933,37.529,28.195,147.043,143.533,45.729,68.099,96.832,137.127,24.63,88.071,149.012,120.541,23.242,37.901,187.495,53.621,36.952,91.011,159.073,31.198,199.424,40.072,159.791,21.181,119.512,36.389,127.381, 
Jalcocotn,248.201,100.737,222.38,11.694,122.016,93.509,72.811,56.839,106.802,152.328,129.474,203.039,42.329,94.522,105.117,90.29,103.41,73.465,114.867,0,78.535,41.86,73.782,98.7,52.922,103.493,142.652,141.529,109.246,48.123,143.27,236.709,265.442,256.389,145.434,81.982,70.106,41.635,114.952,131.65,84.893,61.079,142.076,67.222,83.088,138.214,96.822,145.195,113.124,149.51,36.637,155.651,34.192, 
La Presa,290.515,19.459,168.738,43.24,147,28.868,97.795,22.296,25.524,177.312,171.788,245.353,67.313,14.427,44.313,115.274,128.394,22.233,157.181,78.535,0,67.148,99.07,34.048,95.192,128.78,184.922,183.799,134.533,73.492,185.54,278.979,307.712,298.659,187.704,124.252,9.201,39.543,157.222,173.92,27.05,103.349,184.346,92.509,2.683,180.484,32.17,187.465,138.411,191.78,61.924,197.921,59.561, 
San Cayetano,263.329,89.384,211.027,52.344,87.528,82.156,21.534,98.628,95.449,117.84,144.602,218.167,6.474,83.169,93.764,64.133,68.922,62.112,129.996,41.86,67.148,0,35.373,87.18,86.23,65.083,158.398,157.275,70.836,19.859,159.016,252.456,281.189,272.136,161.181,97.729,71.848,83.594,130.699,147.396,73.373,77.443,157.822,41.958,71.568,153.96,85.302,160.941,74.714,165.257,11.373,171.398,9.593, 
