LOCALIDADES,Churintzio,Fraccionamiento Ex-Hacienda el Refugio,Santa Rita,Zopoco,Fraccionamiento San Miguel,San Miguel de la Paz,Betania,Santa Cruz el Grande,Portezuelo,Chaparaco,Cocucho,Cumuatillo,Tanaco,El Platanal (La Planta),Laguna Larga de Corts,Pamatcuaro,La Sauceda,Villamar,Tlazazalca,La Luz,Atecucario de la Constitucin (Atecuario),Paso de Hidalgo (Paso de lamos),Penjamillo de Degollado,Ocumicho,Patamban (Patambam),Emiliano Zapata,Huncito,Nurio,Fraccionamiento Vistas del Maguey,La Palma (La Palma de Jess),Ichn,Charapan,Valle de Jurez,La Cantera,Santa Mara del Valle,La Rinconada,Briseas de Matamoros,Ixtln de los Hervores,Ecuandureo,Numarn,San Jos de Gracia,San Francisco de Ass,Cuitzeo (La Estancia),Angahuan,Chavinda,Carapan,Cojumatln de Rgules,Santa Clara de Valladares,Tingindn,Chilchota,La Ribera,Mazamitla,Jess Mara,Ario de Rayn (Ario Santa Mnica),Tarecuato,San Jos de Gracia,Tanhuato de Guerrero,San Ignacio Cerro Gordo,Pajacuarn,Santa Ana Pacueco,Santiago Tangamandapio,Vista Hermosa de Negrete,Degollado,Ayotln,Venustiano Carranza,Tototln,Capilla de Guadalupe,Cotija de la Paz,Purpero de Echiz,Tanganccuaro de Arista,Peribn de Ramos,Jamay,Yurcuaro,Jiquilpan de Jurez,Atotonilco el Alto,La Barca,Los Reyes de Salgado,Arandas,Jacona de Plancarte,Sahuayo de Morelos,La Piedad de Cabadas,Ocotln,Zamora de Hidalgo, 
Cocucho,70.86,39.929,133.75,42.899,108.068,131.668,149.257,142.501,116.704,40.42,0,119.963,27.776,39.424,113.663,23.058,66.19,89.741,50.387,93.96,56.09,100.777,79.933,17.175,25.218,93.115,44.859,9.168,134.797,128.839,54.75,10.505,115.907,41.743,181.672,54.918,103.418,91.035,73.715,91.82,161.685,152.844,137.509,22.869,70.368,53.499,132.123,46.327,46.144,39.443,116.229,154.694,165.136,52.137,48.931,143.172,107.512,175.213,95.492,103.694,53.502,93.061,120.71,147.435,126.527,150.862,185.351,75.337,59.809,29.509,47.262,123.195,114.991,107.598,137.433,103.272,49.375,174.433,51.62,114.172,102.62,134.246,45.538, 
Cumuatillo,80.848,82.425,46.271,106.466,23.007,42.432,66.356,53.265,33.803,80.279,119.963,0,136.133,85.026,89.743,99.06,54.935,23.212,94.322,21.899,73.595,20.734,108.35,100.469,90.628,37.405,105.282,125.986,48.278,20.868,118.605,111.769,60.016,74.155,95.153,65.428,16.545,43.362,63.699,98.915,75.166,66.325,45.056,124.454,38.925,116.014,29.579,89.763,76.564,99.866,52.221,69.807,85.389,66.187,62.429,58.285,43.504,88.694,14.191,91.549,63.289,27.46,79.648,67.413,6.565,64.957,98.832,64.263,105.802,87.861,105.511,30.742,50.983,23.919,50.914,19.338,95.18,87.914,75.729,16.196,90.475,41.793,72.305, 
Tanaco,62.858,51.35,146.051,24.919,119.489,149.17,161.558,161.088,129.005,51.842,27.776,136.133,0,42.999,116.602,50.407,69.765,93.316,55.929,97.535,59.665,104.352,72.781,44.997,49.83,96.69,38.559,18.796,157.066,132.414,35.506,39.658,148.477,66.954,203.941,58.493,106.993,94.61,92.264,97.789,183.954,175.113,166.788,44.019,73.943,34.255,135.698,73.676,73.493,20.556,118.462,158.269,169.386,55.712,74.142,146.747,111.087,197.482,99.067,111.935,69.357,96.636,124.96,151.685,130.102,173.131,207.62,102.686,45.026,34.277,68.412,152.91,116.535,111.173,159.702,106.847,75.29,196.702,55.195,117.747,112.002,165.842,49.113, 
El Platanal (La Planta),52.133,4.337,98.602,25.927,68.346,96.52,114.109,107.353,81.556,5.272,39.424,85.026,42.999,0,78.506,51.034,31.033,49.979,27.235,50.64,20.933,65.62,87.447,23.067,29.276,53.353,27.879,48.584,99.64,89.077,33.473,49.921,105.14,23.618,146.515,19.761,68.261,55.878,38.558,76.283,126.528,117.687,102.352,62.285,30.606,32.135,92.361,60.435,47.237,22.463,81.072,114.932,129.979,16.98,30.806,103.41,72.355,140.056,55.73,68.537,26.021,57.904,85.553,112.278,65.625,115.705,150.194,72.785,42.829,10.458,76.184,88.038,79.834,67.836,102.276,68.115,65.853,139.276,11.859,74.41,67.463,99.089,10.381, 
Laguna Larga de Corts,39.964,76.125,67.256,88.487,112.75,103.889,95.247,115.808,83.724,73.979,113.663,89.743,116.602,78.506,0,122.23,71.905,112.685,62.187,76.827,58.843,70.555,40.795,94.263,100.472,127.145,89.523,125.659,89.609,110.608,86.47,121.117,149.756,89.043,118.316,60.634,73.196,77.149,41.78,20.54,113.737,104.896,105.694,153.347,93.312,83.879,119.32,125.86,112.662,94.483,40.692,159.547,78.747,71.192,96.231,148.025,47.37,112.296,86.916,10.483,88.727,62.84,34.321,61.045,96.305,112.037,122.434,154.003,73.667,81.655,141.609,91.816,39.833,113.659,84.813,75.558,131.278,90.209,72.136,105.936,12.57,104.748,66.099, 
Pamatcuaro,82.478,51.547,145.33,54.517,82.38,141.492,165.415,152.325,132.862,52.038,23.058,99.06,50.407,51.034,122.23,0,77.808,69.57,62.005,85.514,67.708,112.395,91.551,30.65,23.29,65.9,56.477,31.936,147.331,98.908,62.071,13.537,93.677,46.222,194.206,66.536,115.598,102.653,85.333,103.438,174.219,165.378,144.11,26.222,65.48,60.733,102.192,23.729,23.914,51.061,127.847,103.852,176.754,55.168,38.956,113.241,119.13,187.747,102.981,115.312,57.636,104.679,132.328,159.053,93.84,164.01,197.885,53.107,71.427,41.127,33.187,129.796,126.609,77.668,149.967,118.391,27.93,186.967,44.46,84.241,114.238,140.847,48.569, 
La Sauceda,48.574,28.652,71.867,52.693,77.942,69.785,87.374,80.618,54.821,26.506,66.19,54.935,69.765,31.033,71.905,77.808,0,42.623,65.758,30.802,18.855,37.618,79.786,45.729,51.938,45.997,50.542,71.246,71.638,77.671,56.135,72.583,97.784,39.543,118.513,10.688,40.259,27.877,30.897,68.622,98.526,89.685,74.35,84.947,22.018,54.798,86.383,76.361,63.162,45.126,53.07,107.576,108.749,11.447,46.731,96.054,44.353,112.054,40.891,60.876,30.547,29.902,77.892,90.773,63.368,87.703,122.192,70.12,77.238,33.121,92.109,60.036,51.832,60.48,74.274,40.113,81.778,111.274,23.602,72.999,59.802,71.087,17.565, 
Villamar,89.354,50.8,69.483,76.244,24.396,65.645,89.568,76.478,57.015,52.433,89.741,23.212,93.316,49.979,112.685,69.57,42.623,0,73.289,35.891,54.94,43.947,117.182,69.121,51.35,4.625,73.933,94.638,71.491,25.41,79.527,76.414,56.412,34.877,118.366,49.496,39.758,51.944,68.293,106.018,98.379,89.538,68.27,89.099,26.12,78.189,43.633,59.697,46.498,68.517,75.434,66.204,108.602,44.593,38.271,54.682,66.717,111.907,27.14,98.272,24.01,50.673,102.861,90.626,18,88.17,122.045,40.576,88.883,56.512,75.445,53.956,74.196,19.108,74.127,42.551,65.114,111.127,36.45,25.682,97.198,65.007,43.315, 
Tlazazalca,21.047,27.748,104.24,27.814,95.887,107.359,119.747,119.277,87.194,28.24,50.387,94.322,55.929,27.235,62.187,62.005,65.758,73.289,0,94.389,53.555,87.474,30.131,34.05,40.259,80.898,27.492,63.628,101.295,119.759,24.439,60.904,132.685,51.162,148.17,55.347,83.285,91.464,36.493,42.019,128.183,119.342,111.017,91.316,58.151,21.848,128.471,87.979,74.781,32.452,62.691,142.477,113.615,39.92,58.35,130.955,60.097,141.711,104.478,56.164,53.565,93.49,69.189,95.914,105.456,117.36,151.849,100.33,11.636,21.81,106.289,97.139,60.764,95.381,103.931,80.881,93.397,140.931,39.403,115.087,56.231,110.071,33.321, 
La Luz,76.345,51.461,59.972,80.463,38.586,57.89,75.479,68.723,42.926,54.276,93.96,21.899,97.535,50.64,76.827,85.514,30.802,35.891,94.389,0,37.58,23.854,95.435,64.454,56.021,44.131,69.267,89.971,57.874,36.447,74.86,91.308,75.595,39.548,104.749,29.413,26.495,17.359,50.784,86,84.762,75.921,60.586,103.672,20.152,73.523,45.158,72.571,59.373,63.851,39.306,85.386,94.985,30.172,42.942,73.864,30.589,98.29,11.759,78.634,28.681,16.138,66.733,77.009,22.144,73.939,108.428,79.842,92.887,51.846,88.32,46.272,38.068,39.498,60.51,26.349,77.989,97.51,41.121,31.775,77.56,57.323,36.29, 
