LOCALIDADES,Churintzio,Fraccionamiento Ex-Hacienda el Refugio,Santa Rita,Zopoco,Fraccionamiento San Miguel,San Miguel de la Paz,Betania,Santa Cruz el Grande,Portezuelo,Chaparaco,Cocucho,Cumuatillo,Tanaco,El Platanal (La Planta),Laguna Larga de Corts,Pamatcuaro,La Sauceda,Villamar,Tlazazalca,La Luz,Atecucario de la Constitucin (Atecuario),Paso de Hidalgo (Paso de lamos),Penjamillo de Degollado,Ocumicho,Patamban (Patambam),Emiliano Zapata,Huncito,Nurio,Fraccionamiento Vistas del Maguey,La Palma (La Palma de Jess),Ichn,Charapan,Valle de Jurez,La Cantera,Santa Mara del Valle,La Rinconada,Briseas de Matamoros,Ixtln de los Hervores,Ecuandureo,Numarn,San Jos de Gracia,San Francisco de Ass,Cuitzeo (La Estancia),Angahuan,Chavinda,Carapan,Cojumatln de Rgules,Santa Clara de Valladares,Tingindn,Chilchota,La Ribera,Mazamitla,Jess Mara,Ario de Rayn (Ario Santa Mnica),Tarecuato,San Jos de Gracia,Tanhuato de Guerrero,San Ignacio Cerro Gordo,Pajacuarn,Santa Ana Pacueco,Santiago Tangamandapio,Vista Hermosa de Negrete,Degollado,Ayotln,Venustiano Carranza,Tototln,Capilla de Guadalupe,Cotija de la Paz,Purpero de Echiz,Tanganccuaro de Arista,Peribn de Ramos,Jamay,Yurcuaro,Jiquilpan de Jurez,Atotonilco el Alto,La Barca,Los Reyes de Salgado,Arandas,Jacona de Plancarte,Sahuayo de Morelos,La Piedad de Cabadas,Ocotln,Zamora de Hidalgo, 
Santa Mara del Valle,130.126,144.134,72.348,175.826,118.16,83.898,44.651,116.009,63.211,141.988,181.672,95.153,203.941,146.515,118.316,194.206,118.513,118.366,148.17,104.749,134.783,83.735,154.984,165.324,171.532,132.321,175.557,190.885,50.052,116.05,173.791,192.171,155.192,144.061,0,133.641,86.523,111.575,124.897,120.848,43.881,50.308,114.691,207.9,131.093,177.213,131.709,191.892,178.693,168.079,99.39,171.936,49.709,134.4,164.558,160.414,105.812,36.764,116.321,107.185,139.622,97.266,95.855,67.569,108.694,82.577,36.122,166.392,167.001,156.074,207.64,100.377,101.09,126.048,50.763,84.119,197.309,29.698,146.555,118.325,109.272,111.428,140.518, 
La Rinconada,37.303,17.38,82.36,41.421,72.095,80.278,97.867,91.111,65.314,15.234,54.918,65.428,58.493,19.761,60.634,66.536,10.688,49.496,55.347,29.413,8.549,46.243,62.161,38.57,44.778,52.692,43.382,64.131,79.872,86.325,45.267,65.417,104.575,29.673,133.641,0,48.8,36.417,20.451,58.176,107.067,98.226,82.891,74.501,34.332,44.352,94.924,66.88,53.682,34.68,61.611,135.151,111.872,12.212,37.251,123.629,52.894,120.595,49.431,50.43,29.747,38.443,67.446,94.171,71.909,96.244,130.733,76.511,66.792,22.675,82.629,68.577,60.373,89.263,82.815,48.654,72.298,119.815,13.156,81.54,49.356,79.628,7.119, 
Briseas de Matamoros,65.241,65.88,30.664,89.921,39.552,31.395,50.749,42.228,18.196,63.734,103.418,16.545,106.993,68.261,73.196,115.598,40.259,39.758,83.285,26.495,57.049,4.189,90.099,87.07,93.278,53.713,91.882,112.631,32.754,37.442,93.767,113.917,76.584,65.807,86.523,48.8,0,26.817,47.154,82.37,59.559,50.718,34.091,123.142,46.335,99.469,46.124,106.307,93.108,83.321,35.676,86.351,69.782,49.642,78.973,74.829,26.959,73.087,30.736,75.004,54.864,10.915,63.103,51.806,23.109,49.35,83.225,80.807,89.257,71.316,122.055,19.777,34.438,40.463,35.307,3.731,111.724,72.307,61.797,32.74,73.93,30.828,55.76, 
Ixtln de los Hervores,73.42,53.497,60.294,77.538,66.369,58.212,75.801,69.045,43.248,51.351,91.035,43.362,94.61,55.878,77.149,102.653,27.877,51.944,91.464,17.359,44.666,24.177,98.278,74.687,80.895,55.14,79.499,100.248,57.806,64.259,81.384,101.534,103.401,45.505,111.575,36.417,26.817,0,44.042,81.767,90.795,81.954,66.619,98.092,29.099,67.943,78.652,81.518,68.32,58.271,45.339,118.879,101.018,24.591,51.889,107.357,36.622,104.323,26.055,74.021,37.628,22.171,72.766,83.042,55.637,79.972,114.461,77.201,90.383,46.266,97.267,52.305,44.101,72.991,66.543,32.382,86.936,103.543,36.747,65.268,72.947,63.356,30.71, 
Ecuandureo,18.449,36.177,73.616,60.218,86.706,76.735,89.123,88.654,56.57,34.031,73.715,63.699,92.264,38.558,41.78,85.333,30.897,68.293,36.493,50.784,18.8,44.514,43.307,57.367,63.575,71.489,62.179,82.928,71.128,84.596,64.064,84.214,123.738,48.47,124.897,20.451,47.154,44.042,0,38.79,97.061,88.22,79.895,93.705,53.536,57.618,97.349,86.084,72.886,53.884,29.392,137.576,92.486,31.416,56.455,126.054,26.798,110.589,69.989,31.044,48.951,59.001,48.06,74.785,74.334,86.238,120.727,95.715,47.406,41.879,101.833,66.017,28.154,91.688,72.809,49.759,91.502,109.809,32.36,83.965,29.97,78.949,26.323, 
Numarn,21.152,73.902,68.137,69.674,121.922,111.952,96.127,123.87,91.787,71.756,91.82,98.915,97.789,76.283,20.54,103.438,68.622,106.018,42.019,86,56.525,79.73,20.63,75.472,81.68,109.214,69.405,108.053,106.345,119.812,67.639,102.319,158.954,86.195,120.848,58.176,82.37,81.767,38.79,0,113.597,104.756,114.892,133.054,91.346,63.586,132.346,123.894,110.696,74.19,45.008,172.573,78.608,69.226,94.265,161.051,51.686,112.157,107.799,14.869,86.761,67.155,34.182,60.906,109.331,121.235,122.295,133.525,53.374,63.118,139.643,101.014,44.149,126.685,84.673,84.756,129.312,93.434,70.17,118.962,14.936,113.946,64.133, 
San Jos de Gracia,110.139,124.147,52.361,155.839,98.173,63.911,45.321,75.169,43.224,122.001,161.685,75.166,183.954,126.528,113.737,174.219,98.526,98.379,128.183,84.762,114.796,63.748,134.997,145.337,151.545,112.334,155.57,170.898,30.065,96.063,153.804,172.184,135.205,124.074,43.881,107.067,59.559,90.795,97.061,113.597,0,9.394,63.806,180.912,104.105,150.225,104.721,164.904,151.705,141.091,72.402,144.948,50.674,107.412,137.57,133.426,78.824,11.501,89.333,103.156,112.634,70.278,81.235,54.149,81.706,36.366,22.647,139.404,140.013,129.086,180.652,73.389,74.102,99.06,23.761,57.131,170.321,30.662,119.567,91.337,99.66,62.86,113.53, 
San Francisco de Ass,101.298,115.306,43.52,146.998,89.332,55.07,36.48,87.181,34.383,113.16,152.844,66.325,175.113,117.687,104.896,165.378,89.685,89.538,119.342,75.921,105.955,54.907,126.156,136.496,142.704,103.493,146.729,162.057,21.224,87.222,144.963,163.343,126.364,115.233,50.308,98.226,50.718,81.954,88.22,104.756,9.394,0,78.854,172.063,95.256,141.376,95.872,156.055,142.856,132.242,63.553,136.099,53.344,98.563,128.721,124.577,69.975,20.891,80.484,94.307,103.785,61.429,72.386,45.3,72.857,46.74,32.037,130.555,131.164,120.237,171.803,64.54,65.253,90.211,14.912,48.282,161.472,33.332,110.718,82.488,90.811,75.591,104.681, 
Cuitzeo (La Estancia),92.973,99.971,58.832,124.012,68.064,27.732,78.917,11.192,46.364,97.825,137.509,45.056,166.788,102.352,105.694,144.11,74.35,68.27,111.017,60.586,97.63,38.28,117.831,121.161,127.369,82.225,125.973,146.722,60.922,40.589,127.858,148.008,105.096,99.898,114.691,82.891,34.091,66.619,79.895,114.892,63.806,78.854,0,157.035,80.228,132.634,74.51,134.693,121.494,117.214,66.26,114.737,97.911,83.535,107.359,103.215,61.234,78.342,59.121,108.169,108.219,44.808,97.378,79.935,51.495,28.13,131.456,109.193,122.422,105.209,150.441,14.799,68.712,68.849,52.274,32.279,140.11,100.436,95.69,61.126,107.095,4.12,89.653, 
Angahuan,112.207,62.798,156.619,74.269,107.774,154.537,172.126,165.37,139.573,63.289,22.869,124.454,44.019,62.285,153.347,26.222,84.947,89.099,91.316,103.672,78.962,120.502,108.177,40.043,37.775,92.295,74,26.122,154.131,124.338,72.157,12.235,117.326,54.3,207.9,74.501,123.142,98.092,93.705,133.054,180.912,172.063,157.035,0,73.898,69.694,127.58,42.611,49.302,62.304,139.09,129.24,187.997,74.998,64.344,138.629,130.373,198.074,99.022,126.555,66.054,115.922,143.571,170.296,119.228,173.723,208.212,78.495,80.465,52.37,29.461,146.056,137.852,103.056,160.294,126.133,36.339,197.294,58.94,109.629,125.481,157.107,68.399, 
Chavinda,69.981,31.427,79.812,56.871,48.719,77.73,95.319,88.563,62.766,33.06,70.368,38.925,73.943,30.606,93.312,65.48,22.018,26.12,58.151,20.152,39.991,43.695,94.839,54.02,36.154,29.316,58.832,79.581,77.324,49.559,60.717,61.211,81.199,19.681,131.093,34.332,46.335,29.099,53.536,91.346,104.105,95.256,80.228,73.898,0,62.915,63.195,52.627,39.429,53.243,59.035,85.766,114.714,18.57,22.998,74.244,50.318,118.019,25.222,76.288,8.737,35.867,93.304,96.738,35.117,93.668,128.157,48.31,73.609,41.238,68.376,66.001,57.797,38.67,80.239,46.078,58.045,117.239,21.177,45.244,75.214,77.052,28.042, 
Carapan,42.739,32.648,125.932,6.217,100.787,129.051,141.439,140.969,108.886,33.14,53.499,116.014,34.255,32.135,83.879,60.733,54.798,78.189,21.848,73.523,48.813,96.829,38.709,32.767,38.975,81.385,5.948,44.519,123.444,117.351,3.108,58.418,133.267,55.931,177.213,44.352,99.469,67.943,57.618,63.586,150.225,141.376,132.634,69.694,62.915,0,124.988,81.578,68.379,11.054,86.269,147.559,137.193,45.002,63.432,136.037,100.377,165.289,88.357,79.742,58.647,85.926,92.767,119.492,119.392,140.938,175.427,105.412,12.833,23.568,84.891,120.717,84.342,100.463,127.509,104.459,91.769,164.509,44.485,107.037,79.809,133.649,38.403, 
Cojumatln de Rgules,110.427,93.182,75.85,118.626,26.146,72.012,95.935,82.845,63.382,94.815,132.123,29.579,135.698,92.361,119.32,102.192,86.383,43.633,128.471,45.158,103.173,50.313,135.285,115.775,97.909,40.307,120.587,141.336,77.94,20.799,122.472,114.893,63.178,81.436,131.709,94.924,46.124,78.652,97.349,132.346,104.721,95.872,74.51,127.58,63.195,124.988,0,92.783,79.584,110.815,81.819,72.827,114.987,69.439,65.449,61.305,73.102,118.292,33.525,121.147,66.309,57.058,109.246,97.011,24.385,94.555,128.43,67.283,135.4,98.81,108.531,60.34,80.581,26.939,80.512,48.936,98.2,117.512,78.749,19.216,120.073,71.391,85.614, 
Santa Clara de Valladares,102.529,61.256,136.033,75.216,73.083,132.195,156.118,143.028,123.565,62.888,46.327,89.763,73.676,60.435,125.86,23.729,76.361,59.697,87.979,72.571,72.539,110.496,127.387,51.349,42.483,56.265,77.176,55.067,138.123,89.647,79.062,36.798,76.207,36.895,191.892,66.88,106.307,81.518,86.084,123.894,164.904,156.055,134.693,42.611,52.627,81.578,92.783,0,14.358,71.762,115.092,86.4,176.71,65.533,29.631,103.916,106.375,178.422,93.656,115.268,48.311,91.924,132.284,159.009,84.515,154.685,188.56,35.655,92.128,71.073,16.458,120.471,113.854,68.343,140.642,109.066,6.127,177.642,56.202,74.916,114.194,131.522,60.311, 
Tingindn,89.331,48.058,122.834,62.017,59.884,118.996,142.919,129.829,110.366,49.69,46.144,76.564,73.493,47.237,112.662,23.914,63.162,46.498,74.781,59.373,59.341,97.297,114.189,38.15,29.284,43.066,63.977,54.884,124.924,76.448,65.863,36.615,68.93,23.697,178.693,53.682,93.108,68.32,72.886,110.696,151.705,142.856,121.494,49.302,39.429,68.379,79.584,14.358,0,58.764,102.093,79.138,163.711,52.534,16.632,90.917,93.376,165.423,80.657,102.269,35.312,78.925,119.285,146.01,71.516,141.686,175.561,28.393,79.13,58.074,29.911,107.472,100.855,55.344,127.643,96.067,19.58,164.643,43.203,61.917,101.195,118.523,47.312, 
Chilchota,53.343,22.976,116.798,4.691,91.115,114.716,132.305,125.549,99.752,23.468,39.443,99.866,20.556,22.463,94.483,51.061,45.126,68.517,32.452,63.851,39.141,80.681,49.313,23.095,29.303,71.713,6.652,29.138,114.31,107.679,8.537,49.942,123.595,46.259,168.079,34.68,83.321,58.271,53.884,74.19,141.091,132.242,117.214,62.304,53.243,11.054,110.815,71.762,58.764,0,99.277,137.742,148.184,35.185,53.615,126.22,90.56,158.261,78.54,86.742,48.83,76.109,103.758,130.483,109.575,133.91,168.399,95.595,21.602,13.75,93.933,106.243,98.039,90.646,120.481,86.32,77.177,157.481,34.668,97.22,85.668,117.294,28.586, 
La Ribera,40.755,78.691,18.937,102.732,75.228,56.092,63.616,74.594,33.842,76.545,116.229,52.221,118.462,81.072,40.692,127.847,53.07,75.434,62.691,39.306,47.126,33.036,64.914,99.881,106.089,89.389,104.693,125.442,45.62,73.118,106.578,126.728,112.26,78.618,99.39,61.611,35.676,45.339,29.392,45.008,72.402,63.553,66.26,139.09,59.035,86.269,81.819,115.092,102.093,99.277,0,122.031,50.761,62.458,81.941,110.509,9.854,86.025,49.4,40.317,67.68,25.324,30.633,33.059,58.789,74.522,96.163,116.487,73.729,84.132,127.319,52.07,1.903,76.143,48.245,35.069,116.988,65.587,74.613,68.42,30.959,67.233,68.576, 
Mazamitla,150.654,115.753,116.077,141.197,53.127,112.239,136.162,123.072,103.609,117.386,154.694,69.807,158.269,114.932,159.547,103.852,107.576,66.204,142.477,85.386,124.317,90.54,175.512,138.346,120.48,62.878,143.158,163.907,118.167,69.691,145.043,116.553,9.879,104.007,171.936,135.151,86.351,118.879,137.576,172.573,144.948,136.099,114.737,129.24,85.766,147.559,72.827,86.4,79.138,137.742,122.031,0,155.119,109.363,87.92,11.705,113.234,158.424,73.658,161.279,88.78,97.19,149.378,137.143,64.517,134.687,168.562,50.876,153.652,121.281,102.18,100.473,120.713,49.41,120.644,89.068,91.849,157.644,101.22,54.918,160.205,111.524,108.085, 
Jess Mara,92.748,127.598,32.324,141.271,108.396,74.134,35.435,106.245,51.884,125.452,165.136,85.389,169.386,129.979,78.747,176.754,108.749,108.602,113.615,94.985,110.221,73.971,98.514,148.788,154.996,122.557,141.002,174.349,47.876,106.286,139.236,175.635,145.428,139.891,49.709,111.872,69.782,101.018,92.486,78.608,50.674,53.344,97.911,187.997,114.714,137.193,114.987,176.71,163.711,148.184,50.761,155.119,0,125.367,147.146,151.381,60.407,46.096,107.288,68.177,130.589,88.233,46.256,17.97,99.661,73.536,56.235,157.359,135.283,132.57,198.607,91.344,52.549,117.015,43.138,59.849,188.276,20.991,123.051,109.292,64.682,102.395,117.014, 
Ario de Rayn (Ario Santa Mnica),47.861,14.599,83.119,38.64,67.192,81.037,98.626,91.87,66.073,11.982,52.137,66.187,55.712,16.98,71.192,55.168,11.447,44.593,39.92,30.172,17.871,47.002,72.719,35.789,32.806,47.789,40.601,61.35,80.631,60.739,42.486,62.636,99.672,28.714,134.4,12.212,49.642,24.591,31.416,69.226,107.412,98.563,83.535,74.998,18.57,45.002,69.439,65.533,52.534,35.185,62.458,109.363,125.367,0,35.595,92.812,54.138,121.839,36.607,59.165,19.77,39.687,76.181,102.906,46.502,97.488,131.977,66.534,55.393,23.022,80.973,69.821,61.617,57.238,84.059,49.898,70.642,121.059,13.182,63.812,58.091,80.872,6.955, 
Tarecuato,72.9,31.627,108.699,57.07,45.749,104.861,128.784,115.694,96.231,33.259,48.931,62.429,74.142,30.806,96.231,38.956,46.731,38.271,58.35,42.942,42.91,66.485,97.758,32.605,23.739,28.931,59.031,58.144,110.789,62.313,60.916,51.657,78.229,7.266,164.558,37.251,78.973,51.889,56.455,94.265,137.57,128.721,107.359,64.344,22.998,63.432,65.449,29.631,16.632,53.615,81.941,87.92,147.146,35.595,0,77.634,76.744,152.14,51.648,85.637,18.68,62.293,102.653,129.378,58.233,128.403,162.278,41.244,73.813,41.442,45.378,94.189,84.223,42.061,114.36,82.784,35.047,151.36,26.571,48.634,84.563,105.24,30.68, 
San Jos de Gracia,139.132,104.231,104.555,129.675,41.605,100.717,124.64,111.55,92.087,105.864,143.172,58.285,146.747,103.41,148.025,113.241,96.054,54.682,130.955,73.864,112.795,79.018,163.99,126.824,108.958,51.356,131.636,152.385,106.645,58.169,133.521,125.942,17.47,92.485,160.414,123.629,74.829,107.357,126.054,161.051,133.426,124.577,103.215,138.629,74.244,136.037,61.305,103.916,90.917,126.22,110.509,11.705,151.381,92.812,77.634,0,101.804,146.994,62.228,149.849,77.35,85.76,137.948,125.713,53.087,123.257,157.132,60.442,142.222,109.851,119.572,89.043,109.283,37.98,109.214,77.638,109.241,146.214,89.79,43.488,148.775,100.094,96.655, 
Tanhuato de Guerrero,42.053,69.974,28.495,94.015,66.511,57.65,70.038,69.569,37.485,67.828,107.512,43.504,111.087,72.355,47.37,119.13,44.353,66.717,60.097,30.589,44.532,24.319,66.911,91.164,97.372,80.672,95.976,116.725,52.043,64.401,97.861,118.011,103.543,69.901,105.812,52.894,26.959,36.622,26.798,51.686,78.824,69.975,61.234,130.373,50.318,100.377,73.102,106.375,93.376,90.56,9.854,113.234,60.407,54.138,76.744,101.804,0,90.571,41.098,48.051,59.378,17.022,38.367,43.727,50.487,66.22,100.709,108.185,70.042,75.83,119.017,45.999,9.702,67.841,52.791,29.741,108.686,89.791,66.311,60.118,38.693,58.931,60.274, 
San Ignacio Cerro Gordo,123.667,137.675,65.889,169.367,111.701,77.439,34.896,86.677,56.752,135.529,175.213,88.694,197.482,140.056,112.296,187.747,112.054,111.907,141.711,98.29,128.324,77.276,148.525,158.865,165.073,125.862,169.098,184.426,43.593,109.591,167.332,185.712,148.733,137.602,36.764,120.595,73.087,104.323,110.589,112.157,11.501,20.891,78.342,198.074,118.019,165.289,118.292,178.422,165.423,158.261,86.025,158.424,46.096,121.839,152.14,146.994,90.571,0,99.585,100.21,122.886,80.53,91.487,64.401,91.958,47.873,11.925,149.656,150.265,139.338,190.904,83.641,84.354,109.312,34.027,67.383,180.573,22.722,129.819,101.589,102.297,74.367,123.782, 
Pajacuarn,86.434,56.551,60.462,81.995,26.935,56.623,80.547,67.456,47.994,58.184,95.492,14.191,99.067,55.73,86.916,102.981,40.891,27.14,104.478,11.759,57.68,34.925,111.292,79.144,61.278,41.096,83.956,104.705,62.552,24.825,85.841,86.335,63.967,44.805,116.321,49.431,30.736,26.055,69.989,107.799,89.333,80.484,59.121,99.022,25.222,88.357,33.525,93.656,80.657,78.54,49.4,73.658,107.288,36.607,51.648,62.228,41.098,99.585,0,88.722,33.861,26.226,76.821,81.605,10.493,79.149,113.024,68.191,102.975,66.362,93.5,44.934,48.156,27.847,65.106,33.53,83.169,102.106,46.301,20.124,87.648,55.985,43.074, 
Santa Ana Pacueco,35.297,66.156,57.662,83.82,114.556,104.585,85.652,116.504,84.42,64.01,103.694,91.549,111.935,68.537,10.483,115.312,60.876,98.272,56.164,78.634,48.779,72.364,34.775,87.346,93.554,101.468,83.551,112.907,78.907,112.446,81.785,114.193,151.588,78.449,107.185,50.43,75.004,74.021,31.044,14.869,103.156,94.307,108.169,126.555,76.288,79.742,121.147,115.268,102.269,86.742,40.317,161.279,68.177,59.165,85.637,149.849,48.051,100.21,88.722,0,78.684,56.644,23.671,50.395,101.254,113.158,111.784,125.448,74.325,71.612,131.566,92.937,33.638,118.608,74.163,76.679,121.235,82.923,62.093,110.885,3.782,105.869,56.056, 
Santiago Tangamandapio,65.396,26.842,88.341,52.285,46.609,105.721,103.848,116.554,71.295,28.474,53.502,63.289,69.357,26.021,88.727,57.636,30.547,24.01,53.565,28.681,35.406,52.224,90.254,37.176,28.31,27.207,54.246,62.715,85.853,63.173,56.131,53.367,79.089,11.837,139.622,29.747,54.864,37.628,48.951,86.761,112.634,103.785,108.219,66.054,8.737,58.647,66.309,48.311,35.312,48.83,67.68,88.78,130.589,19.77,18.68,77.35,59.378,122.886,33.861,78.684,0,44.199,92.355,119.08,43.449,102,136.489,48.891,65.949,33.578,64.057,74.333,66.129,45.66,88.571,54.41,53.726,125.571,13.517,52.234,74.265,85.384,20.382, 
Vista Hermosa de Negrete,75.446,55.523,41.579,79.564,50.467,42.31,61.492,53.143,28.939,53.377,93.061,27.46,96.636,57.904,62.84,104.679,29.902,50.673,93.49,16.138,46.692,8.274,100.304,76.713,82.921,64.628,81.525,102.274,43.497,48.357,83.41,103.56,87.499,55.45,97.266,38.443,10.915,22.171,59.001,67.155,70.278,61.429,44.808,115.922,35.867,85.926,57.058,91.924,78.925,76.109,25.324,97.19,88.233,39.687,62.293,85.76,17.022,80.53,26.226,56.644,44.199,0,52.745,63.021,34.036,59.951,94.44,91.734,78.899,60.958,104.145,30.704,24.08,51.39,46.522,10.781,93.814,83.522,51.439,43.667,63.572,41.755,45.402, 
Degollado,48.322,83.172,35.74,96.845,102.655,74.889,63.731,105.713,52.639,81.026,120.71,79.648,124.96,85.553,34.321,132.328,77.892,102.861,69.189,66.733,65.795,60.463,54.088,104.362,110.57,116.816,96.576,129.923,56.985,100.545,94.81,131.209,139.687,95.465,95.855,67.446,63.103,72.766,48.06,34.182,81.235,72.386,97.378,143.571,93.304,92.767,109.246,132.284,119.285,103.758,30.633,149.378,46.256,76.181,102.653,137.948,38.367,91.487,76.821,23.671,92.355,52.745,0,27.052,86.17,81.218,88.441,143.868,90.711,87.998,147.952,81.682,29.699,103.524,50.82,65.424,137.621,59.58,78.479,95.801,20.11,94.614,72.442, 
Ayotln,75.047,109.897,14.622,123.57,90.42,56.158,36.645,88.269,33.908,107.751,147.435,67.413,151.685,112.278,61.045,159.053,90.773,90.626,95.914,77.009,92.52,55.995,80.812,131.087,137.295,104.581,123.301,156.648,29.899,88.31,121.535,157.934,127.452,122.19,67.569,94.171,51.806,83.042,74.785,60.906,54.149,45.3,79.935,170.296,96.738,119.492,97.011,159.009,146.01,130.483,33.059,137.143,17.97,102.906,129.378,125.713,43.727,64.401,81.605,50.395,119.08,63.021,27.052,0,81.667,55.542,62.765,139.365,117.489,114.776,180.613,73.35,34.755,99.021,25.144,42.055,170.282,33.904,105.257,91.298,46.888,84.401,99.22, 
Venustiano Carranza,87.412,66.446,52.835,113.03,17.794,48.997,72.92,59.83,40.367,86.843,126.527,6.565,130.102,65.625,96.305,93.84,63.368,18,105.456,22.144,80.158,27.298,112.27,110.179,71.173,31.955,114.991,135.74,54.925,15.685,116.876,106.541,54.826,54.7,108.694,71.909,23.109,55.637,74.334,109.331,81.706,72.857,51.495,119.228,35.117,119.392,24.385,84.515,71.516,109.575,58.789,64.517,99.661,46.502,58.233,53.087,50.487,91.958,10.493,101.254,43.449,34.036,86.17,81.667,0,71.584,105.459,57.854,112.429,89.381,99.102,37.369,57.61,17.51,57.541,25.965,88.771,94.541,69.32,9.787,97.102,48.42,78.932, 
Tototln,99.316,113.324,53.747,145.016,87.964,31.187,46.795,36.465,44.61,111.178,150.862,64.957,173.131,115.705,112.037,164.01,87.703,88.17,117.36,73.939,103.973,53.539,124.174,134.514,140.722,102.125,144.747,160.075,31.451,63.14,142.981,161.361,124.996,113.251,82.577,96.244,49.35,79.972,86.238,121.235,36.366,46.74,28.13,173.723,93.668,140.938,94.555,154.685,141.686,133.91,74.522,134.687,73.536,97.488,128.403,123.257,66.22,47.873,79.149,113.158,102,59.951,81.218,55.542,71.584,0,58.584,127.832,127.503,116.577,169.08,37.884,73.793,87.488,31.154,45.559,158.749,68.164,107.058,79.765,112.176,27.204,101.021, 
Capilla de Guadalupe,133.805,147.813,76.027,179.505,121.839,82.972,45.034,121.668,66.89,145.667,185.351,98.832,207.62,150.194,122.434,197.885,122.192,122.045,151.849,108.428,138.462,87.414,158.663,169.003,175.211,136,179.236,194.564,53.731,119.729,177.47,195.85,158.871,147.74,36.122,130.733,83.225,114.461,120.727,122.295,22.647,32.037,131.456,208.212,128.157,175.427,128.43,188.56,175.561,168.399,96.163,168.562,56.235,131.977,162.278,157.132,100.709,11.925,113.024,111.784,136.489,94.44,88.441,62.765,105.459,58.584,0,159.735,160.344,149.417,200.983,93.72,94.433,119.391,44.106,77.462,190.652,32.8,139.898,111.668,112.375,131.107,133.861, 
Cotija de la Paz,112.16,73.606,110.533,99.05,47.583,106.695,130.618,117.528,98.065,75.238,75.337,64.263,102.686,72.785,154.003,53.107,70.12,40.576,100.33,79.842,82.17,84.996,137.018,66.471,57.605,37.144,101.011,84.077,112.623,64.147,102.896,65.808,40.652,48.51,166.392,76.511,80.807,77.201,95.715,133.525,139.404,130.555,109.193,78.495,48.31,105.412,67.283,35.655,28.393,95.595,116.487,50.876,157.359,66.534,41.244,60.442,108.185,149.656,68.191,125.448,48.891,91.734,143.868,139.365,57.854,127.832,159.735,0,115.043,82.672,51.416,95.022,115.262,43.959,115.193,83.617,41.085,152.193,62.61,49.467,123.358,106.073,69.475, 
Purpero de Echiz,32.527,43.342,115.72,16.911,111.481,118.839,131.227,130.757,98.674,43.834,59.809,105.802,45.026,42.829,73.667,71.427,77.238,88.883,11.636,92.887,65.141,86.617,28.497,43.461,49.669,92.079,16.642,55.29,113.232,126.699,14.876,69.189,143.961,66.625,167.001,66.792,89.257,90.383,47.406,53.374,140.013,131.164,122.422,80.465,73.609,12.833,135.4,92.128,79.13,21.602,73.729,153.652,135.283,55.393,73.813,142.222,70.042,150.265,102.975,74.325,65.949,78.899,90.711,117.489,112.429,127.503,160.344,115.043,0,34.064,95.387,108.641,72.266,110.959,115.433,92.383,102.265,152.433,54.981,126.589,67.733,121.573,48.899, 
Tanganccuaro de Arista,42.271,10.971,104.793,17.206,79.11,102.711,120.3,113.544,87.747,11.463,29.509,87.861,34.277,10.458,81.655,41.127,33.121,56.512,21.81,51.846,27.136,68.676,51.356,13.161,19.369,59.708,19.166,38.722,102.305,95.674,21.052,40.008,111.59,34.254,156.074,22.675,71.316,46.266,41.879,63.118,129.086,120.237,105.209,52.37,41.238,23.568,98.81,71.073,58.074,13.75,84.132,121.281,132.57,23.022,41.442,109.851,75.83,139.338,66.362,71.612,33.578,60.958,87.998,114.776,89.381,116.577,149.417,82.672,34.064,0,76.64,94.606,86.402,79.009,108.844,74.683,67.112,145.844,23.031,85.583,74.031,105.657,16.949, 
Peribn de Ramos,118.278,77.005,151.781,89.242,88.831,147.943,171.866,158.776,139.313,78.637,47.262,105.511,68.412,76.184,141.609,33.187,92.109,75.445,106.289,88.32,88.288,126.244,123.15,64.436,55.644,72.013,88.973,50.515,153.871,105.395,87.13,36.628,91.956,52.644,207.64,82.629,122.055,97.267,101.833,139.643,180.652,171.803,150.441,29.461,68.376,84.891,108.531,16.458,29.911,93.933,127.319,102.18,198.607,80.973,45.378,119.572,119.017,190.904,93.5,131.566,64.057,104.145,147.952,180.613,99.102,169.08,200.983,51.416,95.387,76.64,0,137.559,130.942,85.431,157.73,126.154,12.757,194.73,73.29,92.004,131.282,148.61,77.399, 
Jamay,79.095,85.657,44.518,109.698,53.75,13.418,64.603,23.133,32.05,83.511,123.195,30.742,152.91,88.038,91.816,129.796,60.036,53.956,97.139,46.272,76.826,23.966,103.953,106.847,113.055,67.911,111.659,132.408,46.608,26.549,113.544,133.694,90.782,85.584,100.377,68.577,19.777,52.305,66.017,101.014,73.389,64.54,14.799,146.056,66.001,120.717,60.34,120.471,107.472,106.243,52.07,100.473,91.344,69.821,94.189,89.043,45.999,83.641,44.934,92.937,74.333,30.704,81.682,73.35,37.369,37.884,93.72,95.022,108.641,94.606,137.559,0,53.438,54.661,49.247,18.09,125.922,86.247,81.502,46.938,91.821,11.661,75.465, 
