LOCALIDADES,Aramberri,Fraccionamiento Misin de San Javier,Portal de las Salinas,Entronque Laredo-Salinas Victoria,La Ascencin,Valle de Vaqueras,Ciudad de Villaldama,Fraccionamiento Cosmpolis Octavo Sector,Marn,El Control,Simeprodeso (Colectivo Nuevo),El Realito,Ciudad Satlite del Norte,General Francisco Villa,Bustamante,Anhuac,Hacienda San Pedro,Ramrez,Colinas del Aeropuerto,General Bravo,Las Escobas,Alianza Real,Nueva Ciudad Guerrero,General Cepeda,Mina,Hidalgo,Los Guerra,Mier,Las Torres,Villas de Alcal,Pesquera,Loma la Paz,Monte Kristal,Hualahuises,Valle de Lincoln,Hctor Caballero,Real del Sol,Emiliano Zapata,Ciudad General Tern,Galeana,Ciudad Cerralvo,Concepcin del Oro,Ciudad Camargo,Misin San Pablo,Arteaga,Salinas Victoria,China,Ex-Hacienda Santa Rosa,Carmen,Prados de Santa Rosa,Santa Rosa,General Zuazua,Nuevo Progreso,Ciudad Gustavo Daz Ordaz,Cinega de Flores,Hidalgo,Villas del Poniente,Parque Industrial Ciudad Mitras,Ciudad Miguel Alemn,Arboledas de San Roque,Ciudad de Allende,San Fernando,Ciudad Sabinas Hidalgo,Fraccionamiento Real Palmas,Santiago,Montemorelos,Valle Hermoso,Jardines de la Silla (Jardines),Linares,Ramos Arizpe,Cadereyta Jimnez,Garca,Ciudad Ro Bravo,San Pedro Garza Garca,Ciudad Benito Jurez,Ciudad Santa Catarina,Ciudad General Escobedo,San Nicols de los Garza,Heroica Matamoros,Ciudad Apodaca,Reynosa,Guadalupe,Saltillo,Monterrey, 
Hualahuises,170.86,137.443,156.843,139.856,130.815,127.003,215.776,139.487,154.689,342.392,139.631,312.955,146.631,224.45,226.626,350.482,152.442,346.559,145.344,190.739,115.397,167.056,288.143,260.346,167.571,90.317,279.773,269.383,154.429,149.841,147.891,136.495,127.213,0,141.813,114.334,151.828,146.41,55.411,84.893,174.454,320.089,273.03,137.856,204.429,154.401,130.489,138.189,151.755,134.123,139.305,148.113,317.19,278.266,155.284,160.353,133.902,144.225,249.588,114.641,60.799,198.083,225.573,153.98,90.43,39.753,306.827,125.661,13.842,188.31,100.956,150.959,303.851,119.78,110.655,132.361,134.534,125.236,369.222,134.322,279.801,125.905,200.281,113.367, 
Valle de Lincoln,308.406,48.753,46.493,29.507,268.361,71.174,103.834,31.773,58.676,308.348,27.689,335.351,36.281,370.411,114.684,316.438,42.092,312.515,49.331,156.695,64.994,18.295,192.13,136.445,52.204,230.785,183.76,173.37,39.329,39.491,51.878,50.184,71.384,141.813,0,69.74,42.289,34.223,128.35,228.943,115.473,199.93,214.049,50.406,84.27,41.673,153.814,37.004,36.397,37.263,35.129,48.043,287.217,248.293,45.745,44.995,10.055,21.307,190.607,70.047,84.311,322.594,116.034,44.441,65.702,106.719,331.285,69.764,155.735,68.151,73.412,14.609,273.878,27.88,65.369,23.531,21.698,30.273,339.249,44.473,249.828,56.55,80.122,31.588, 
Hctor Caballero,295.121,20.008,60.632,43.646,255.076,4.633,125.956,44.431,49.405,263.17,50.937,290.173,50.42,325.233,136.806,271.26,56.231,267.337,40.06,111.517,10.419,61.517,182.859,166.044,77.825,203.306,174.489,164.099,59.889,53.63,42.607,12.701,4.843,114.334,69.74,0,53.09,50.871,79.677,211.254,101.931,226.606,200.507,17.61,110.946,55.663,105.141,37.212,59.718,38.401,38.328,43.493,238.544,199.62,56.546,68.316,39.961,62.517,177.065,5.173,54.959,273.921,126.835,55.242,32.578,91.188,282.612,6.64,140.204,94.827,24.74,79.051,225.205,29.323,3.687,38.11,53.2,28.474,290.576,33.38,201.155,11.95,106.798,20.68, 
Real del Sol,340.853,34.083,6.58,16.195,300.808,56.504,79.566,16.852,21.491,293.679,23.358,320.682,17.668,355.742,90.416,301.769,7.892,297.846,34.662,142.026,50.324,34.066,159.401,168.892,50.374,240.799,151.03,140.64,22.549,5.291,37.209,35.514,56.714,151.828,42.289,53.09,0,17.601,113.476,257.883,79.871,228.87,178.448,35.531,113.21,14.733,138.94,21.919,24.402,22.178,20.044,12.527,272.343,233.419,3.828,41.283,43.116,34.629,155.006,55.173,92.182,307.72,70.042,8.925,73.573,114.59,316.411,54.889,163.606,97.091,58.538,52.018,259.004,40.231,50.495,62.434,26.057,28.175,324.375,29.598,234.954,41.675,109.062,39.158, 
Emiliano Zapata,332.787,31.864,23.367,16.755,292.742,54.285,72.979,15.9,41.788,291.46,12.569,318.463,1.761,353.523,83.829,299.55,22.848,295.627,32.443,139.807,48.105,26,175.242,160.826,42.322,235.381,166.872,156.482,11.947,20.247,34.99,33.295,54.495,146.41,34.223,50.871,17.601,0,110.083,254.49,97.205,225.477,195.781,32.138,109.817,8.354,135.547,18.527,19.165,18.786,16.652,27.329,268.95,230.026,21.995,29.935,39.723,25.952,172.339,51.78,88.789,304.327,87.281,23.727,70.18,111.197,313.018,51.496,160.213,93.698,55.145,48.625,255.611,36.838,47.102,59.041,17.38,24.782,320.982,26.205,231.561,38.282,105.669,35.765, 
Ciudad General Tern,236.198,88.777,119.242,102.256,196.153,83.091,184.566,103.041,108.015,257.074,109.547,296.261,109.03,207.756,195.416,265.164,114.841,261.241,98.67,103.83,76.911,120.127,188.956,242.237,136.435,144.383,180.586,170.196,118.499,112.24,101.217,83.323,83.301,55.411,128.35,79.677,113.476,110.083,0,139.111,108.838,301.903,221.469,84.342,186.243,113.406,75.155,94.954,117.46,96.143,96.07,101.235,232.843,193.919,114.289,126.058,115.716,120.259,183.972,80.631,42.613,208.764,184.578,112.985,72.245,17.867,276.911,90.532,68.061,170.124,60.246,132.773,219.504,101.594,75.916,114.175,110.942,107.05,284.875,91.122,195.454,86.94,182.095,95.181, 
Galeana,112.393,221.022,263.649,246.663,72.348,210.582,320.99,248.929,238.268,425.971,244.845,374.58,253.437,286.075,331.84,383.488,259.248,430.138,228.923,274.318,198.976,235.451,371.722,203.294,269.36,146.674,363.352,352.962,256.485,256.647,231.47,220.074,210.792,84.893,228.943,211.254,257.883,254.49,139.111,0,258.437,250.553,357.013,221.838,153.509,254.211,214.472,249.542,248.935,249.801,247.667,260.581,401.173,362.249,258.283,257.533,223.099,233.845,333.571,198.624,144.782,257.536,328.572,256.979,174.413,123.736,368.977,209.643,75.992,179.81,184.939,221.145,387.834,203.762,194.638,214.448,234.148,209.218,400.945,218.304,363.784,209.887,167.199,197.349, 
Ciudad Cerralvo,355.241,81.491,85.637,89.378,315.196,97.851,155.701,90.164,58.757,236.108,96.67,263.111,96.152,298.171,166.551,244.198,74.026,240.275,70.574,78.823,99.165,107.25,80.93,242.076,123.558,263.426,72.559,62.169,105.621,76.163,66.22,82.362,98.061,174.454,115.473,101.931,79.871,97.205,108.838,258.437,0,300.165,99.504,83.16,184.505,99.925,73.08,81.059,103.98,82.248,82.175,67.844,211.503,130.218,82.748,112.578,114.41,106.779,76.062,103.057,149.138,317.72,91.894,73.891,130.529,171.546,255.571,98.194,220.562,168.386,106.422,123.312,198.164,103.74,98.379,112.527,97.462,86.653,263.535,77.228,174.114,89.305,180.357,96.191, 
Concepcin del Oro,293.752,236.896,234.636,217.65,296.534,225.934,291.977,219.916,246.82,496.491,215.832,523.494,224.424,558.554,302.827,504.581,230.235,500.658,237.475,344.838,228.068,206.438,380.274,141.338,240.347,381.84,371.904,361.514,227.472,227.634,240.022,238.327,226.144,320.089,199.93,226.606,228.87,225.477,301.903,250.553,300.165,0,400.911,237.268,140.3,228.535,340.676,223.866,223.259,224.125,221.991,234.905,474.079,435.155,232.607,231.857,197.423,208.169,377.469,227.969,261.71,511.182,302.896,231.303,243.1,284.118,518.147,224.081,311.963,134.982,260.274,195.469,460.74,201.339,252.231,188.772,208.472,217.613,526.111,231.335,436.69,219.701,118.493,210.004, 
Ciudad Camargo,453.817,180.067,184.214,187.954,413.772,196.427,188.22,188.74,157.334,135.258,195.246,162.261,194.728,197.321,265.128,143.348,172.603,139.425,169.15,80.031,197.741,205.826,57.299,340.652,222.134,362.002,28.249,38.078,204.197,174.74,164.796,180.938,196.637,273.03,214.049,200.507,178.448,195.781,221.469,357.013,99.504,400.911,0,181.72,283.064,198.484,92.106,179.619,202.539,180.808,180.735,166.403,111.738,30.452,181.307,211.137,212.969,205.338,24.424,201.616,245.346,217.955,160.818,172.45,236.502,237.081,155.806,196.753,317.743,266.945,205.913,221.871,98.399,202.3,196.938,211.087,196.021,185.212,163.77,175.787,74.349,187.864,278.916,194.751, 
Misin San Pablo,318.642,4.652,41.297,24.311,278.597,19.728,106.621,25.097,29.816,267.188,31.603,294.191,31.085,329.251,117.471,275.278,36.896,271.355,20.471,115.535,15.478,42.183,163.27,177.009,58.491,226.827,154.9,144.51,40.554,34.295,23.018,6.259,19.938,137.856,50.406,17.61,35.531,32.138,84.342,221.838,83.16,237.268,181.72,0,122.66,38.08,113.785,13.558,42.135,14.747,14.674,23.007,247.188,208.264,38.963,50.733,52.565,38.026,158.049,24.049,81.105,282.565,109.252,37.659,62.496,103.513,291.256,18.48,152.529,106.541,33.383,61.468,233.849,35.707,15.15,44.494,29.454,19.117,299.22,9.691,209.799,14.888,118.512,28.158, 
Arteaga,239.535,121.236,118.976,101.99,199.49,110.274,176.317,104.256,131.16,380.831,100.172,407.834,108.764,442.894,187.167,388.921,114.575,384.998,121.815,229.178,112.408,90.778,264.614,79.981,124.687,284.796,256.244,245.854,111.812,111.974,124.362,122.667,110.484,204.429,84.27,110.946,113.21,109.817,186.243,153.509,184.505,140.3,283.064,122.66,0,109.117,221.258,104.448,103.841,104.707,102.573,115.487,354.661,315.737,113.189,112.439,78.005,88.751,258.051,108.551,142.292,391.764,183.478,111.885,123.682,164.7,398.729,104.663,215.064,23.332,140.856,76.051,341.322,81.921,132.813,69.354,89.054,98.195,406.693,111.917,317.272,100.283,14.874,90.586, 
Salinas Victoria,340.237,36.656,20.499,18.767,300.192,59.077,63.799,19.425,35.852,296.252,20.02,323.255,7.275,358.315,74.65,304.342,22.253,300.419,37.235,144.599,52.897,33.45,180.034,168.276,29.558,243.372,171.664,161.274,4.222,19.652,39.782,38.087,59.287,154.401,41.673,55.663,14.733,8.354,113.406,254.211,99.925,228.535,198.484,38.08,109.117,0,141.159,24.139,8.439,24.398,22.264,25.563,274.562,235.638,20.229,20.294,43.428,33.937,168.042,57.392,94.087,309.939,85.516,21.961,75.478,116.495,318.63,57.108,165.511,97.404,60.757,52.331,261.223,41.892,52.714,62.747,25.365,30.394,326.594,31.817,237.173,43.894,109.375,41.063, 
China,311.276,114.241,144.706,127.72,271.231,108.555,210.03,128.505,133.479,170.313,135.011,197.316,134.494,168.051,220.88,178.403,140.305,174.48,124.134,12.465,102.375,145.591,151.517,280.417,161.899,219.461,98.205,132.757,143.963,137.704,126.681,108.787,108.765,130.489,153.814,105.141,138.94,135.547,75.155,214.472,73.08,340.676,92.106,113.785,221.258,141.159,0,124.395,146.901,125.584,125.511,130.676,146.124,107.2,143.73,155.499,157.332,149.7,99.467,110.072,129.12,169.921,214.019,142.426,120.276,92.936,190.192,119.973,143.13,211.307,89.687,166.234,132.785,134.574,105.357,143.361,140.383,125.409,198.156,120.563,108.735,116.381,223.278,127.025, 
Ex-Hacienda Santa Rosa,335.568,12.133,27.685,10.699,295.523,28.136,91.037,6.56,27.715,277.8,14.892,304.803,17.474,339.863,101.887,285.89,23.284,281.967,18.37,126.147,34.446,28.781,161.169,163.607,43.196,227.16,152.799,142.409,26.943,20.683,20.917,15.62,28.346,138.189,37.004,37.212,21.919,18.527,94.954,249.542,81.059,223.866,179.619,13.558,104.448,24.139,124.395,0,27.512,1.689,2.935,26.387,255.309,216.385,24.089,36.11,31.95,26.353,157.269,38.139,79.71,290.686,94.378,22.785,61.101,102.118,299.377,29.554,151.134,91.918,41.504,46.845,241.97,32.441,33.461,57.261,17.781,10.383,307.341,6.762,217.92,19.877,103.889,26.763, 
Carmen,334.961,40.711,30.168,21.465,294.916,63.132,70.938,23.731,50.635,300.306,15.469,327.309,14.724,362.369,81.789,308.396,34.05,304.473,41.29,148.653,56.952,13.295,184.089,163,21.288,240.726,175.719,165.329,5.466,31.449,43.837,42.142,63.342,151.755,36.397,59.718,24.402,19.165,117.46,248.935,103.98,223.259,202.539,42.135,103.841,8.439,146.901,27.512,0,25.601,23.467,38.274,277.448,238.524,29.883,12.015,36.738,30.071,180.838,60.278,90.822,312.825,95.17,34.672,72.213,113.23,321.516,59.995,162.246,90.714,63.643,45.641,264.109,38.628,55.6,56.057,21.499,26.695,329.48,34.704,240.059,46.781,102.685,37.798, 
Prados de Santa Rosa,335.827,13.322,27.944,10.958,295.782,29.325,91.296,6.819,28.904,278.989,15.151,305.992,17.733,341.052,102.146,287.079,23.543,283.156,19.559,127.336,35.635,29.04,162.358,163.866,43.455,223.094,153.988,143.598,27.202,20.942,22.106,16.809,29.535,134.123,37.263,38.401,22.178,18.786,96.143,249.801,82.248,224.125,180.808,14.747,104.707,24.398,125.584,1.689,25.601,0,3.513,26.965,257.74,218.816,24.667,36.688,32.528,26.931,159.7,40.57,78.659,293.117,94.956,23.363,60.05,101.067,301.808,28.503,150.083,92.496,43.935,47.423,244.401,26.564,35.892,57.839,18.359,10.097,309.772,8.469,220.351,18.825,104.467,25.712, 
Santa Rosa,333.693,13.249,25.81,8.824,293.648,29.252,89.162,4.685,28.831,278.916,13.017,305.919,15.599,340.979,100.012,287.006,21.409,283.083,19.486,127.263,35.562,26.906,162.285,161.732,41.321,228.276,153.915,143.525,25.068,18.808,22.033,16.736,29.462,139.305,35.129,38.328,20.044,16.652,96.07,247.667,82.175,221.991,180.735,14.674,102.573,22.264,125.511,2.935,23.467,3.513,0,24.406,257.068,218.144,22.108,34.129,29.97,24.373,158.229,39.898,80.67,292.445,92.397,20.804,62.061,103.078,301.136,30.514,152.094,89.937,43.263,44.864,243.729,30.461,35.22,55.28,15.8,11.941,309.1,7.722,219.679,20.837,101.908,27.723, 
General Zuazua,346.607,21.583,18.293,21.949,306.562,41.915,88.357,22.606,10.044,284.081,29.112,311.084,25.045,346.144,99.207,292.171,6.682,288.248,13.627,132.428,40.727,39.82,147.954,174.646,56.128,237.084,139.583,129.193,31.34,8.819,22.016,26.426,42.125,148.113,48.043,43.493,12.527,27.329,101.235,260.581,67.844,234.905,166.403,23.007,115.487,25.563,130.676,26.387,38.274,26.965,24.406,0,260.147,197.176,15.644,46.943,48.776,40.289,143.02,42.977,89.059,295.524,81.858,6.787,70.45,111.467,304.215,38.902,160.483,102.751,46.342,57.678,246.808,43.661,38.299,52.448,31.717,26.573,312.179,17.148,222.758,29.225,114.722,36.112, 
Nuevo Progreso,497.977,247.644,278.109,261.123,457.932,241.958,343.433,261.908,266.882,27.752,268.414,70.398,267.897,146.991,354.283,51.486,273.708,31.92,257.537,133.56,235.778,278.994,169.298,413.82,295.302,365.987,140.249,150.077,277.366,271.107,260.084,242.19,242.168,317.19,287.217,238.544,272.343,268.95,232.843,401.173,211.503,474.079,111.738,247.188,354.661,274.562,146.124,255.309,277.448,257.74,257.068,260.147,0,83.404,272.831,284.6,286.433,278.801,136.849,239.173,258.22,168.704,343.12,271.527,249.376,249.955,64.482,249.073,330.617,340.408,218.787,295.335,19.319,263.675,234.458,272.462,269.484,254.51,56.67,249.664,38.963,245.481,352.379,256.126, 
Ciudad Gustavo Daz Ordaz,459.053,208.72,239.185,222.199,419.008,203.034,304.509,222.984,188.048,107.708,229.49,134.711,228.973,169.771,315.359,115.798,203.317,111.875,218.613,94.636,196.854,240.07,88.012,374.896,256.378,367.238,58.963,68.791,238.442,232.183,195.51,203.266,203.244,278.266,248.293,199.62,233.419,230.026,193.919,362.249,130.218,435.155,30.452,208.264,315.737,235.638,107.2,216.385,238.524,218.816,218.144,197.176,83.404,0,232.579,244.348,246.181,238.549,56.519,198.921,217.968,190.577,192.913,231.275,209.124,209.703,128.428,208.821,290.365,300.156,178.535,255.083,71.021,223.423,194.206,232.21,229.232,214.258,136.392,209.412,46.971,205.229,312.127,215.874, 
Cinega de Flores,344.309,37.539,4.504,19.651,304.264,59.96,83.023,20.308,24.948,297.135,26.814,324.138,21.125,359.198,93.873,305.225,11.349,301.302,38.118,145.482,53.78,37.522,162.858,172.348,53.83,244.255,154.487,144.097,26.006,8.748,40.665,38.97,60.17,155.284,45.745,56.546,3.828,21.995,114.289,258.283,82.748,232.607,181.307,38.963,113.189,20.229,143.73,24.089,29.883,24.667,22.108,15.644,272.831,232.579,0,44.383,46.216,37.729,158.106,58.273,95.282,310.82,68.052,12.025,76.673,117.69,319.511,57.989,166.706,100.191,61.638,55.118,262.104,43.331,53.595,65.534,29.157,31.275,327.475,32.698,238.054,44.775,112.162,42.258, 
Hidalgo,343.559,49.309,47.049,30.063,303.514,71.73,82.793,32.329,59.233,308.904,24.067,335.907,36.837,370.967,93.644,316.994,42.648,313.071,49.888,157.251,65.55,20.229,192.687,171.598,10.284,249.324,184.317,173.927,17.321,40.047,52.435,50.74,71.94,160.353,44.995,68.316,41.283,29.935,126.058,257.533,112.578,231.857,211.137,50.733,112.439,20.294,155.499,36.11,12.015,36.688,34.129,46.943,284.6,244.348,44.383,0,45.717,39.05,189.818,69.258,99.802,321.805,115.245,43.652,81.193,122.21,330.496,68.975,171.226,99.693,72.623,54.62,273.089,47.608,64.58,65.036,30.478,35.675,338.46,43.684,249.039,55.761,111.664,46.778, 
Villas del Poniente,309.125,51.141,48.882,31.896,269.08,39.289,106.222,28.151,61.065,310.737,30.077,337.74,38.67,372.8,117.072,318.827,44.481,314.904,51.72,159.084,41.423,20.684,194.519,137.164,54.592,222.874,186.149,175.759,41.717,41.88,54.267,52.572,39.499,133.902,10.055,39.961,43.116,39.723,115.716,223.099,114.41,197.423,212.969,52.565,78.005,43.428,157.332,31.95,36.738,32.528,29.97,48.776,286.433,246.181,46.216,45.717,0,15.267,189.188,68.628,75.37,321.175,114.615,43.022,56.761,97.778,329.866,37.684,146.794,65.055,71.993,19.208,272.459,18.939,63.95,20.435,15.503,21.332,337.83,43.054,248.409,33.304,77.026,22.647, 
Parque Industrial Ciudad Mitras,319.871,36.601,40.395,23.409,279.826,65.931,96.731,22.554,53.434,303.105,20.586,330.108,30.183,365.168,107.581,311.195,35.994,307.272,44.089,151.452,59.751,13.079,186.888,147.91,47.925,233.197,178.518,168.128,35.05,33.393,46.636,44.941,66.141,144.225,21.307,62.517,34.629,25.952,120.259,233.845,106.779,208.169,205.338,38.026,88.751,33.937,149.7,26.353,30.071,26.931,24.373,40.289,278.801,238.549,37.729,39.05,15.267,0,189.153,68.593,81.18,321.14,114.58,42.987,62.571,103.588,329.831,43.494,152.604,64.118,71.958,19.173,272.424,24.749,63.915,19.498,18.568,27.142,337.795,43.019,248.374,55.096,76.089,28.457, 
Ciudad Miguel Alemn,430.375,156.625,160.772,164.512,390.33,172.985,164.777,165.298,133.892,161.153,171.804,188.156,171.286,223.216,241.686,169.243,149.161,165.32,145.708,86.903,174.299,182.384,33.856,317.21,198.692,338.56,4.807,14.635,180.755,151.298,141.354,157.496,173.195,249.588,190.607,177.065,155.006,172.339,183.972,333.571,76.062,377.469,24.424,158.049,258.051,168.042,99.467,157.269,180.838,159.7,158.229,143.02,136.849,56.519,158.106,189.818,189.188,189.153,0,178.174,224.256,242.64,137.376,149.008,205.647,246.664,180.491,173.311,295.68,243.503,181.539,198.429,123.084,178.858,173.496,187.645,172.579,161.77,188.455,152.345,99.034,164.422,255.474,171.309, 
Arboledas de San Roque,295.428,24.505,60.939,43.953,255.383,3.609,126.263,44.738,49.712,263.477,51.244,290.48,50.727,325.54,137.113,271.567,56.538,267.644,40.367,111.824,16.364,61.824,183.166,167.71,78.132,203.613,174.796,164.406,60.196,53.937,42.914,18.971,3.644,114.641,70.047,5.173,55.173,51.78,80.631,198.624,103.057,227.969,201.616,24.049,108.551,57.392,110.072,38.139,60.278,40.57,39.898,42.977,239.173,198.921,58.273,69.258,68.628,68.593,178.174,0,55.224,274.186,127.1,55.507,32.843,78.605,282.877,6.26,127.621,110.243,25.005,79.316,225.47,44.739,9.545,53.526,53.465,35.574,290.841,33.645,201.42,13.524,122.214,22.254, 
Ciudad de Allende,241.586,78.548,97.948,80.961,201.541,68.108,156.881,80.592,95.794,282.524,80.736,309.527,87.736,250.296,167.731,290.614,93.547,286.691,86.449,130.871,55.529,108.161,229.248,201.451,108.676,149.771,220.878,210.488,95.534,90.946,88.996,61.941,68.318,60.799,84.311,54.959,92.182,88.789,42.613,144.782,149.138,261.71,245.346,81.105,142.292,94.087,129.12,79.71,90.822,78.659,80.67,89.059,258.22,217.968,95.282,99.802,75.37,81.18,224.256,55.224,0,251.468,166.74,95.147,31.597,24.404,300.63,66.828,73.42,129.477,40.328,92.126,243.223,60.946,50.027,73.528,75.701,66.403,308.594,75.489,219.173,67.072,141.448,54.534, 
San Fernando,354.34,283.021,313.486,296.5,314.295,277.335,378.81,297.285,302.259,141.858,303.791,110.417,303.274,21.912,389.66,119.325,309.085,138.421,292.914,178.973,271.155,314.371,275.515,450.923,330.679,195.27,246.466,256.294,312.743,306.484,295.461,277.567,277.545,198.083,322.594,273.921,307.72,304.327,208.764,257.536,317.72,511.182,217.955,282.565,391.764,309.939,169.921,290.686,312.825,293.117,292.445,295.524,168.704,190.577,310.82,321.805,321.175,321.14,242.64,274.186,251.468,0,451.16,379.567,280.926,226.548,104.55,357.113,212.794,378.805,326.827,341.454,159.276,310.275,342.498,322.856,377.524,315.731,136.518,357.704,147.003,353.521,390.776,303.862, 
Ciudad Sabinas Hidalgo,414.598,107.828,63.548,89.94,374.553,130.249,27.767,90.597,91.162,367.424,97.103,394.427,86.411,429.487,40.745,375.514,77.563,371.591,108.407,215.771,124.069,107.811,105.158,242.637,124.119,314.544,133.998,123.422,91.293,74.962,110.954,109.259,130.459,225.573,116.034,126.835,70.042,87.281,184.578,328.572,91.894,302.896,160.818,109.252,183.478,85.516,214.019,94.378,95.17,94.956,92.397,81.858,343.12,192.913,68.052,115.245,114.615,114.58,137.376,127.1,166.74,451.16,0,78.056,146.326,187.343,389.164,127.642,236.359,169.844,131.291,124.771,331.757,112.984,123.248,135.187,98.81,100.928,397.128,102.351,307.707,114.428,181.815,111.911, 
Fraccionamiento Real Palmas,343.005,36.235,14.691,18.347,302.96,58.656,84.755,19.004,16.091,295.831,25.51,322.834,21.443,357.894,95.605,303.921,3.08,299.998,20.724,144.178,52.476,36.218,154.001,171.044,52.526,242.951,145.63,135.24,27.738,5.217,28.063,37.666,58.866,153.98,44.441,55.242,8.925,23.727,112.985,256.979,73.891,231.303,172.45,37.659,111.885,21.961,142.426,22.785,34.672,23.363,20.804,6.787,271.527,231.275,12.025,43.652,43.022,42.987,149.008,55.507,95.147,379.567,78.056,0,75.919,116.936,318.757,57.235,165.952,99.437,60.884,54.364,261.35,42.577,52.841,64.78,28.403,30.521,326.721,31.944,237.3,44.021,111.408,41.504, 
Santiago,271.217,59.939,79.339,62.352,231.172,35.992,138.272,61.983,77.185,273.68,62.127,300.683,69.127,279.928,149.122,281.77,74.938,277.847,67.84,122.027,46.685,89.552,210.639,182.841,90.067,179.402,202.269,191.879,76.925,72.337,70.387,58.991,36.202,90.43,65.702,32.578,73.573,70.18,72.245,174.413,130.529,243.1,236.502,62.496,123.682,75.478,120.276,61.101,72.213,60.05,62.061,70.45,249.376,209.124,76.673,81.193,56.761,62.571,205.647,32.843,31.597,280.926,146.326,75.919,0,52.829,293.911,38.057,101.844,106.91,33.609,69.559,236.504,38.38,34.263,50.961,53.134,43.836,301.875,52.922,212.454,44.505,118.881,31.967, 
Montemorelos,220.54,100.956,120.356,103.369,180.495,90.516,179.289,103,118.202,274.259,103.144,314.055,110.144,225.55,190.139,282.349,115.955,278.426,108.857,121.015,78.91,130.569,251.656,223.859,131.084,128.725,243.286,232.896,117.942,113.354,111.404,100.008,90.726,39.753,106.719,91.188,114.59,111.197,17.867,123.736,171.546,284.118,237.081,103.513,164.7,116.495,92.936,102.118,113.23,101.067,103.078,111.467,249.955,209.703,117.69,122.21,97.778,103.588,246.664,78.605,24.404,226.548,187.343,116.936,52.829,0,294.414,88.832,52.318,151.481,64.128,114.13,237.007,82.951,73.827,95.532,97.705,88.407,302.378,97.493,212.957,89.076,163.452,76.538, 
Valle Hermoso,465.781,291.712,322.177,305.191,425.736,286.026,387.501,305.976,310.95,37.636,312.482,6.283,311.965,82.876,398.351,15.104,317.776,34.199,301.605,177.628,279.846,323.062,213.366,457.888,339.37,301.872,184.317,194.145,321.434,315.175,304.152,286.258,286.236,306.827,331.285,282.612,316.411,313.018,276.911,368.977,255.571,518.147,155.806,291.256,398.729,318.63,190.192,299.377,321.516,301.808,301.136,304.215,64.482,128.428,319.511,330.496,329.866,329.831,180.491,282.877,300.63,104.55,389.164,318.757,293.911,294.414,0,294.404,294.438,385.739,264.118,340.666,61.594,309.006,279.789,317.793,314.815,299.841,44.383,294.995,84.294,290.812,397.71,301.457, 
Jardines de la Silla (Jardines),306.447,17.786,60.655,43.669,266.402,4.89,125.979,44.455,44.849,273.377,50.961,300.38,50.443,335.44,136.829,281.467,56.254,277.544,35.504,121.725,11.709,61.541,178.304,163.822,77.849,214.632,169.933,159.543,59.912,53.653,38.051,17.601,2.743,125.661,69.764,6.64,54.889,51.496,90.532,209.643,98.194,224.081,196.753,18.48,104.663,57.108,119.973,29.554,59.995,28.503,30.514,38.902,249.073,208.821,57.989,68.975,37.684,43.494,173.311,6.26,66.828,357.113,127.642,57.235,38.057,88.832,294.404,0,137.526,92.149,34.046,54.029,234.511,26.645,9.363,35.432,49.108,25.795,299.882,22.263,210.461,9.272,104.12,18.002, 
Linares,172.796,149.972,169.372,152.385,132.751,139.532,228.305,152.016,167.218,354.921,152.16,300.301,159.16,211.796,239.155,309.209,164.971,359.088,157.873,203.268,127.926,179.585,300.672,272.874,180.1,77.884,292.302,281.912,166.958,162.37,160.42,149.024,139.742,13.842,155.735,140.204,163.606,160.213,68.061,75.992,220.562,311.963,317.743,152.529,215.064,165.511,143.13,151.134,162.246,150.083,152.094,160.483,330.617,290.365,166.706,171.226,146.794,152.604,295.68,127.621,73.42,212.794,236.359,165.952,101.844,52.318,294.438,137.526,0,200.854,113.501,163.503,316.396,132.324,123.2,144.905,147.078,137.78,326.17,146.866,292.346,138.449,212.825,125.911, 
Ramos Arizpe,265.836,105.117,102.857,85.871,225.791,94.155,160.198,88.137,115.041,364.712,84.053,391.715,92.645,426.775,171.048,372.802,98.456,368.879,105.696,213.059,96.289,74.659,248.495,74.663,108.568,277.281,240.125,229.735,95.693,95.855,108.243,106.548,94.365,188.31,68.151,94.827,97.091,93.698,170.124,179.81,168.386,134.982,266.945,106.541,23.332,97.404,211.307,91.918,90.714,92.496,89.937,102.751,340.408,300.156,100.191,99.693,65.055,64.118,243.503,110.243,129.477,378.805,169.844,99.437,106.91,151.481,385.739,92.149,200.854,0,126.613,61.808,327.079,67.678,118.57,55.111,74.811,83.952,392.45,97.674,303.029,86.04,14.296,76.343, 
Cadereyta Jimnez,281.743,33.839,64.304,47.318,241.698,28.154,129.628,48.103,53.077,243.091,54.609,270.094,54.092,305.154,140.478,251.181,59.903,247.258,43.732,91.438,21.974,65.189,186.531,200.015,81.497,189.928,178.161,167.771,63.561,57.302,46.279,28.385,28.364,100.956,73.412,24.74,58.538,55.145,60.246,184.939,106.422,260.274,205.913,33.383,140.856,60.757,89.687,41.504,63.643,43.935,43.263,46.342,218.787,178.535,61.638,72.623,71.993,71.958,181.539,25.005,40.328,326.827,131.291,60.884,33.609,64.128,264.118,34.046,113.501,126.613,0,81.579,205.445,49.919,16.292,58.706,55.728,40.754,270.816,35.908,181.395,31.726,138.623,42.37, 
