LOCALIDADES,Aramberri,Fraccionamiento Misin de San Javier,Portal de las Salinas,Entronque Laredo-Salinas Victoria,La Ascencin,Valle de Vaqueras,Ciudad de Villaldama,Fraccionamiento Cosmpolis Octavo Sector,Marn,El Control,Simeprodeso (Colectivo Nuevo),El Realito,Ciudad Satlite del Norte,General Francisco Villa,Bustamante,Anhuac,Hacienda San Pedro,Ramrez,Colinas del Aeropuerto,General Bravo,Las Escobas,Alianza Real,Nueva Ciudad Guerrero,General Cepeda,Mina,Hidalgo,Los Guerra,Mier,Las Torres,Villas de Alcal,Pesquera,Loma la Paz,Monte Kristal,Hualahuises,Valle de Lincoln,Hctor Caballero,Real del Sol,Emiliano Zapata,Ciudad General Tern,Galeana,Ciudad Cerralvo,Concepcin del Oro,Ciudad Camargo,Misin San Pablo,Arteaga,Salinas Victoria,China,Ex-Hacienda Santa Rosa,Carmen,Prados de Santa Rosa,Santa Rosa,General Zuazua,Nuevo Progreso,Ciudad Gustavo Daz Ordaz,Cinega de Flores,Hidalgo,Villas del Poniente,Parque Industrial Ciudad Mitras,Ciudad Miguel Alemn,Arboledas de San Roque,Ciudad de Allende,San Fernando,Ciudad Sabinas Hidalgo,Fraccionamiento Real Palmas,Santiago,Montemorelos,Valle Hermoso,Jardines de la Silla (Jardines),Linares,Ramos Arizpe,Cadereyta Jimnez,Garca,Ciudad Ro Bravo,San Pedro Garza Garca,Ciudad Benito Jurez,Ciudad Santa Catarina,Ciudad General Escobedo,San Nicols de los Garza,Heroica Matamoros,Ciudad Apodaca,Reynosa,Guadalupe,Saltillo,Monterrey, 
Simeprodeso (Colectivo Nuevo),328.049,33.799,30.506,14.553,288.004,56.22,80.118,16.819,43.723,293.394,0,318.595,14.233,352.965,94.901,299.532,25.103,295.741,34.357,140.351,47.188,21.183,176.853,155.657,33.894,228.54,168.427,158.015,20.447,22.432,36.104,35.497,54.6,139.631,27.689,50.937,23.358,12.569,109.547,244.845,96.67,215.832,195.246,31.603,100.172,20.02,135.011,14.892,15.469,15.151,13.017,29.112,268.414,229.49,26.814,24.067,30.077,20.586,171.804,51.244,80.736,303.791,97.103,25.51,62.127,103.144,312.482,50.961,152.16,84.053,54.609,38.98,255.075,28.541,46.566,49.396,12.014,16.609,320.446,25.67,231.025,37.747,96.024,27.712, 
El Realito,471.844,297.825,328.29,311.304,431.799,292.139,393.614,312.089,317.063,43.749,318.595,0,318.145,88.751,398.345,21.067,322.427,40.16,307.209,184.917,296.607,328.845,220.974,463.319,345.734,309.744,191.981,201.798,332.287,319.756,308.956,289.313,293.836,312.955,335.351,290.173,320.682,318.463,296.261,374.58,263.111,523.494,162.261,294.191,407.834,323.255,197.316,304.803,327.309,305.992,305.919,311.084,70.398,134.711,324.138,335.907,337.74,330.108,188.156,290.48,309.527,110.417,394.427,322.834,300.683,314.055,6.283,300.38,300.301,391.715,270.094,346.642,67.57,314.982,285.765,323.769,320.791,305.817,50.6,300.971,90.27,296.788,403.686,307.433, 
Ciudad Satlite del Norte,334.451,31.546,22.52,13.657,294.406,53.967,70.027,14.315,41.47,291.142,14.233,318.145,0,352.448,82.365,299.015,21.036,295.224,33.839,139.834,46.67,29.775,176.335,164.249,46.664,235.54,167.909,157.497,10.515,18.365,35.586,34.98,54.083,146.631,36.281,50.42,17.668,1.761,109.03,253.437,96.152,224.424,194.728,31.085,108.764,7.275,134.494,17.474,14.724,17.733,15.599,25.045,267.897,228.973,21.125,36.837,38.67,30.183,171.286,50.727,87.736,303.274,86.411,21.443,69.127,110.144,311.965,50.443,159.16,92.645,54.092,47.572,254.558,35.785,46.049,57.988,21.611,23.729,319.929,25.152,230.508,37.229,104.616,34.712, 
General Francisco Villa,383.15,332.195,362.66,345.674,343.105,326.509,427.984,346.459,351.433,120.192,352.965,88.751,352.448,0,433.405,97.659,357.487,116.753,342.269,219.977,331.667,363.905,256.034,498.379,380.794,221.239,227.041,236.858,367.347,354.816,344.016,324.373,328.896,224.45,370.411,325.233,355.742,353.523,207.756,286.075,298.171,558.554,197.321,329.251,442.894,358.315,168.051,339.863,362.369,341.052,340.979,346.144,146.991,169.771,359.198,370.967,372.8,365.168,223.216,325.54,250.296,21.912,429.487,357.894,279.928,225.55,82.876,335.44,211.796,426.775,305.154,381.702,137.603,350.042,320.825,358.829,355.851,340.877,114.844,336.031,125.33,331.848,438.746,342.493, 
Bustamante,415.118,111.746,94.237,93.857,375.073,134.167,10.412,94.515,109.59,371.342,94.901,398.345,82.365,433.405,0,385.401,95.198,381.61,120.225,226.22,133.056,108.178,145.27,242.652,103.47,315.535,238.309,163.553,77.58,92.527,121.972,121.366,140.469,226.626,114.684,136.806,90.416,83.829,195.416,331.84,166.551,302.827,265.128,117.471,187.167,74.65,220.88,101.887,81.789,102.146,100.012,99.207,354.283,315.359,93.873,93.644,117.072,107.581,241.686,137.113,167.731,389.66,40.745,95.605,149.122,190.139,398.351,136.829,239.155,171.048,140.478,125.975,340.944,115.536,132.435,136.391,99.009,103.604,406.315,111.538,316.894,123.615,183.019,114.707, 
Anhuac,480.564,278.762,309.227,292.241,440.519,273.076,374.551,293.026,298,24.687,299.532,21.067,299.015,97.659,385.401,0,303.514,21.248,288.296,166.004,277.694,309.932,202.061,444.406,326.821,318.652,173.068,182.885,313.374,300.843,290.043,270.4,274.923,350.482,316.438,271.26,301.769,299.55,265.164,383.488,244.198,504.581,143.348,275.278,388.921,304.342,178.403,285.89,308.396,287.079,287.006,292.171,51.486,115.798,305.225,316.994,318.827,311.195,169.243,271.567,290.614,119.325,375.514,303.921,281.77,282.349,15.104,281.467,309.209,372.802,251.181,327.729,48.657,296.069,266.852,304.856,301.878,286.904,57.895,282.058,71.357,277.875,384.773,288.52, 
Hacienda San Pedro,342.598,35.828,14.284,17.94,302.553,58.249,84.348,18.597,16.252,295.424,25.103,322.427,21.036,357.487,95.198,303.514,0,301.035,20.96,145.645,52.481,35.586,154.21,170.06,52.475,241.351,145.784,135.372,27.713,4.664,28.123,40.791,59.894,152.442,42.092,56.231,7.892,22.848,114.841,259.248,74.026,230.235,172.603,36.896,114.575,22.253,140.305,23.284,34.05,23.543,21.409,6.682,273.708,203.317,11.349,42.648,44.481,35.994,149.161,56.538,93.547,309.085,77.563,3.08,74.938,115.955,317.776,56.254,164.971,98.456,59.903,53.383,260.369,41.596,51.86,63.799,27.422,29.54,325.74,30.963,236.319,43.04,110.427,40.523, 
Ramrez,525.304,274.971,305.436,288.45,485.259,269.285,370.76,289.235,294.209,3.437,295.741,40.16,295.224,116.753,381.61,21.248,301.035,0,284.373,162.081,273.771,306.009,198.138,440.483,322.898,337.748,169.145,178.962,309.451,296.92,286.12,266.477,271,346.559,312.515,267.337,297.846,295.627,261.241,430.138,240.275,500.658,139.425,271.355,384.998,300.419,174.48,281.967,304.473,283.156,283.083,288.248,31.92,111.875,301.302,313.071,314.904,307.272,165.32,267.644,286.691,138.421,371.591,299.998,277.847,278.426,34.199,277.544,359.088,368.879,247.258,323.806,38.648,292.146,262.929,300.933,297.955,282.981,38.329,278.135,67.434,273.952,380.85,284.597, 
Colinas del Aeropuerto,351.724,19.179,32.571,27.065,311.679,35.538,109.375,27.851,16.279,280.206,34.357,307.209,33.839,342.269,120.225,288.296,20.96,284.373,0,129.474,31.731,42.826,150.758,177.3,59.715,234.253,142.331,131.919,46.268,22.896,9.223,21.213,37.188,145.344,49.331,40.06,34.662,32.443,98.67,228.923,70.574,237.475,169.15,20.471,121.815,37.235,124.134,18.37,41.29,19.559,19.486,13.627,257.537,218.613,38.118,49.888,51.72,44.089,145.708,40.367,86.449,292.914,108.407,20.724,67.84,108.857,301.605,35.504,157.873,105.696,43.732,60.622,244.198,41.051,35.689,49.838,34.772,23.963,309.569,14.538,220.148,26.615,117.667,33.502, 
General Bravo,369.914,119.581,150.046,133.06,329.869,113.895,215.37,133.845,138.819,157.914,140.351,184.917,139.834,219.977,226.22,166.004,145.645,162.081,129.474,0,117.952,150.189,115.338,284.663,167.078,279.648,85.797,88.275,153.631,141.1,130.3,110.657,115.18,190.739,156.695,111.517,142.026,139.807,103.83,274.318,78.823,344.838,80.031,115.535,229.178,144.599,12.465,126.147,148.653,127.336,127.263,132.428,133.56,94.636,145.482,157.251,159.084,151.452,86.903,111.824,130.871,178.973,215.771,144.178,122.027,121.015,177.628,121.725,203.268,213.059,91.438,167.986,120.221,136.326,107.109,145.113,142.135,127.161,185.592,122.315,96.171,118.133,225.03,128.777, 
