LOCALIDADES,Santa Mara Chimalapa,Santiago Laollaga,Tierra y Libertad,Morro de Mazatn,Reforma de Pineda,Colonia Progreso,Colonia Jurez,San Pedro Huilotepec,San Dionisio del Mar,Chicapa de Castro,Santiago Niltepec,Poblado 10,Emiliano Zapata,Cabeza de Toro,lvaro Obregn,Santa Mara Mixtequilla,Palomares,Magdalena Tequisistln,San Pedro Comitancillo,San Juan Guichicovi,San Francisco del Mar,La Ventosa,San Francisco Ixhuatn,Santo Domingo Petapa,San Mateo del Mar,Santo Domingo Ingenio,Paredn,Asuncin Ixtaltepec,Santo Domingo Zanatepec,San Pedro Tapanatepec,Santa Mara Xadani,El Espinal,Santa Mara Jalapa del Marqus,Chahuites,San Blas Atempa,Unin Hidalgo,Matas Romero Avendao,Arriaga,Ciudad Ixtepec,Santo Domingo Tehuantepec,Heroica Ciudad de Juchitn de Zaragoza,Salina Cruz, 
San Francisco Ixhuatn,146.901,110.784,118.71,162.029,6.46,118.34,153.909,133.293,37.084,52.192,41.651,218.832,81.385,139.241,114.38,127.03,153.119,166.912,106.486,150.368,4.216,78.407,0,125.37,154.462,60.061,132.09,94.325,26.871,49.865,104.361,93.083,150.378,60.69,119.423,75.811,119.926,95.562,105.317,121.42,94.818,136.132, 
Santo Domingo Petapa,83.083,81.011,206.581,135.596,119.013,7.97,127.476,106.86,96.734,79.284,86.037,121.711,169.256,227.112,87.947,97.257,55.998,140.479,80.053,53.247,129.164,51.874,125.37,0,127.521,69.298,220.691,67.384,115.471,138.465,77.42,66.142,123.437,149.291,92.482,73.191,16.789,184.163,75.414,94.479,67.877,109.191, 
San Mateo del Mar,148.436,83.802,235.673,55.124,148.105,119.876,5.239,20.933,104.442,86.992,115.129,220.368,198.348,256.204,32.315,50.906,154.654,85.082,71.16,151.903,158.256,76.387,154.462,127.521,0,102.187,253.58,73.921,148.36,171.354,48.182,70.26,68.517,182.18,35.731,88.107,126.997,217.052,77.908,38.634,66.948,28.073, 
Santo Domingo Ingenio,90.214,54.097,141.272,105.342,53.704,61.653,97.222,76.606,42.106,24.656,20.728,162.145,103.947,161.803,57.693,70.343,96.432,110.225,49.799,93.681,63.855,21.72,60.061,69.298,102.187,0,155.246,37.517,50.026,73.02,47.553,36.275,93.57,83.846,62.615,19.004,63.118,118.718,48.509,64.612,38.01,79.324, 
Paredn,241.607,205.49,58.116,256.735,125.733,213.046,248.615,227.999,177.672,176.049,136.357,313.538,60.201,21.866,209.086,221.736,247.825,261.618,201.192,245.074,135.884,173.113,132.09,220.691,253.58,155.246,0,186.455,102.883,78.907,196.491,185.213,242.508,73.11,211.553,167.942,212.056,35.377,197.447,213.55,186.948,228.262, 
Asuncin Ixtaltepec,88.3,23.372,175.536,77.076,87.968,59.739,68.956,48.34,52.709,35.259,54.992,160.231,138.211,196.067,29.427,39.926,94.517,81.958,13.46,91.766,98.119,16.25,94.325,67.384,73.921,37.517,186.455,0,83.303,106.297,19.013,3.782,65.029,117.123,34.074,31.493,61.94,151.995,8.429,36.071,10.334,50.783, 
Santo Domingo Zanatepec,136.387,100.27,91.964,151.515,20.514,107.826,143.395,122.779,72.452,70.83,31.137,208.318,54.639,112.495,103.866,116.516,142.605,156.398,95.972,139.854,30.665,67.893,26.871,115.471,148.36,50.026,102.883,83.303,0,23.018,94.011,82.733,140.028,33.843,109.073,65.461,109.576,68.715,94.967,111.07,84.468,125.782, 
San Pedro Tapanatepec,159.381,123.264,67.988,174.509,43.508,130.82,166.389,145.773,95.446,93.824,54.131,231.312,30.663,88.519,126.86,139.51,165.599,179.392,118.966,162.848,53.659,90.887,49.865,138.465,171.354,73.02,78.907,106.297,23.018,0,116.978,105.7,162.995,9.586,132.04,88.428,132.543,44.458,117.934,134.037,107.435,148.749, 
Santa Mara Xadani,98.336,41.475,185.572,76.775,98.004,69.775,43.217,27.148,53.07,35.62,65.028,170.267,148.247,206.103,16.19,39.307,104.553,81.657,29.337,101.802,108.155,26.286,104.361,77.42,48.182,47.553,196.491,19.013,94.011,116.978,0,15.232,64.609,127.152,33.654,30.511,71.969,162.024,26.544,35.651,9.96,50.363, 
El Espinal,87.058,26.118,174.294,73.415,86.726,58.497,65.295,44.679,48.039,30.589,53.75,158.989,136.969,194.825,25.766,35.947,93.275,78.297,15.11,90.524,96.877,15.008,93.083,66.142,70.26,36.275,185.213,3.782,82.733,105.7,15.232,0,61.237,115.883,30.282,26.845,60.7,150.755,11.187,32.279,5.687,46.991, 
Santa Mara Jalapa del Marqus,144.353,65.525,231.589,63.699,144.021,115.792,63.552,49.027,100.359,82.909,111.045,216.284,194.264,252.12,50.904,32.629,150.571,17.345,67.076,147.819,154.172,72.303,150.378,123.437,68.517,93.57,242.508,65.029,140.028,162.995,64.609,61.237,0,174.506,33.567,80.432,119.323,209.378,61.471,30.949,59.273,45.66, 
Chahuites,170.207,134.09,62.191,185.335,54.333,141.646,177.215,156.599,106.272,104.649,64.957,242.138,24.866,82.722,137.686,150.336,176.425,190.218,129.792,173.674,64.484,101.713,60.69,149.291,182.18,83.846,73.11,117.123,33.843,9.586,127.152,115.883,174.506,0,142.225,98.614,142.728,38.654,128.119,144.222,117.62,158.934, 
San Blas Atempa,113.397,47.999,200.634,44.397,113.066,84.837,30.766,15.083,69.403,51.953,80.09,185.329,163.309,221.165,17.768,7.604,119.615,49.279,36.121,116.864,123.217,41.348,119.423,92.482,35.731,62.615,211.553,34.074,109.073,132.04,33.654,30.282,33.567,142.225,0,48.084,86.974,177.029,43.792,5.443,26.925,20.155, 
Unin Hidalgo,94.107,57.99,157.023,91.262,69.454,65.546,83.142,62.526,23.18,5.73,36.478,166.038,119.698,177.554,43.613,53.794,100.325,96.144,43.823,97.574,46.848,25.613,75.811,73.191,88.107,19.004,167.942,31.493,65.461,88.428,30.511,26.845,80.432,98.614,48.084,0,68.233,133.913,37.889,50.186,21.44,64.898, 
Matas Romero Avendao,77.639,75.567,201.137,130.152,113.569,15.851,122.032,101.416,91.29,73.84,80.593,100.604,163.812,221.668,82.503,91.813,34.89,135.035,74.609,32.139,123.72,46.43,119.926,16.789,126.997,63.118,212.056,61.94,109.576,132.543,71.969,60.7,119.323,142.728,86.974,68.233,0,177.319,68.569,87.635,61.033,102.347, 
Arriaga,205.079,168.962,23.537,220.207,89.205,176.518,212.087,191.471,141.144,139.521,99.829,277.01,23.673,44.99,172.558,185.208,211.297,225.09,164.664,208.546,99.356,136.585,95.562,184.163,217.052,118.718,35.377,151.995,68.715,44.458,162.024,150.755,209.378,38.654,177.029,133.913,177.319,0,162.991,179.094,152.492,193.806, 
Ciudad Ixtepec,96.33,14.941,186.528,72.855,98.96,67.769,72.943,58.418,59.104,41.654,65.984,168.261,149.203,207.059,37.078,31.495,102.547,77.183,18.181,99.796,109.111,24.165,105.317,75.414,77.908,48.509,197.447,8.429,94.967,117.934,26.544,11.187,61.471,128.119,43.792,37.889,68.569,162.991,0,42.379,19.872,57.09, 
Santo Domingo Tehuantepec,115.395,45.381,202.631,41.789,115.063,86.834,33.669,19.144,71.401,53.951,82.087,187.326,165.306,223.162,21.946,12.485,121.613,46.661,38.118,118.861,125.214,43.345,121.42,94.479,38.634,64.612,213.55,36.071,111.07,134.037,35.651,32.279,30.949,144.222,5.443,50.186,87.635,179.094,42.379,0,28.692,15.08, 
Heroica Ciudad de Juchitn de Zaragoza,88.793,34.802,176.029,70.103,88.461,60.232,61.983,41.367,42.655,25.205,55.485,160.724,138.704,196.56,22.454,32.635,95.011,74.985,22.664,92.26,67.108,16.743,94.818,67.877,66.948,38.01,186.948,10.334,84.468,107.435,9.96,5.687,59.273,117.62,26.925,21.44,61.033,152.492,19.872,28.692,0,43.74, 
Salina Cruz,130.107,60.092,217.343,28.212,129.775,101.546,23.108,8.583,86.113,68.663,96.799,202.038,180.018,237.874,19.965,27.196,136.325,61.372,52.83,133.573,139.926,58.057,136.132,109.191,28.073,79.324,228.262,50.783,125.782,148.749,50.363,46.991,45.66,158.934,20.155,64.898,102.347,193.806,57.09,15.08,43.74,0, 
