LOCALIDADES,Escolsticas,Lagunillas,El Vegil,Esperanza,Victoria,La Venta de Ajuchitlancito,Alfajayucan,San Pedro de los Pozos (Mineral de Pozos),Guadalupe Septin,Puerto de Aguirre,El Tejocote,Colonia San Luis Rey,Bordo Blanco,San Antonio de la Cal,Fuentes de Balvanera,Los Rodrguez,Tolimn,Amexhe,El Castillo,El Palmar (Santa Mara del Palmar),Fuentezuelas,Obrajuelo,Tierra Blanca,Jess Mara,Galindo (San Jos Galindo),El Blanco,San Miguelito,Epigmenio Gonzlez (El Ahorcado),Ajuchitlancito,El Capuln,Tlaxcalilla,Colinas de Santa Cruz Segunda Seccin,El Cazadero,Visth,Atongo,La Gotera,Los Olvera,Santa Rosa Xajay,San Fandila,San Pablo Tolimn,San Juan del Llanito,San Bartolom Aguas Calientes,San Isidro Miranda,Montenegro,La Solana,Arcila,Santa Cruz,Bernal,Coroneo,Pie de Gallo,Buenavista,Chichimequillas,La Griega,La Fuente,La D,Colonia los ngeles,General Lzaro Crdenas (El Colorado),Tlacote el Bajo,El Salitre,La Piedad (San Miguel Colorado),Paso de Mata,San Clemente,Doctor Mora,Ajuchitln,La Llave,San Nicols,La Valla,Villa Progreso,Saldarriaga,Amazcala,La Estancia,La Lira,La Pradera,Misin de Chichimecas,El Sauz (Sauz Alto,Coln,Amealco de Bonfil,La Negreta,Santa Mara Magdalena,Pedro Escobedo,La Caada,San Pedro Mrtir,Juriquilla,Cadereyta de Montes,Ezequiel Montes,San Jos el Alto,Venceremos,San Jos de los Olvera,Santa Rosa Juregui,San Jos Iturbide,Tequisquiapan,San Luis de la Paz,San Miguel de Allende,El Pueblito,San Juan del Ro,Santiago de Quertaro, 
El Tejocote,52.815,54.376,66.68,20.683,136.848,42.435,44.094,121.187,18.497,68.053,0,102.94,25.625,26.751,67.774,116.039,48.831,68.568,58.035,48.566,15.032,68.928,62.037,33.25,57.044,16.405,76.906,23.824,45.108,99.23,53.873,57.95,50.717,24.834,47.525,76.809,56.612,34.142,36.464,41.802,66.059,70.359,49.853,70.518,72.725,54.82,42.715,22.586,113.231,73.811,68.558,57.379,30.036,9.189,49.095,60.38,30.905,67.083,60.575,33.036,46.551,17.821,110.824,14.576,21.413,26.723,15.496,33.117,34.133,35.248,53.107,41.323,56.344,135.742,43.59,23.849,88.385,57.629,54.487,23.029,54.408,57.574,67.684,36.94,26.586,54.795,53.282,51.761,68.013,89.925,24.868,132.622,103.912,53.7,30.373,51.781, 
Colonia San Luis Rey,100.234,87.96,88.229,95.702,87.837,89.854,69.514,60.858,90.468,40.253,102.94,0,125.01,117.909,84.763,25.652,139.989,74.536,75.077,139.724,107.479,82.082,54.767,85.947,104.301,93.791,51.533,84.123,92.365,71.754,137.957,63.826,125.809,110.312,75.216,49.333,73.601,125.502,83.721,132.96,83.048,87.261,75.118,48.158,53.158,102.077,67.095,113.744,113.455,41.61,35.683,63.337,74.38,101.171,96.352,77.369,76.961,60.208,61.364,79.091,121.644,93.591,63.396,105.735,108.174,122.602,100.84,124.275,77.909,69.361,100.363,88.58,67.518,80.006,90.847,115.008,135.642,74.618,68.795,87.576,71.889,65.238,52.863,128.098,117.744,63.713,70.5,68.751,46.94,62.449,131.508,76.886,3.416,70.689,113.537,62.023, 
Bordo Blanco,48.584,63.762,88.393,33.7,158.541,46.094,78.397,142.88,43.062,89.746,25.625,125.01,0,38.982,89.979,138.244,61.062,90.773,80.24,45.022,15.436,91.133,84.242,62.096,37.859,32.765,99.111,46.573,50.239,121.435,37.993,80.155,34.837,10.27,70.951,99.014,78.817,15.493,50.83,54.033,88.264,92.564,72.058,92.723,94.93,35.635,83.342,34.817,73.946,96.016,90.763,79.584,47.747,25.375,42.269,82.585,53.11,89.288,82.78,55.24,30.671,26.557,133.029,36.601,13.554,4.291,19.476,27.947,63.599,52.959,29.385,45.183,78.549,157.947,36.803,45.874,49.1,79.834,76.692,39.414,76.613,79.779,89.889,33.395,20.779,77,75.487,73.966,90.218,112.13,6.737,154.827,126.117,75.905,14.493,73.986, 
San Antonio de la Cal,67.408,68.968,81.272,44.259,86.295,57.028,58.687,135.779,57.642,82.645,26.751,117.909,38.982,0,81.892,130.157,23.37,82.686,72.153,30.838,43.45,83.046,76.155,47.368,71.162,41.641,91.024,43.561,59.226,113.348,75.544,72.068,92.671,47.821,50.562,90.927,70.73,53.044,50.582,16.341,80.177,84.477,63.971,84.636,86.843,68.938,56.833,4.165,127.349,87.929,82.676,71.497,44.154,36.771,63.213,74.498,45.023,81.201,74.693,47.154,88.505,49.765,124.942,16.212,51.105,41.842,43.078,25.026,48.251,49.366,67.225,55.441,70.462,149.86,57.708,25.485,102.503,71.747,68.605,54.438,68.526,71.692,81.802,19.212,19.089,68.913,67.4,65.879,82.131,104.043,34.7,146.74,118.03,67.818,52.043,65.899, 
Fuentes de Balvanera,57.838,36.976,29.179,60.536,118.154,54.689,68.418,102.493,55.302,50.503,67.774,84.763,89.979,81.892,0,98.438,104.53,10.924,15.186,104.265,72.02,9.264,48.995,45.157,68.862,58.332,48.774,48.685,50.507,81.692,102.519,21.614,90.371,74.874,67.462,59.27,18.138,90.063,46.271,97.501,3.575,12.112,29.394,42.386,44.593,66.638,59.341,78.285,54.981,50.081,51.026,53.558,51.302,65.733,60.913,8.544,38.341,24.234,32.443,38.301,86.205,58.153,93.286,70.276,72.736,87.163,65.402,88.816,35.833,56.514,64.925,53.141,37.512,118.204,55.408,79.549,100.203,13.628,20.788,52.138,35.576,20.921,39.552,92.639,82.285,32.091,20.067,17.495,39.881,72.387,96.069,115.084,81.255,15.225,78.098,25.862, 
Los Rodrguez,113.333,100.99,101.259,108.801,63.865,102.953,82.544,36.886,103.567,53.283,116.039,25.652,138.244,130.157,98.438,0,151.773,97.254,86.721,151.508,119.263,97.615,66.411,97.731,116.085,105.575,63.177,95.907,104.149,45.786,149.741,75.47,137.593,122.096,87,46.162,85.245,137.286,95.505,144.744,94.692,98.992,86.762,59.802,64.802,113.861,78.879,125.528,125.099,54.471,48.544,75.121,86.164,112.955,108.136,89.013,88.745,71.852,73.008,90.875,133.428,105.375,38.762,117.519,119.958,134.386,112.624,136.059,89.553,81.145,112.147,100.364,79.162,47.073,102.631,126.792,147.426,86.262,80.439,99.36,83.533,76.882,64.507,139.882,129.528,74.83,82.144,80.395,58.584,36.481,143.292,43.953,25.962,82.333,125.321,73.667, 
Tolimn,89.488,91.048,103.352,66.339,63.06,79.108,56.007,157.859,79.722,104.725,48.831,139.989,61.062,23.37,104.53,151.773,0,104.764,94.231,52.916,65.528,105.124,98.233,69.446,93.24,63.719,113.102,65.639,81.304,70.403,97.622,94.146,114.749,69.899,56.334,113.005,92.808,75.122,72.66,8.528,102.255,106.555,86.049,106.714,108.921,91.016,78.911,26.243,149.427,110.007,104.754,93.575,66.232,58.849,85.291,96.576,67.101,103.279,96.771,69.232,110.583,71.843,70.914,38.29,73.183,63.92,65.156,47.104,70.329,71.444,89.303,77.519,92.54,99.711,79.786,30.66,124.581,93.825,90.683,76.516,90.604,93.77,103.88,41.29,41.167,90.991,89.478,87.957,104.209,126.121,56.778,102.637,140.108,89.896,74.121,87.977, 
Amexhe,58.632,42.988,36.455,61.33,119.001,55.483,69.212,103.34,56.096,51.35,68.568,74.536,90.773,82.686,10.924,97.254,104.764,0,14.331,104.856,72.611,7.698,50.168,45.748,69.453,58.923,49.947,49.276,51.098,82.865,103.11,20.759,90.962,75.465,68.053,60.443,28.31,90.654,46.862,98.092,22.84,27.141,29.985,43.559,45.766,67.229,59.932,78.876,61.921,51.254,52.199,54.731,51.893,66.324,61.504,17.162,38.932,23.379,33.616,38.892,86.796,58.744,94.459,70.867,73.327,87.754,65.993,89.407,38.959,57.105,65.516,53.732,38.103,119.377,55.999,80.14,100.794,20.33,19.933,52.729,36.167,20.066,40.725,93.23,82.876,36.554,25.107,23.459,41.054,73.56,96.66,116.257,71.622,25.398,78.689,27.035, 
El Castillo,48.099,32.455,25.641,50.797,108.468,44.95,58.679,92.807,45.563,40.817,58.035,75.077,80.24,72.153,15.186,86.721,94.231,14.331,0,95.325,63.08,14.284,37.723,36.217,59.922,49.392,28.251,39.745,41.567,70.42,93.579,7.7,81.431,65.934,58.522,47.998,14.377,81.123,37.331,88.561,12.139,16.44,20.454,31.114,33.321,57.698,50.401,69.345,51.22,38.809,39.754,42.286,42.362,56.793,51.973,6.461,29.401,10.32,21.171,29.361,77.265,49.213,82.014,61.336,63.796,78.223,56.462,79.876,29.428,47.574,55.985,44.201,28.572,106.932,46.468,70.609,91.263,9.629,6.874,43.198,26.636,7.007,28.28,83.699,73.345,27.023,15.576,13.734,28.609,61.115,87.129,103.812,75.108,11.464,69.158,14.43, 
El Palmar (Santa Mara del Palmar),89.223,90.783,103.087,66.074,115.843,78.843,80.502,157.594,79.457,104.46,48.566,139.724,45.022,30.838,104.265,151.508,52.916,104.856,95.325,0,49.789,105.117,98.226,69.439,81.748,63.712,113.095,65.632,81.297,135.419,81.883,94.139,78.726,54.16,72.632,112.998,92.801,59.383,72.653,46.188,102.248,106.548,86.042,106.707,108.914,79.524,78.904,26.972,117.835,110,104.747,93.568,66.225,59.728,85.284,96.569,67.094,103.272,96.764,69.225,74.56,68.36,147.013,38.282,57.444,48.181,63.366,21.525,70.322,71.437,73.274,77.512,92.533,171.931,79.779,47.555,92.989,93.818,90.676,76.509,90.597,93.763,103.873,14.174,25.428,90.984,89.471,87.95,104.202,126.114,41.039,168.811,140.101,89.889,58.382,87.97, 
Fuentezuelas,37.375,58.538,70.842,23.108,141.01,31.555,48.267,125.349,20.922,72.215,15.032,107.479,15.436,43.45,72.02,119.263,65.528,72.611,63.08,49.789,0,72.7,65.809,37.025,37.211,18.83,80.678,26.249,34.279,103.002,46.892,61.722,43.736,19.169,51.3,80.581,60.384,24.393,40.236,58.543,69.831,74.131,53.625,74.29,76.497,34.987,46.49,39.327,82.845,77.583,72.33,61.151,33.811,8.714,31.472,64.152,34.677,70.855,64.347,36.808,39.57,17.347,114.596,29.542,19.466,13.19,13.549,32.458,37.908,39.023,30.672,28.083,60.116,139.514,25.753,38.815,57.999,61.401,58.259,23.454,58.18,61.346,71.456,37.906,25.29,58.567,57.054,55.533,71.785,93.697,11.336,136.394,107.684,57.472,23.392,55.553, 
Obrajuelo,58.992,43.348,36.816,61.69,119.362,55.843,69.572,103.701,56.456,51.711,68.928,82.082,91.133,83.046,9.264,97.615,105.124,7.698,14.284,105.117,72.7,0,50.547,46.127,69.832,59.302,33.619,49.655,51.477,83.244,103.489,13.067,91.341,75.844,68.432,60.822,28.689,91.033,47.241,98.471,12.083,25.93,30.364,43.938,46.145,67.608,60.311,79.255,60.71,51.633,52.578,55.11,52.272,66.703,61.883,15.951,39.311,15.687,33.995,39.271,87.175,59.123,94.838,71.246,73.706,88.133,66.372,89.786,39.338,57.484,65.895,54.111,38.482,119.756,56.378,80.519,101.173,19.119,12.995,53.108,36.546,12.374,41.104,93.609,83.255,36.933,25.486,23.838,41.433,73.939,97.039,116.636,79.121,25.777,79.068,27.414, 
Tierra Blanca,59.331,51.547,51.816,54.799,88.158,48.951,22.925,72.497,49.565,9.314,62.037,54.767,84.242,76.155,48.995,66.411,98.233,50.168,37.723,98.226,65.809,50.547,0,28.049,77.453,41.588,15.787,57.275,65.517,44.953,111.109,27.795,98.961,83.464,21.872,18.555,37.57,98.654,56.873,80.747,47.017,51.317,39.087,6.786,10.98,75.229,13.751,61.531,77.424,17.151,14.287,4.918,21.036,49.183,69.504,41.338,48.034,28.23,25.333,47.994,94.796,66.743,56.547,53.521,81.326,95.754,55.739,72.062,28.932,16.017,73.515,61.732,31.487,81.465,63.999,48.325,108.794,38.587,32.764,60.728,35.858,29.207,16.832,75.885,65.531,27.155,34.469,32.72,10.442,35.648,65.112,78.345,49.641,34.658,86.689,25.992, 
Jess Mara,29.758,30.784,43.979,26.015,119.478,26.806,21.04,103.817,27.42,50.684,33.25,85.947,62.096,47.368,45.157,97.731,69.446,45.748,36.217,69.439,37.025,46.127,28.049,0,41.174,23.24,52.911,20.997,22.684,83.077,74.831,33.956,62.683,47.186,26.162,60.656,32.618,62.375,18.448,62.399,42.065,46.365,25.859,46.523,48.73,38.95,21.352,43.183,72.472,54.218,52.405,25.03,8.673,30.835,28.978,36.386,10.653,43.089,36.581,7.777,58.517,30.465,94.671,35.173,45.048,59.475,37.714,53.714,6.543,13.885,37.237,25.454,18.098,119.589,27.72,44.446,72.515,33.635,30.493,24.45,26.122,33.58,43.69,57.537,47.183,26.509,29.288,27.767,44.018,73.772,46.763,116.469,87.759,29.706,50.41,27.787, 
Galindo (San Jos Galindo),17.113,30.545,39.112,49.806,137.832,17.727,57.688,122.171,22.353,69.037,57.044,104.301,37.859,71.162,68.862,116.085,93.24,69.453,59.922,81.748,37.211,69.832,77.453,41.174,0,36.552,80.149,27.611,22.636,102.473,52.247,61.194,40.099,24.601,72.501,80.052,59.855,39.791,23.227,88.408,69.302,73.602,53.097,73.761,75.968,6.794,64.38,69.192,54.111,77.054,71.801,60.622,47.564,30.477,12.295,63.623,34.148,70.326,63.818,36.279,35.933,22.432,114.067,61.183,22.463,36.891,22.805,67.008,44.638,52.776,11.533,17.103,59.588,138.985,17.841,70.456,29.265,60.872,57.73,20.452,57.652,60.818,70.927,72.456,59.839,58.039,56.525,55.004,71.256,93.168,45.797,135.865,107.155,56.943,27.826,55.025, 
El Blanco,30.546,44.85,57.154,4.852,127.322,20.166,34.579,111.661,12.441,58.527,16.405,93.791,32.765,41.641,58.332,105.575,63.719,58.923,49.392,63.712,18.83,59.302,41.588,23.24,36.552,0,66.002,12.561,23.866,88.326,68.246,47.046,56.098,28.631,36.624,65.905,45.708,37.939,25.56,55.644,55.155,59.455,38.949,59.614,61.821,32.365,31.814,36.428,90.776,62.907,57.654,46.475,19.135,12.737,24.991,49.476,20.001,56.179,49.671,22.132,51.932,13.266,99.92,28.418,25.21,30.52,19.293,46.959,23.232,24.347,30.652,18.81,45.44,124.838,20.466,37.691,65.93,46.725,43.583,16.973,43.504,46.67,56.78,50.782,40.428,43.891,42.378,40.857,57.109,79.021,28.665,121.718,93.008,42.796,34.17,40.877, 
San Miguelito,66.969,51.326,51.595,69.668,84.924,63.82,38.357,69.263,64.434,17.273,76.906,51.533,99.111,91.024,48.774,63.177,113.102,49.947,28.251,113.095,80.678,33.619,15.787,52.911,80.149,66.002,0,60.179,68.421,47.857,114.013,18.611,101.865,86.368,51.273,25.435,35.886,101.558,54.279,109.016,34.155,38.456,37.402,9.126,15.442,78.133,43.152,89.8,75.74,8.008,12.91,20.298,50.437,77.227,72.408,28.477,46.349,12.338,18.865,46.309,97.7,69.647,59.451,81.791,84.23,98.658,76.896,100.331,40.194,45.418,76.419,64.636,29.802,84.369,66.903,91.064,111.698,31.645,26.876,63.632,34.174,19.053,9.495,104.154,93.8,25.47,32.785,31.036,6.148,38.552,107.564,81.249,52.545,32.974,89.593,24.308, 
Epigmenio Gonzlez (El Ahorcado),21.662,25.127,47.507,16.839,117.654,11.282,35.447,101.993,11.896,48.859,23.824,84.123,46.573,43.561,48.685,95.907,65.639,49.276,39.745,65.632,26.249,49.655,57.275,20.997,27.611,12.561,60.179,0,13.469,79.317,59.062,38.038,46.914,31.416,36.377,56.896,36.7,46.606,8.972,59.733,46.147,50.447,29.941,50.605,52.812,23.181,41.224,40.517,81.592,53.898,48.645,37.466,18.888,13.783,17.456,40.468,10.992,47.171,40.663,13.123,42.748,13.918,90.911,32.507,29.278,43.706,21.329,51.047,21.482,24.1,21.467,9.684,36.432,115.829,11.951,41.78,56.746,37.717,34.575,8.681,34.496,37.662,47.771,54.871,44.516,34.883,33.37,31.849,48.1,70.012,36.142,112.709,83.999,33.788,34.641,31.869, 
Ajuchitlancito,8.049,15.337,30.048,37.87,125.896,3.719,45.752,110.235,15.562,57.101,45.108,92.365,50.239,59.226,50.507,104.149,81.304,51.098,41.567,81.297,34.279,51.477,65.517,22.684,22.636,23.866,68.421,13.469,0,89.863,62.761,41.044,50.613,35.115,46.422,67.442,39.706,50.305,4.637,75.798,49.153,53.453,32.947,53.611,55.818,16.31,51.77,56.582,49.801,64.444,59.191,48.012,28.933,25.975,10.341,43.474,16.864,50.177,43.669,15.932,46.447,18.395,101.457,48.573,32.977,47.405,25.644,67.113,24.291,34.145,25.166,8.409,39.438,126.375,15.65,57.846,46.865,40.723,37.581,12.38,37.502,40.668,50.778,70.936,60.582,37.889,36.376,34.855,51.106,80.558,56.311,123.255,94.545,36.794,38.34,34.875, 
