LOCALIDADES,Los rganos de Juan R. Escudero,Tuncingo,Las Mesas,Palo Blanco,Chiepetepec,Coacoyula de lvarez,Colotepec,Tototepec (Yozononi),Huamuchapa,Copanatoyac,Tlamixtlahuacan,Pochahuizco,Yextla,Amatillo,Atlixtac,Ahuacuotzingo,Acatln,Colotlipa,Tuliman,Temalacatzingo,Xochipala,Tixtlancingo,Tepetixtla,Xalpatlhuac,Mezcala,Alpoyeca,Nejapa,Ayahualulco,Xalpatlhuac,Tecoanapa,San Pedro las Playas,Apango,Las Vigas,Huitziltepec,Tres Palos,Mochitln,Mazatln,Quechultenango,Olinal,Atliaca,Huamuxtitln,Zitlala,Bajos del Ejido,Kilmetro 30,Tlacotepec,Ocotito,Xaltianguis,Petaquillas,Chichihualco,Tierra Colorada,Cruz Grande,San Marcos,Coyuca de Bentez,Ayutla de los Libres,Tixtla de Guerrero,Zumpango del Ro,Chilapa de lvarez,Tlapa de Comonfort,Chilpancingo de los Bravo,Acapulco de Jurez, 
Cruz Grande,104.635,89.519,74.332,195.539,231.128,277.714,50.739,191.696,66.387,224.891,260.08,266.553,302.681,75.791,312.686,305.435,263.63,228.987,332.455,296.437,241.659,146.183,182.314,111.508,248.199,224.734,262.735,260.38,192.444,52.885,81.924,241.259,16.516,231.977,86.285,203.627,192.662,220.59,268.437,228.774,243.013,268.708,132.386,113.944,316.939,161.647,131.917,193.699,229.854,149.385,0,38.543,145.395,35.023,204.759,208.504,242.77,206.73,192.16,97.712, 
San Marcos,67.307,52.191,36.527,158.211,314.347,240.386,54.462,228.705,37.931,354.664,222.752,229.225,265.353,38.463,275.358,268.107,226.302,191.659,295.127,371.394,204.331,108.855,144.986,73.703,210.871,362.633,225.407,223.052,229.453,45.825,44.596,203.931,21.616,194.649,48.958,166.299,155.334,183.262,343.394,191.446,380.912,231.38,95.058,76.616,279.611,124.319,94.589,156.371,192.526,112.057,38.543,0,107.334,72.445,166.698,170.443,204.709,328.738,154.099,59.651, 
Coyuca de Bentez,46.48,55.844,143.219,132.669,289.003,215.042,161.551,335.468,144.623,329.32,197.408,203.881,240.009,70.84,250.014,242.763,200.958,166.315,269.783,346.05,178.987,31.774,38.039,147.025,185.527,337.289,200.063,197.708,329.88,147.414,63.413,178.587,128.468,169.305,64.338,140.955,129.792,157.918,318.05,166.102,355.568,206.036,17.385,40.759,254.267,98.778,58.731,131.027,167.182,86.515,145.395,107.334,0,179.414,153.099,156.845,191.11,315.139,140.5,58.294, 
Ayutla de los Libres,138.939,123.822,46.819,127.538,289.088,215.127,17.57,223.731,33.218,124.867,197.493,203.966,240.094,110.094,250.099,242.848,201.043,166.4,269.868,346.135,179.072,180.487,216.618,51.026,185.612,256.769,200.148,197.793,224.479,19.716,116.227,178.672,50.819,169.39,120.589,141.04,124.661,158.003,318.135,166.187,275.048,206.121,166.69,125.906,254.352,93.647,144.411,131.112,167.267,81.384,35.023,72.445,179.414,0,143.913,147.658,181.924,305.953,131.314,130.884, 
Tixtla de Guerrero,112.624,118.033,108.774,34.667,134.142,102.261,138.712,180.607,136.99,174.459,42.547,49.02,127.229,130.204,95.153,87.902,46.097,57.548,157.202,191.189,66.207,154.172,190.303,124.186,72.747,182.428,45.202,42.847,175.019,124.575,122.777,24.576,187.832,56.525,123.702,20.882,30.631,35.471,163.189,12.09,200.707,51.175,140.375,103.73,141.487,60.805,122.235,21.696,57.552,63.676,204.759,166.698,153.099,143.913,0,34.032,39.35,163.379,16.132,123.126, 
Zumpango del Ro,116.37,121.779,112.519,38.413,160.326,68.509,142.457,206.791,140.735,200.643,68.731,75.204,93.476,133.949,121.337,114.086,72.281,60.73,141.402,217.373,32.454,157.918,194.049,127.931,38.994,208.612,71.386,69.031,201.203,128.32,126.522,49.91,191.577,22.772,127.447,35.37,34.377,52.333,189.373,37.425,226.891,77.359,144.121,107.475,107.734,64.551,125.98,25.442,42.85,67.421,208.504,170.443,156.845,147.658,34.032,0,65.561,189.59,16.832,123.884, 
Chilapa de lvarez,150.635,156.044,146.785,72.678,94.944,133.35,176.723,141.409,175.001,135.261,18.912,12.004,158.318,168.215,55.955,48.704,6.899,33.913,188.29,151.991,97.296,192.183,228.314,162.197,103.836,143.23,6.004,19.212,135.821,162.586,160.788,57.434,225.843,87.614,161.713,39.256,68.642,34.959,123.991,44.948,161.509,11.977,178.386,141.741,172.576,98.816,160.246,59.707,88.64,101.687,242.77,204.709,191.11,181.924,39.35,65.561,0,124.122,54.21,170.912, 
Tlapa de Comonfort,274.664,280.073,270.814,196.707,29.314,257.379,300.752,23.681,299.03,23.076,142.941,136.034,282.347,292.244,128.433,81.14,130.929,157.942,312.319,94.623,221.325,316.212,352.343,286.226,227.865,20.016,123.459,143.241,18.093,286.615,284.817,181.463,222.526,211.643,285.742,163.285,192.671,158.988,66.623,168.977,38.295,136.007,302.415,265.77,296.605,222.845,284.275,183.736,212.669,225.716,206.73,328.738,315.139,305.953,163.379,189.59,124.122,0,177.987,294.689, 
Chilpancingo de los Bravo,100.025,105.434,96.175,22.068,148.933,84.622,126.113,195.398,124.391,189.25,57.338,63.811,109.589,117.605,109.944,102.693,60.888,44.385,139.363,205.98,48.567,141.573,177.704,111.587,55.107,197.219,59.993,57.638,189.81,111.976,110.178,39.368,175.233,38.885,111.103,19.025,18.032,35.988,177.98,26.882,215.498,65.966,127.776,91.131,123.847,48.206,109.636,9.097,36.762,51.077,192.16,154.099,140.5,131.314,16.132,16.832,54.21,177.987,0,107.653, 
Acapulco de Jurez,17.819,8.001,95.536,109.499,265.635,191.674,113.472,312.1,96.94,305.952,174.04,180.513,216.641,23.157,226.646,219.395,177.59,142.947,246.415,322.682,155.619,59.367,95.498,123.855,162.159,313.921,176.695,174.34,306.512,124.244,15.73,155.219,80.785,145.937,16.654,117.587,106.622,134.55,294.682,142.734,332.2,182.668,45.57,27.128,230.899,75.607,45.101,107.659,143.815,63.345,97.712,59.651,58.294,130.884,123.126,123.884,170.912,294.689,107.653,0, 
