LOCALIDADES,Los rganos de Juan R. Escudero,Tuncingo,Las Mesas,Palo Blanco,Chiepetepec,Coacoyula de lvarez,Colotepec,Tototepec (Yozononi),Huamuchapa,Copanatoyac,Tlamixtlahuacan,Pochahuizco,Yextla,Amatillo,Atlixtac,Ahuacuotzingo,Acatln,Colotlipa,Tuliman,Temalacatzingo,Xochipala,Tixtlancingo,Tepetixtla,Xalpatlhuac,Mezcala,Alpoyeca,Nejapa,Ayahualulco,Xalpatlhuac,Tecoanapa,San Pedro las Playas,Apango,Las Vigas,Huitziltepec,Tres Palos,Mochitln,Mazatln,Quechultenango,Olinal,Atliaca,Huamuxtitln,Zitlala,Bajos del Ejido,Kilmetro 30,Tlacotepec,Ocotito,Xaltianguis,Petaquillas,Chichihualco,Tierra Colorada,Cruz Grande,San Marcos,Coyuca de Bentez,Ayutla de los Libres,Tixtla de Guerrero,Zumpango del Ro,Chilapa de lvarez,Tlapa de Comonfort,Chilpancingo de los Bravo,Acapulco de Jurez, 
Tlamixtlahuacan,153.831,159.24,149.981,75.874,113.703,136.546,179.919,160.168,178.197,154.02,0,28.5,154.615,186.165,119.454,67.307,25.752,15.092,240.854,171.568,138.84,198.505,234.612,188.759,109.028,161.876,24.76,16.383,155.944,178.523,178.728,52.668,243.756,85.617,174.571,32.271,88.051,16.138,142.81,48.144,179.826,30.798,183.141,156.649,169.208,114.458,141.468,74.869,92.711,117.344,260.08,222.752,197.408,197.493,42.547,68.731,18.912,142.941,57.338,174.04, 
Pochahuizco,160.223,165.632,156.373,82.266,106.718,142.938,186.311,153.183,184.589,147.035,28.5,0,161.088,192.638,112.546,57.022,14.687,43.582,247.327,164.661,145.313,204.978,241.085,195.232,115.501,154.969,17.852,28.881,149.037,184.996,185.201,20.57,250.229,92.09,181.044,53.227,94.524,44.628,135.903,33.446,172.919,19.733,189.614,163.122,175.681,120.931,147.941,81.342,99.184,123.817,266.553,229.225,203.881,203.966,49.02,75.204,12.004,136.034,63.811,180.513, 
Yextla,197.933,203.342,194.083,119.976,246.21,120.418,224.021,292.675,222.299,286.527,154.615,161.088,0,228.766,258.86,206.713,165.158,153.125,217.997,310.974,61.373,241.106,277.213,231.36,131.738,301.282,164.166,161.814,295.35,221.124,221.329,142.904,286.357,108.327,217.172,127.765,130.652,144.728,282.216,130.753,319.232,170.204,225.742,199.25,40.081,157.059,184.069,117.47,62.499,159.945,302.681,265.353,240.009,240.094,127.229,93.476,158.318,282.347,109.589,216.641, 
Amatillo,30.72,15.604,74.255,121.624,277.76,203.799,92.191,324.225,75.659,318.077,186.165,192.638,228.766,0,268.757,216.61,175.055,152.113,305.629,320.871,204.058,71.936,108.044,87.807,174.246,311.179,174.063,171.711,305.247,77.571,8.021,153.106,59.467,150.835,14.201,126.753,115.623,143.716,292.113,140.955,329.129,180.101,56.573,39.587,230.106,84.346,59.943,116.458,153.609,72.411,75.791,38.463,70.84,110.094,130.204,133.949,168.215,292.244,117.605,23.157, 
Atlixtac,251.177,256.586,247.327,173.22,39.311,233.892,277.265,85.775,275.543,79.628,119.454,112.546,258.86,268.757,0,97.776,62.667,89.715,293.46,157.061,191.446,251.111,287.218,241.365,161.634,147.369,55.229,75.014,141.437,231.129,231.334,105.274,296.362,138.223,227.177,109.948,140.657,90.761,128.303,100.75,165.319,67.713,235.747,209.255,221.814,167.064,194.074,127.475,145.317,169.95,312.686,275.358,250.014,250.099,95.153,121.337,55.955,128.433,109.944,226.646, 
Ahuacuotzingo,199.03,204.439,195.18,121.073,51.898,181.745,225.118,98.363,223.396,92.215,67.307,57.022,206.713,216.61,97.776,0,50.576,82.464,155.019,67.608,184.195,243.86,279.967,234.114,154.383,100.075,43.598,67.763,94.143,223.878,224.083,98.023,289.111,130.972,219.926,102.697,133.406,83.51,42.776,93.499,76.957,55.622,228.496,202.004,214.563,159.813,186.823,120.224,138.066,162.699,305.435,268.107,242.763,242.848,87.902,114.086,48.704,81.14,102.693,219.395, 
Acatln,157.475,162.884,153.625,79.518,101.656,140.19,183.563,148.121,181.841,141.973,25.752,14.687,165.158,175.055,62.667,50.576,0,40.659,244.404,118.018,142.39,202.055,238.162,192.309,112.578,149.864,9.246,25.958,143.932,182.073,182.278,30.959,247.306,89.167,178.121,60.892,91.601,41.705,130.798,51.694,167.814,5.264,186.691,160.199,172.758,118.008,145.018,78.419,96.261,120.894,263.63,226.302,200.958,201.043,46.097,72.281,6.899,130.929,60.888,177.59, 
Colotlipa,134.534,139.943,130.684,48.798,128.704,128.158,160.622,175.169,158.9,169.021,15.092,43.582,153.125,152.113,89.715,82.464,40.659,0,232.409,186.569,130.839,167.412,203.519,157.666,101.027,176.877,39.761,17.964,170.945,147.43,147.635,67.669,212.663,77.616,143.478,25.969,49.183,9.835,157.811,63.145,194.827,45.799,152.048,125.556,156.886,75.59,110.375,36.292,80.389,86.251,228.987,191.659,166.315,166.4,57.548,60.73,33.913,157.942,44.385,142.947, 
Tuliman,288.049,293.458,284.199,210.092,178.393,82.132,314.137,224.858,312.415,218.711,240.854,247.327,217.997,305.629,293.46,155.019,244.404,232.409,0,140.041,117.822,270.88,306.987,261.134,90.83,331.254,194.138,191.786,325.322,250.898,251.103,172.876,316.131,158.289,246.946,157.539,160.426,174.502,141.37,160.725,186.879,200.176,255.516,229.024,193.102,186.833,213.843,147.244,165.086,189.719,332.455,295.127,269.783,269.868,157.202,141.402,188.29,312.319,139.363,246.415, 
Temalacatzingo,303.291,308.7,299.441,225.334,66.113,187.603,329.379,112.578,327.657,106.431,171.568,164.661,310.974,320.871,157.061,67.608,118.018,186.569,140.041,0,287.482,347.147,383.254,337.401,257.67,77.934,111.089,171.05,107.626,327.165,327.37,201.31,392.398,234.259,323.213,205.984,236.693,186.797,28.945,196.786,64.676,123.113,331.783,305.291,317.85,263.1,290.11,223.511,241.353,265.986,296.437,371.394,346.05,346.135,191.189,217.373,151.991,94.623,205.98,322.682, 
