LOCALIDADES,San Marcos,Estancia de nimas,Pedregoso,Hernndez,Chupaderos,San Jos el Saladillo (El Saladillo),Cieneguitas,Escaleras,San Jernimo,Sauceda de la Borda,El Saucito (El Horno),Malpaso,La Zacatecana,San Antonio del Ciprs,San Antonio,Cinega Grande,Hacienda Nueva,Estacin San Jos,Miguel Hidalgo (Hidalgo),Huejcar,Salitral de Carrera,Chaparrosa,Zquite,Lzaro Crdenas (Rancho Grande),General Enrique Estrada,Ro Florido,Ramn Lpez Velarde (Toribio),Tepezal,Asientos,General Pnfilo Natera,Villa Hidalgo,El Barril,Huejuquilla el Alto,Coso,Plateros,Gonzlez Ortega (Ban),Pozo de Gamboa,San Jos de Lourdes,Pinos,Villa de Cos,Dulce Grande,Caitas de Felipe Pescador,Villa Gonzlez Ortega,El Zacatn,Luis Moya,Villa Garca,Morelos,San Pedro Piedra Gorda,Tacoaleche,Villanueva,Valparaso,Trancoso,Salinas de Hidalgo,Ojocaliente,Loreto,Rincn de Romos,Vctor Rosales,Jerez de Garca Salinas,Fresnillo,Guadalupe,Zacatecas, 
Huejuquilla el Alto,300.977,273.86,323.887,241.748,202.255,255.574,215.062,273.86,222.534,203.165,253.09,160.696,214.992,204.94,279.204,312.583,191.643,147.214,163.32,121.5,280.04,213.942,217.141,168.457,166.02,157.748,170.34,285.017,298.11,249.445,307.433,228.293,0,258.433,144.447,182.904,199.109,138.493,347.635,198.644,256.397,205.396,278.813,270.146,260.755,330.083,188.061,248.53,224.077,192.754,46.19,220.579,291.94,245.05,303.541,274.027,174.103,135.971,138.902,208.161,199.961, 
Coso,51.695,53.232,74.605,108.32,124.742,55.991,51.48,18.008,45.417,62.275,54.902,97.788,56.442,79.487,23.352,63.301,75.76,120.435,112.722,158.007,80.457,98.872,56.078,152.18,93.533,141.471,103.75,29.165,42.258,46.045,84.381,106.583,258.433,0,124.797,120.89,87.211,142.793,94.995,133.152,96.764,191.13,57.984,73.016,14.134,70.484,75.605,15.91,64.444,127.088,216.021,54.821,94.809,30.027,43.942,16.216,87.453,120.035,122.206,60.173,67.313, 
Plateros,164.527,137.41,187.437,132.933,66.398,119.124,78.612,137.41,86.084,66.715,116.64,90.688,78.542,68.49,142.754,176.133,55.193,11.357,26.87,115.52,143.59,78.085,80.691,38.498,29.57,27.789,33.89,148.567,161.66,112.995,170.983,92.436,144.447,124.797,0,50.264,64.307,27.294,212.833,66.004,121.595,75.631,144.011,135.344,125.953,195.281,53.259,113.728,89.275,115.781,99.044,85.777,157.138,110.248,168.739,139.225,39.301,74.389,6.223,73.359,65.159, 
Gonzlez Ortega (Ban),160.62,133.503,183.53,59.457,19.964,115.217,74.705,133.503,82.177,62.808,112.733,86.781,74.635,36.76,138.847,172.226,51.287,35.839,33.722,147,75.034,31.651,76.784,78.813,67.887,68.104,35.099,144.66,157.753,109.088,167.076,46.002,182.904,120.89,50.264,0,34.866,64.937,207.196,25.685,48.667,85.732,138.374,84.841,120.316,189.644,46.428,108.091,61.796,113.42,137.572,80.14,151.501,104.611,163.102,133.588,57.391,106.367,46.569,70.998,62.798, 
Pozo de Gamboa,126.941,99.824,149.851,81.107,41.614,81.538,41.026,99.824,48.498,29.129,79.054,53.102,40.956,9.018,105.168,138.547,17.608,61.111,26.879,113.321,63.652,53.301,43.105,92.856,34.209,82.147,22.835,110.981,124.074,75.409,133.397,67.652,199.109,87.211,64.307,34.866,0,79.152,173.617,47.686,58.524,127.489,104.795,96.128,86.737,156.065,12.849,74.512,28.217,79.841,152.38,46.561,117.922,71.032,129.523,100.009,23.812,72.788,58.564,37.419,29.219, 
San Jos de Lourdes,182.523,155.406,205.433,150.929,84.394,137.12,96.608,155.406,104.08,84.711,134.636,108.684,96.538,86.486,160.75,194.129,73.189,29.353,44.866,128.132,161.586,96.081,98.687,24.228,47.566,13.519,51.886,166.563,179.656,130.991,188.979,110.432,138.493,142.793,27.294,64.937,79.152,0,229.771,82.942,138.533,61.09,160.949,152.282,142.891,212.219,70.197,130.666,106.213,132.719,93.161,102.715,174.076,127.186,185.677,156.163,56.239,86.965,21.538,90.297,82.097, 
Pinos,47.284,55.997,25.441,137.105,213.944,93.464,145.408,110.346,152.88,151.134,106.845,186.646,145.338,160.707,90.99,66.676,164.028,209.637,201.924,246.865,117.93,160.193,137.298,241.382,182.735,230.673,192.952,82.728,70.335,75.319,18.055,146.397,347.635,94.995,212.833,207.196,173.617,229.771,0,211.833,137.01,269.811,48.153,100.277,91.697,57.695,154.286,109.198,135.523,205.434,294.702,121.513,54.029,86.187,54.48,117.112,166.134,198.381,200.887,138.518,145.659, 
Villa de Cos,172.882,145.765,195.792,59.603,20.11,127.479,86.967,145.765,94.439,75.07,124.995,99.043,86.897,49.023,151.109,184.488,63.549,51.579,58.898,159.262,75.18,31.797,89.046,94.553,80.15,83.844,60.275,156.922,170.015,121.35,179.338,46.148,198.644,133.152,66.004,25.685,47.686,82.942,211.833,0,48.712,60.88,150.632,84.886,132.574,201.902,58.686,120.349,74.054,125.678,153.312,92.398,163.759,116.869,175.36,145.846,69.649,118.625,62.309,83.256,75.056, 
Dulce Grande,128.891,81.382,151.801,15.392,28.885,50.297,54.17,109.377,61.642,43.769,50.675,95.408,54.1,49.929,111.762,140.497,72.791,83.998,81.88,155.627,26.761,17.508,37.413,150.144,91.497,139.435,83.257,116.889,129.982,59.387,122.531,14.618,256.397,96.764,121.595,48.667,58.524,138.533,137.01,48.712,0,108.834,82.627,36.733,87.415,152.825,68.496,83.172,33.21,119.643,208.912,47.239,87.548,71.71,126.283,108.669,80.344,112.59,115.097,52.727,59.868, 
Caitas de Felipe Pescador,230.86,203.743,253.77,119.65,80.157,185.457,144.945,203.743,152.417,133.048,182.973,157.021,144.875,109.07,209.087,242.466,121.526,77.69,93.203,176.469,135.227,91.844,147.024,37.546,95.903,51.613,100.223,214.9,227.993,179.328,237.316,106.195,205.396,191.13,75.631,85.732,127.489,61.09,269.811,60.88,108.834,0,209.583,200.916,191.525,260.853,118.831,179.3,154.847,181.353,160.254,151.349,222.71,175.82,234.311,204.797,104.873,135.599,70.172,138.931,130.731, 
Villa Gonzlez Ortega,31.488,9.331,50.624,76.488,145.122,32.847,76.586,73.335,84.058,82.312,38.024,117.824,76.516,91.885,66.766,49.833,95.206,140.815,133.102,178.043,57.313,111.27,68.476,172.56,113.913,161.851,124.13,71.893,47.283,28.399,31.016,85.78,278.813,57.984,144.011,138.374,104.795,160.949,48.153,150.632,82.627,209.583,0,45.983,52.288,50.25,92.011,58.106,73.248,143.159,232.427,59.238,31.655,39.524,35.143,77.703,103.859,136.106,138.612,76.243,83.384, 
El Zacatn,76.234,44.649,105.406,30.594,65.059,13.564,67.919,85.629,75.391,73.645,13.942,109.157,67.849,83.218,83.626,112.361,86.539,132.148,124.435,169.376,11.419,53.682,59.809,163.893,105.246,153.184,115.463,88.753,101.846,22.654,85.798,39.886,270.146,73.016,135.344,84.841,96.128,152.282,100.277,84.886,36.733,200.916,45.983,0,58.714,94.907,82.979,64.374,64.216,134.127,223.395,50.206,50.815,43.01,75.679,84.632,94.827,127.074,129.58,67.211,74.352, 
Luis Moya,41.874,43.411,64.784,89.308,127.064,45.667,58.77,26.747,52.707,64.253,44.578,99.766,58.458,73.827,24.745,53.48,77.148,122.757,115.044,159.985,70.133,93.212,50.418,154.502,95.855,143.793,106.072,29.872,42.965,35.721,74.56,100.923,260.755,14.134,125.953,120.316,86.737,142.891,91.697,132.574,87.415,191.525,52.288,58.714,0,65.684,73.789,18.196,55.026,124.937,214.205,41.015,81.003,16.221,39.142,26.11,85.637,117.884,120.39,58.021,65.162, 
Villa Garca,19.171,58.211,33.99,125.501,196.392,81.86,123.13,59.826,117.067,133.925,87.037,169.438,128.092,139.237,48.659,17.086,147.41,192.085,184.372,229.657,106.326,158.622,115.828,223.83,165.183,213.121,175.4,39.678,27.285,77.412,43.766,134.793,330.083,70.484,195.281,189.644,156.065,212.219,57.695,201.902,152.825,260.853,50.25,94.907,65.684,0,138.159,82.199,119.395,189.306,278.575,105.385,73.614,80.591,26.734,55.449,150.007,182.253,184.76,122.391,129.531, 
Morelos,115.335,88.218,138.245,83.741,53.176,69.932,29.42,88.218,36.892,17.523,67.448,41.495,29.35,20.183,93.562,126.941,6.001,50.063,42.35,101.714,94.398,64.863,31.499,81.808,23.161,71.099,33.378,99.375,112.468,63.803,121.791,79.214,188.061,75.605,53.259,46.428,12.849,70.197,154.286,58.686,68.496,118.831,92.011,82.979,73.789,138.159,0,61.551,37.098,68.923,141.611,33.6,104.961,58.071,116.562,87.048,13.042,61.87,47.795,26.501,18.301, 
San Pedro Piedra Gorda,59.375,60.912,82.285,98.417,114.839,51.327,41.576,28.523,35.513,52.372,50.238,87.885,46.538,69.584,33.867,70.981,65.857,110.532,102.819,148.104,75.793,88.969,46.175,142.277,83.63,131.568,93.847,39.68,52.773,41.381,92.061,96.68,248.53,15.91,113.728,108.091,74.512,130.666,109.198,120.349,83.172,179.3,58.106,64.374,18.196,82.199,61.551,0,51.009,113.653,202.586,47.511,100.016,35.235,57.16,27.646,74.018,106.6,108.771,46.738,53.878, 
Tacoaleche,96.571,69.454,119.481,48.455,50.784,51.169,21.85,77.057,29.322,10.612,48.685,63.088,21.78,19.622,79.442,108.177,40.471,86.079,78.366,123.307,38.359,39.007,5.093,117.824,59.177,107.115,69.394,84.569,97.662,45.04,103.028,46.718,224.077,64.444,89.275,61.796,28.217,106.213,135.523,74.054,33.21,154.847,73.248,64.216,55.026,119.395,37.098,51.009,0,87.266,167.57,14.862,86.223,39.333,93.906,76.292,39.002,80.213,73.755,20.35,27.491, 
Villanueva,166.482,139.365,189.392,134.888,120.168,121.08,75.291,139.701,82.763,78.457,118.596,39.457,75.221,87.175,145.045,178.088,64.255,112.585,104.872,57.028,145.546,131.855,82.646,144.33,85.683,133.621,95.9,150.858,163.951,114.951,172.939,146.206,192.754,127.088,115.781,113.42,79.841,132.719,205.434,125.678,119.643,181.353,143.159,134.127,124.937,189.306,68.923,113.653,87.266,0,147.541,84.591,155.952,109.063,167.897,138.383,78.343,58.101,113.096,69.452,61.252, 
