LOCALIDADES,Laguna de Santa Rita,San Marcos (San Marcos Carmona),Palomas,Vanegas,Laguna de San Vicente,Villa Hidalgo,Rancho Nuevo,El Rosario,Villa Jurez,Villa de la Paz,Ahualulco del Sonido 13,Escalerillas,Moctezuma,Tierra Nueva,Venado,Rayn,La Pila,San Ciro de Acosta,Villa de Arista,Villa de Zaragoza,Ciudad Tula,Doctor Arroyo,Villa de Reyes,Ciudad del Maz,Cedral,Charcas,Santa Mara del Ro,Cerritos,Crdenas,Ciudad Fernndez,Rioverde,Matehuala,Soledad de Graciano Snchez,San Luis Potos, 
Villa de Arista,86.569,66.345,158.925,165.505,108.475,39.935,60.903,135.032,80.188,165.816,56.461,77.942,30.734,149.292,49.422,174.478,95.205,174.897,0,97.791,154.843,175.164,123.15,169.157,183.678,72.945,123.074,70.645,187.788,142.517,137.184,157.469,66.825,71.906, 
Villa de Zaragoza,20.695,46.529,205.408,257.052,21.343,59.188,34.096,47.9,126.671,212.299,71.281,47.126,127.729,62.159,146.417,155.44,24.077,148.89,97.791,0,200.82,221.141,36.735,215.134,229.655,169.618,36.659,116.622,168.689,110.913,113.929,203.446,29.961,33.767, 
Ciudad Tula,190.024,196.996,84.863,251.251,211.93,143.39,182.608,238.487,108.577,206.498,224.118,206.018,184.781,252.747,203.469,202.867,198.66,203.287,154.843,200.82,0,140.1,226.557,80.806,208.213,226.969,226.481,93.237,135.611,184.784,179.451,182.004,187.675,192.56, 
Doctor Arroyo,210.345,217.317,176.612,98.226,232.251,163.711,202.928,258.808,192.518,58.488,230.773,226.339,182.126,273.068,161.231,286.807,218.981,287.227,175.164,221.141,140.1,0,246.617,238.302,70.56,139.711,246.541,183.91,293.107,255.782,250.449,50.318,207.735,212.62, 
Villa de Reyes,42.907,64.19,230.767,282.411,19.41,84.547,57.949,12.447,152.03,237.658,90.16,64.787,153.088,71.652,171.776,199.196,33.528,192.646,123.15,36.735,226.557,246.617,0,241.768,256.289,196.252,44.441,143.256,213.47,155.694,158.71,230.08,54.423,49.139, 
Ciudad del Maz,204.338,211.31,33.834,318.215,226.244,157.704,196.922,252.801,122.891,273.461,238.432,220.332,199.095,267.061,217.783,75.288,212.974,147.363,169.157,215.134,80.806,238.302,241.768,0,222.57,241.565,241.077,112.989,54.845,114.795,109.463,196.361,202.271,207.156, 
Cedral,218.859,225.831,212.184,29.458,240.765,172.225,211.442,267.322,201.032,18.902,215.681,234.853,167.034,281.582,146.139,295.321,227.495,295.741,183.678,229.655,208.213,70.56,256.289,222.57,0,124.253,253.803,191.172,308.315,263.044,257.711,21.328,214.997,219.882, 
Charcas,158.822,124.175,231.179,94.993,180.728,112.188,133.173,207.285,152.442,99.871,93.712,140.137,45.065,221.545,24.17,246.732,167.458,247.151,72.945,169.618,226.969,139.711,196.252,241.565,124.253,0,194.858,142.429,259.572,214.301,208.968,91.189,139.405,144.486, 
Santa Mara del Ro,42.831,64.114,230.691,282.335,28.917,84.471,57.873,55.474,151.954,237.582,90.084,64.711,153.012,29.875,171.7,199.12,33.452,192.57,123.074,36.659,226.481,246.541,44.441,241.077,253.803,194.858,0,142.494,212.708,154.932,157.948,229.318,53.66,48.376, 
Cerritos,105.826,112.798,75.138,219.704,127.732,59.192,98.41,154.289,13.347,174.95,139.92,121.82,100.583,168.549,119.271,114.277,114.462,114.697,70.645,116.622,93.237,183.91,143.256,112.989,191.172,142.429,142.494,0,127.551,82.28,76.947,165.243,103.569,108.454, 
Crdenas,175.21,201.043,88.117,336.847,197.946,176.335,188.611,224.503,111.784,292.093,225.795,201.64,217.726,238.763,236.414,20.878,184.676,92.953,187.788,168.689,135.611,293.107,213.47,54.845,308.315,259.572,212.708,127.551,0,60.297,54.965,250.773,184.198,188.004, 
Ciudad Fernndez,117.434,143.268,83.96,291.576,140.17,131.064,130.835,166.727,66.513,246.822,168.02,143.865,172.455,180.987,191.143,47.326,126.9,40.776,142.517,110.913,184.784,255.782,155.694,114.795,263.044,214.301,154.932,82.28,60.297,0,6.242,228.323,124.107,127.913, 
Rioverde,120.45,146.283,78.627,286.243,143.186,125.731,133.851,169.743,61.18,241.489,171.035,146.88,167.122,184.003,185.81,41.993,129.916,38.193,137.184,113.929,179.451,250.449,158.71,109.463,257.711,208.968,157.948,76.947,54.965,6.242,0,231.802,129.716,133.522, 
Matehuala,192.65,199.622,185.975,49.861,214.556,146.016,185.233,241.113,174.823,8.192,182.629,208.644,133.982,255.373,113.087,269.112,201.286,269.532,157.469,203.446,182.004,50.318,230.08,196.361,21.328,91.189,229.318,165.243,250.773,228.323,231.802,0,191.563,196.448, 
Soledad de Graciano Snchez,15.913,21.109,191.885,243.529,38.899,45.665,8.567,65.456,113.148,198.776,44.071,22.648,97.559,79.715,116.247,171.227,23.923,164.676,66.825,29.961,187.675,207.735,54.423,202.271,214.997,139.405,53.66,103.569,184.198,124.107,129.716,191.563,0,8.53, 
San Luis Potos,14.775,16.202,196.77,248.414,33.615,50.55,13.648,60.172,118.033,203.661,48.137,16.8,96.538,74.431,121.328,175.033,18.639,168.483,71.906,33.767,192.56,212.62,49.139,207.156,219.882,144.486,48.376,108.454,188.004,127.913,133.522,196.448,8.53,0, 
