LOCALIDADES,San Pedro Atoyac,Alcozauca de Guerrero,Huajintepec,Santo Domingo Armenta,Cochoapa el Grande,San Antonio Tepetlapa,Santo Domingo Tonal,Igualapa,Cuanacaxtitln,Yoloxchitl,San Nicols,Acatepec,Juchitn,Huixtepec,San Martn Peras,Cuautepec,Metlatnoc,Pueblo Hidalgo,San Andrs Huaxpaltepec,Xochistlahuaca,Azoy,San Juan Cacahuatepec,Cochoapa,Tlacoachistlahuaca,Santa Catarina Mechoacn,San Pedro Jicayn,Santa Mara Huazolotitln,Santa Mara Zacatepec,Zacoalpan,San Pedro Amuzgos,San Juan Colorado,Pinotepa de Don Luis,Marquelia,Copala,San Luis Acatln,Santiago Juxtlahuaca,Santiago Jamiltepec,Cuajinicuilapa,Putla Villa de Guerrero,Heroica Ciudad de Tlaxiaco,Ometepec,Santiago Pinotepa Nacional, 
Azoy,127.466,194.269,81.366,76.602,158.287,132.971,286.452,47.178,15.623,22.223,68.818,52.881,16.029,68.12,184.081,81.742,156.953,62.829,126.718,76.112,0,93.14,51.509,70.776,149.424,117.068,130.42,127.603,64.09,104.797,129.498,123.447,38.067,55.795,28.11,232.494,140.175,57.833,176.375,242.445,44.686,108.572, 
San Juan Cacahuatepec,49.419,226.456,11.998,78.53,150.509,27.859,194.1,61.445,108.613,115.213,101.709,51.297,78.889,25.135,178.531,143.844,149.175,170.81,63.163,68.334,93.14,0,44.762,62.991,85.867,49.76,66.863,35.365,56.305,12.559,62.19,56.139,100.716,118.445,128.286,140.256,76.618,83.715,84.137,150.207,49.22,45.015, 
Cochoapa,117.148,171.448,32.852,66.284,107.649,71.933,237.938,19.814,66.982,73.582,58.5,7.356,37.258,19.606,133.443,102.213,106.315,129.179,116.399,25.474,51.509,44.762,0,20.154,139.305,106.948,120.301,79.205,13.468,56.399,119.378,113.327,58.994,76.723,86.564,184.096,130.056,47.714,127.977,194.047,7.498,98.453, 
Tlacoachistlahuaca,111.723,151.481,51.081,85.551,87.682,90.162,212.189,39.081,86.249,92.849,77.767,27.252,56.525,37.835,113.476,121.48,86.348,148.446,135.666,12.894,70.776,62.991,20.154,0,158.544,126.187,139.54,97.478,12.768,74.672,138.617,132.566,78.233,95.962,105.803,158.722,149.295,66.953,102.603,168.673,26.737,117.692, 
Santa Catarina Mechoacn,71.918,311.636,97.2,86.537,246.038,77.423,279.28,134.929,164.897,171.497,109.716,140.632,135.173,110.337,263.711,200.127,244.704,227.094,22.906,163.863,149.424,85.867,139.305,158.544,0,52.106,17.813,111.133,142.273,88.326,44.267,58.485,147.451,165.179,175.02,216.024,25.622,82.311,159.904,225.974,122.869,32.076, 
San Pedro Jicayn,10.506,275.528,61.092,54.181,213.681,41.315,243.172,102.572,132.541,139.141,77.36,108.275,102.817,74.229,227.603,167.771,212.347,194.738,38.814,131.506,117.068,49.76,106.948,126.187,52.106,0,42.514,73.697,94.637,50.89,12.884,6.833,124.506,142.235,152.075,178.588,52.269,59.366,122.468,188.538,99.925,20.666, 
Santa Mara Huazolotitln,52.914,292.632,78.196,67.533,227.034,58.419,260.276,115.925,145.893,152.493,90.712,121.628,116.169,91.333,244.707,181.123,225.7,208.09,4.52,144.859,130.42,66.863,120.301,139.54,17.813,42.514,0,101.502,132.642,78.695,35.721,48.854,137.82,155.548,165.389,206.393,17.937,72.68,150.273,216.343,113.238,22.445, 
Santa Mara Zacatepec,84.097,191.333,46.461,113.208,159.706,62.536,158.977,95.908,143.076,149.676,136.387,85.76,113.352,59.598,143.408,178.307,181.593,205.273,97.841,52.165,127.603,35.365,79.205,97.478,111.133,73.697,101.502,0,90.882,23.324,97.003,90.952,135.293,153.022,162.863,105.133,111.432,118.529,49.014,115.084,83.797,79.829, 
Zacoalpan,105.037,164.061,44.395,78.865,100.262,83.476,249.481,32.395,79.563,86.163,71.081,20.566,49.839,31.149,126.056,114.794,98.928,141.76,128.98,11.761,64.09,56.305,13.468,12.768,142.273,94.637,132.642,90.882,0,67.985,131.93,125.879,71.546,89.275,99.116,195.682,142.608,60.266,139.563,205.633,20.05,111.005, 
San Pedro Amuzgos,61.29,214.28,23.655,90.401,162.166,39.73,181.924,73.102,120.27,126.87,113.58,62.954,90.546,36.792,166.355,155.501,160.832,182.467,75.034,79.991,104.797,12.559,56.399,74.672,88.326,50.89,78.695,23.324,67.985,0,74.061,68.01,112.351,130.08,139.921,128.08,88.489,95.586,71.96,138.03,60.855,56.886, 
San Juan Colorado,10.876,287.958,73.522,66.611,226.111,53.745,255.602,115.002,144.971,151.571,89.79,120.705,115.247,86.659,240.033,180.201,224.777,207.168,31.351,143.936,129.498,62.19,119.378,138.617,44.267,12.884,35.721,97.003,131.93,74.061,0,6.014,137.285,155.014,164.854,191.367,44.391,72.145,135.247,201.317,112.704,33.445, 
Pinotepa de Don Luis,14.389,281.907,67.471,60.56,220.06,47.694,249.551,108.951,138.92,145.52,83.739,114.654,109.196,80.608,233.982,174.15,218.726,201.117,45.193,137.885,123.447,56.139,113.327,132.566,58.485,6.833,48.854,90.952,125.879,68.01,6.014,0,131.234,148.963,158.803,185.316,58.997,66.094,129.196,195.266,106.653,27.394, 
Marquelia,134.906,201.907,88.806,84.042,165.727,140.411,293.892,54.618,53.539,40.113,76.258,60.321,22.112,75.56,191.521,45.022,164.393,70.467,134.158,83.552,38.067,100.716,58.994,78.233,147.451,124.506,137.82,135.293,71.546,112.351,137.285,131.234,0,19.488,34.238,239.935,147.616,65.275,183.816,249.886,52.127,116.013, 
Copala,152.635,221.157,106.535,101.77,183.456,158.14,311.621,72.347,71.267,59.363,93.986,78.05,39.84,93.289,209.25,26.756,182.122,89.717,151.886,101.281,55.795,118.445,76.723,95.962,165.179,142.235,155.548,153.022,89.275,130.08,155.014,148.963,19.488,0,54.57,258.745,166.426,84.084,202.626,268.696,70.937,134.823, 
San Luis Acatln,162.475,167.055,116.376,111.611,117.526,167.98,245.298,82.188,12.41,5.885,103.827,87.891,49.681,103.13,199.664,38.914,127.073,35.615,161.727,111.122,28.11,128.286,86.564,105.803,175.02,152.075,165.389,162.863,99.116,139.921,164.854,158.803,34.238,54.57,0,273.935,181.616,99.275,217.816,283.886,86.127,150.013, 
Santiago Juxtlahuaca,188.988,87.101,151.352,218.099,87.063,167.427,54.744,200.799,247.967,254.567,241.278,190.651,218.243,164.489,39.176,283.198,77.361,227.166,202.732,146.814,232.494,140.256,184.096,158.722,216.024,178.588,206.393,105.133,195.682,128.08,191.367,185.316,239.935,258.745,273.935,0,216.052,223.149,56.98,90.791,188.417,184.449, 
Santiago Jamiltepec,62.669,302.387,87.951,77.288,236.789,68.174,270.031,125.68,155.648,162.248,100.467,131.383,125.924,101.088,254.462,190.878,235.455,217.845,13.657,154.614,140.175,76.618,130.056,149.295,25.622,52.269,17.937,111.432,142.608,88.489,44.391,58.997,147.616,166.426,181.616,216.052,0,82.435,160.029,226.099,122.993,32.2, 
Cuajinicuilapa,69.766,266.944,42.96,18.902,154.447,75.271,277.128,43.338,73.306,79.906,18.125,49.041,43.582,64.28,261.559,108.537,153.113,135.504,69.018,72.272,57.833,83.715,47.714,66.953,82.311,59.366,72.68,118.529,60.266,95.586,72.145,66.094,65.275,84.084,99.275,223.149,82.435,0,167.164,233.234,40.69,50.871, 
Putla Villa de Guerrero,132.868,143.315,95.233,161.979,111.688,111.308,110.959,144.68,191.848,198.448,185.158,134.532,162.124,108.37,95.39,227.079,133.575,254.045,146.612,90.695,176.375,84.137,127.977,102.603,159.904,122.468,150.273,49.014,139.563,71.96,135.247,129.196,183.816,202.626,217.816,56.98,160.029,167.164,0,65.759,132.433,128.464, 
Heroica Ciudad de Tlaxiaco,198.938,177.126,161.303,228.049,177.088,177.378,166.038,210.75,257.918,264.518,251.228,200.602,228.194,174.44,129.201,293.149,167.386,320.115,212.682,156.765,242.445,150.207,194.047,168.673,225.974,188.538,216.343,115.084,205.633,138.03,201.317,195.266,249.886,268.696,283.886,90.791,226.099,233.234,65.759,0,198.232,194.263, 
Ometepec,110.325,178.03,37.31,59.461,114.231,76.391,242.396,12.991,60.159,66.759,51.677,9.729,30.435,24.064,140.025,95.39,112.897,122.356,109.576,32.056,44.686,49.22,7.498,26.737,122.869,99.925,113.238,83.797,20.05,60.855,112.704,106.653,52.127,70.937,86.127,188.417,122.993,40.69,132.433,198.232,0,91.614, 
Santiago Pinotepa Nacional,31.066,270.784,56.348,45.685,205.186,36.571,238.428,94.077,124.045,130.645,68.864,99.78,94.321,69.485,222.859,159.275,203.852,186.242,18.783,123.011,108.572,45.015,98.453,117.692,32.076,20.666,22.445,79.829,111.005,56.886,33.445,27.394,116.013,134.823,150.013,184.449,32.2,50.871,128.464,194.263,91.614,0, 
