LOCALIDADES,Novara,Capoacan,Paraso Novillero,La Cerquilla,El Nigromante,Acula,Tlapacoyan,Fraccionamiento los Prados,Los Mangos,Xochiapa,Colonia Benito Jurez,Linda Vista,Nopaltepec,Benemrito Jurez,Huazuntln,Saltabarranca,Aguilera,Morelos,Ocozotepec,Corral Nuevo,San Bartolo,Estero del Pantano,Los Tigres (San Marcos),Mapachapa,San Jos Chiltepec,Tres Zapotes,Colonia Lealtad,Dehesa,Hueyapan de Ocampo,Abasolo del Valle,Sihuapan,Nuevo Ixcatln,Estacin Juanita,Puerto Esmeralda,Mara Lombardo de Caso,Calera,Hidalgotitln,Tlacojalpan,Salto de Eyipantla,Jess Carranza,San Juan Evangelista,Chacaltianguis,Buena Vista,Otatitln,Gabino Barreda,San Pedro Mrtir,Comoapan,Soteapan,Soconusco,Mecayapan,Juan Daz Covarrubias,Villa Azueta,Coacotla,Chinameca,El Naranjito,Tlacotalpan,Cuichapa,Tatahuicapan,Mundo Nuevo,Pajapan,Lomas de Barrillas,Playa Vicente,Zaragoza,Texistepec,Ixhuatln del Sureste,Angel R. Cabada,Oluta,Sayula de Alemn,Juan Rodrguez Clara,Oteapan,Santiago Tuxtla,Fraccionamiento Ciudad Olmeca,Carlos A. Carrillo,Lerdo de Tejada,Cosoleacaque,Alvarado,Allende,Nanchital de Lzaro Crdenas del Ro,Isla,Catemaco,Cosamaloapan,Loma Bonita,Jltipan de Morelos,Minatitln,Acayucan,San Andrs Tuxtla,San Juan Bautista Tuxtepec,Minatitln,Coatzacoalcos, 
Colonia Benito Jurez,191.309,86.775,173.565,63.213,180.849,183.482,140.061,48.197,72.814,230.398,0,150.537,185.502,175.238,22.154,160.908,66.285,12.144,2.845,45.364,194.148,72.948,109.377,53.381,232.461,140.265,37.425,51.607,53.564,140.89,98.478,125.215,91.047,64.501,149.225,99.416,92.762,181.19,105.839,119.003,75.688,183.208,5.928,196.924,190.245,51.865,101.862,9.095,40.037,14.091,54.379,144.749,52.813,40.905,53.135,188.126,99.221,33.449,84.876,42.371,63.748,172.186,50.101,49.391,77.326,147.293,46.447,54.602,106.626,44.067,118.827,66.204,167.124,156.432,48.331,189.434,87.132,88.221,119.982,93.4,162.227,161.748,47.628,58.871,42.734,102.919,216.053,58.549,69.926, 
Linda Vista,43.79,173.178,64.613,85.615,53.657,62.718,91.092,135.524,91.57,103.206,150.537,0,63.099,26.008,143.075,132.116,108.95,136.684,150.492,92.352,44.919,158.648,63.643,146.727,71.608,100.778,108.927,95.893,87.915,81.883,108.42,108.235,88.268,163.531,106.899,109.768,178.637,31.961,115.183,161.667,82.287,34.19,142.9,47.695,41.015,143.2,111.206,148.043,109.216,153.039,83.49,7.446,135.599,133.346,141.993,92.981,184.921,154.37,170.576,163.292,162.778,38.837,137.484,116.753,163.026,118.501,106.553,97.266,47.619,133.787,89.828,165.234,54.528,127.64,135.741,124.345,172.832,173.921,35.261,116.033,56.847,12.519,126.956,144.745,106,98.377,55.2,144.424,165.555, 
Nopaltepec,26.013,207.483,9.291,130.374,108.077,55.482,114.534,179.825,125.199,144.708,185.502,63.099,0,37.205,175.203,110.618,147.723,168.813,182.621,118.212,36.001,190.398,105.249,178.477,53.654,121.885,141.055,137.498,113.775,123.488,129.527,149.841,129.873,195.281,154.428,130.875,210.387,50.136,136.29,200.44,123.892,52.444,175.029,36.92,23.947,174.95,132.313,180.172,141.344,185.168,111.912,69.234,167.727,165.474,173.743,74.655,216.671,186.498,202.326,195.42,194.528,97.872,169.612,148.882,194.776,114.936,138.682,136.039,89.224,165.915,110.935,196.984,36.36,107.313,167.869,106.019,204.582,205.671,76.866,137.14,31.463,51.804,159.084,176.495,138.129,119.483,37.246,176.174,197.305, 
Benemrito Jurez,18.977,197.879,39.801,110.316,91.56,85.992,115.793,160.225,116.27,128.191,175.238,26.008,37.205,0,168.017,144.224,133.892,161.626,175.434,117.294,20.315,183.59,88.586,171.669,47.003,125.72,133.869,120.835,112.857,106.826,133.362,133.178,113.21,188.473,123.939,134.71,203.579,36.307,140.125,186.609,107.229,53.492,167.842,23.091,16.411,168.142,136.148,172.985,134.158,177.981,108.432,33.467,160.541,158.288,166.935,108.261,209.863,179.312,195.518,188.234,187.72,59.736,162.426,141.695,187.968,143.443,131.495,122.208,72.562,158.729,114.77,190.176,69.966,140.919,160.683,139.625,197.774,198.863,60.203,140.975,65.069,16.037,151.898,169.687,130.942,123.319,30.595,169.366,190.497, 
Huazuntln,185.556,68.146,167.811,57.46,175.096,177.728,139.556,29.568,72.309,224.645,22.154,143.075,175.203,168.017,0,165.985,58.797,32.786,23.29,50.441,186.66,54.376,101.889,34.809,224.973,145.342,33.918,56.211,58.64,133.402,103.554,117.727,83.559,45.929,141.737,104.492,74.19,173.702,110.915,111.515,68.2,175.72,26.57,189.436,182.757,33.293,106.938,19.782,35.99,12.43,59.456,137.261,34.241,22.333,34.563,197.931,80.649,11.806,66.304,20.728,45.176,164.698,31.529,36.996,58.754,152.37,38.907,47.114,99.138,25.495,123.904,47.632,159.636,161.509,29.759,194.511,68.56,69.649,112.494,98.476,154.739,154.26,29.056,40.299,38.542,107.996,208.565,39.977,51.354, 
Saltabarranca,131.742,233.764,103.226,156.257,164.062,69.487,26.209,180.066,93.887,213.611,160.908,132.116,110.618,144.224,165.985,0,173.867,154.313,168.121,116.063,142.5,204.93,134.324,193.009,160.153,21.682,151.148,166.573,111.625,152.563,62.426,178.916,158.948,209.813,221.565,63.773,224.744,112.261,69.188,226.585,152.967,94.518,160.529,143.419,130.446,183.847,65.211,167.139,153.788,172.135,107.175,126.066,180.172,177.919,185.117,37.178,231.203,177.248,216.858,186.17,209.06,153.503,182.057,167.766,209.308,10.201,154.029,162.184,118.299,178.36,42.13,211.516,76.76,4.935,180.313,38.486,219.114,220.203,105.941,70.039,80.595,143.065,171.529,190.853,150.316,58.297,143.745,190.531,211.837, 
Aguilera,151.431,88.926,140.331,23.334,140.971,150.248,136.44,51.272,80.223,198.158,66.285,108.95,147.723,133.892,58.797,173.867,0,50.551,64.359,56.873,150.758,72.515,65.986,60.594,177.447,143.872,22.794,20.308,65.072,97.499,109.986,61.742,27.574,77.398,85.917,110.924,92.504,137.799,117.347,55.695,32.297,146.634,56.767,153.534,146.854,57.067,113.37,61.91,23.083,66.906,65.888,101.358,49.466,47.213,55.86,168.845,98.788,68.237,84.443,77.159,76.645,128.796,51.351,30.62,76.893,161.594,20.42,10.002,63.235,47.654,132.922,79.101,130.55,170.733,49.608,200.21,86.699,87.788,76.591,104.908,125.653,118.357,40.823,58.612,19.867,114.428,161.039,58.291,79.422, 
Morelos,179.165,96.777,161.421,51.069,168.705,171.338,127.917,58.2,60.67,218.254,12.144,136.684,168.813,161.626,32.786,154.313,50.551,0,13.808,33.22,186.71,89.911,101.939,77.99,225.023,128.121,36.129,44.169,41.42,133.452,86.334,117.777,83.609,94.794,141.787,87.272,109.725,173.752,93.695,111.565,68.25,175.77,6.216,189.486,182.807,68.828,89.718,19.669,38.769,24.665,42.235,137.311,65.152,62.899,70.098,175.982,116.184,44.023,101.839,52.945,94.041,164.748,67.037,52.746,94.289,135.149,39.01,47.164,99.188,63.34,106.683,96.497,159.686,144.288,65.294,177.29,104.095,105.184,112.544,81.256,154.789,154.31,56.509,75.834,35.297,90.775,208.615,75.512,96.818, 
Ocozotepec,192.973,87.854,175.229,64.877,182.513,185.146,141.725,49.276,74.478,232.062,2.845,150.492,182.621,175.434,23.29,168.121,64.359,13.808,0,47.027,195.226,74.026,110.455,54.459,233.539,141.928,38.503,52.685,55.227,141.968,100.141,126.293,92.125,65.579,150.303,101.079,93.84,182.268,107.502,120.081,76.766,184.286,7.591,198.002,191.323,52.943,103.525,10.173,41.115,15.169,56.042,145.827,53.891,41.983,54.213,189.789,100.299,34.527,85.954,43.449,64.826,173.264,51.179,50.469,78.404,148.956,47.525,55.68,107.704,45.145,120.49,67.282,168.202,158.095,49.409,191.097,88.21,89.299,121.06,95.063,163.305,162.826,48.706,59.949,43.812,104.582,217.131,59.627,71.004, 
Corral Nuevo,134.833,103.1,110.82,32.621,124.373,120.737,89.666,64.522,22.419,173.922,45.364,92.352,118.212,117.294,50.441,116.063,56.873,33.22,47.027,0,130.699,89.417,65.945,77.496,167.676,95.451,35.635,43.676,8.749,97.459,53.663,89.398,55.23,94.3,141.294,54.601,109.231,117.741,61.024,111.072,32.257,118.423,45.016,133.475,126.795,68.334,57.047,51.626,38.276,56.622,9.565,81.3,64.659,62.406,69.605,143.312,115.69,61.735,101.345,70.657,93.547,108.737,66.544,52.253,93.795,102.479,38.516,46.671,63.195,62.847,74.013,96.003,102.339,111.618,64.801,144.62,103.601,104.69,61.175,48.585,97.442,98.299,56.016,75.34,34.803,58.105,151.268,75.018,96.324, 
