LOCALIDADES,Novara,Capoacan,Paraso Novillero,La Cerquilla,El Nigromante,Acula,Tlapacoyan,Fraccionamiento los Prados,Los Mangos,Xochiapa,Colonia Benito Jurez,Linda Vista,Nopaltepec,Benemrito Jurez,Huazuntln,Saltabarranca,Aguilera,Morelos,Ocozotepec,Corral Nuevo,San Bartolo,Estero del Pantano,Los Tigres (San Marcos),Mapachapa,San Jos Chiltepec,Tres Zapotes,Colonia Lealtad,Dehesa,Hueyapan de Ocampo,Abasolo del Valle,Sihuapan,Nuevo Ixcatln,Estacin Juanita,Puerto Esmeralda,Mara Lombardo de Caso,Calera,Hidalgotitln,Tlacojalpan,Salto de Eyipantla,Jess Carranza,San Juan Evangelista,Chacaltianguis,Buena Vista,Otatitln,Gabino Barreda,San Pedro Mrtir,Comoapan,Soteapan,Soconusco,Mecayapan,Juan Daz Covarrubias,Villa Azueta,Coacotla,Chinameca,El Naranjito,Tlacotalpan,Cuichapa,Tatahuicapan,Mundo Nuevo,Pajapan,Lomas de Barrillas,Playa Vicente,Zaragoza,Texistepec,Ixhuatln del Sureste,Angel R. Cabada,Oluta,Sayula de Alemn,Juan Rodrguez Clara,Oteapan,Santiago Tuxtla,Fraccionamiento Ciudad Olmeca,Carlos A. Carrillo,Lerdo de Tejada,Cosoleacaque,Alvarado,Allende,Nanchital de Lzaro Crdenas del Ro,Isla,Catemaco,Cosamaloapan,Loma Bonita,Jltipan de Morelos,Minatitln,Acayucan,San Andrs Tuxtla,San Juan Bautista Tuxtepec,Minatitln,Coatzacoalcos, 
Nuevo Ixcatln,150.717,147.855,142.449,67.907,56.014,152.366,138.154,110.202,111.003,53.417,125.215,108.235,149.841,133.178,117.727,178.916,61.742,117.777,126.293,89.398,146.427,133.329,44.461,119.479,124.821,142.647,83.288,78.185,97.577,33.937,156.492,0,35.639,140.554,61.794,143.55,155.66,131.454,149.973,104.816,59.31,149.54,119.923,142.874,134.853,120.223,145.996,125.066,86.239,130.062,98.513,101.287,112.622,110.369,119.016,171.751,161.944,131.393,147.599,140.315,139.801,69.89,114.507,93.776,140.049,164.102,83.576,74.289,59.818,110.81,135.429,142.257,133.456,173.241,112.764,203.116,149.855,150.944,76.52,137.533,128.559,112.013,103.979,121.768,83.023,143.977,116.833,121.447,142.578, 
Estacin Juanita,130.749,113.687,122.481,33.739,120.289,132.398,118.186,76.034,76.835,85.942,91.047,88.268,129.873,113.21,83.559,158.948,27.574,83.609,92.125,55.23,126.459,99.161,17.744,85.311,149.353,122.679,49.12,44.017,63.409,47.199,136.524,35.639,0,104.915,97.428,107.911,120.021,115.038,114.334,70.648,23.671,126.85,84.284,130.772,124.092,84.584,110.357,89.427,50.6,94.423,62.874,78.596,76.983,74.73,83.377,149.061,126.305,95.754,111.96,104.676,104.162,106.034,78.868,58.137,104.41,141.412,47.937,38.65,35.093,75.171,112.739,106.618,110.766,150.551,77.125,180.426,114.216,115.305,53.829,101.894,105.869,95.596,68.34,86.129,47.384,111.414,138.277,85.808,106.939, 
Puerto Esmeralda,206.012,54.85,187.889,77.916,195.552,197.806,183.997,31.093,116.17,245.101,64.501,163.531,195.281,188.473,45.929,209.813,77.398,94.794,65.579,94.3,201.722,15.872,118.977,17.548,224.616,188.49,60.304,76.693,102.743,152.042,147.387,140.554,104.915,0,161.229,146.623,60.369,193.195,153.046,131.007,87.693,194.553,65.326,208.929,214.099,28.41,149.069,58.538,56.515,55.169,101.586,156.754,37.225,35.968,25.565,216.764,59.514,51.097,21.121,43.723,2.02,184.191,33.9,57.521,37.619,209.513,59.431,66.606,118.631,33.101,180.841,5.213,178.469,218.652,28.232,248.129,23.377,24.466,131.987,140.607,173.572,173.753,38.042,23.299,59.066,150.126,227.398,21.574,9.213, 
Mara Lombardo de Caso,136.992,171.865,157.024,106.273,78.963,195.015,180.803,134.212,163.163,51.975,149.225,106.899,154.428,123.939,141.737,221.565,85.917,141.787,150.303,141.294,125.129,157.339,106.25,143.489,123.379,185.296,107.298,105.05,149.737,61.459,199.141,61.794,97.428,161.229,0,199.017,199.968,129.658,204.432,104.588,102.653,146.842,202.998,141.078,133.057,203.298,200.455,208.141,169.313,213.137,212.119,110.235,195.696,193.443,202.091,215.399,245.019,214.467,230.674,223.389,222.876,68.094,197.581,176.851,223.124,207.749,166.651,156.233,136.942,193.884,179.077,225.332,177.104,216.888,195.838,246.764,232.93,234.019,116.192,205.282,172.207,110.217,187.053,204.843,166.098,187.625,115.037,204.522,225.653, 
Calera,151.999,157.151,123.483,86.514,141.715,123.3,37.377,118.574,32.395,191.264,99.416,109.768,130.875,134.71,104.492,63.773,110.924,87.272,101.079,54.601,147.959,142.733,110.777,128.883,180.084,41.87,91.541,97.747,50.061,130.206,1.348,143.55,107.911,146.623,199.017,0,163.249,141.422,6.715,165.089,86.01,131.917,99.034,157.156,150.476,122.352,2.738,105.643,92.293,110.639,45.68,104.981,118.676,116.423,123.622,90.988,169.708,115.752,155.363,124.674,147.565,132.418,120.561,106.27,147.813,50.155,92.534,100.688,97.214,116.864,21.689,150.021,115.833,59.294,118.818,92.296,157.619,158.708,84.856,8.544,110.936,121.98,110.033,129.358,88.821,5.781,164.762,129.036,150.342, 
Hidalgotitln,221.118,39.738,202.995,93.022,210.658,212.912,199.104,46.024,131.101,251.489,92.762,178.637,210.387,203.579,74.19,224.744,92.504,109.725,93.84,109.231,216.828,54.98,134.083,44.039,239.722,203.597,75.235,91.799,117.674,167.148,162.318,155.66,120.021,60.369,199.968,163.249,0,209.973,169.716,90.48,104.471,211.331,109.135,225.707,230.877,42.086,165.739,90.488,73.185,87.119,118.257,173.532,41.036,52.639,41.029,233.542,80.467,85.583,65.799,79.702,60.239,200.969,41.288,63.121,58.572,226.291,76.102,83.384,135.409,49.771,197.619,62.695,195.247,235.43,44.902,264.907,68.055,69.144,148.765,157.277,190.35,190.531,54.713,39.269,75.737,166.797,244.176,38.947,60.779, 
Tlacojalpan,31.909,203.831,52.732,116.268,85.275,60.214,121.745,166.177,122.223,121.905,181.19,31.961,50.136,36.307,173.702,112.261,137.799,173.752,182.268,117.741,33.038,189.305,93.136,175.455,55.932,126.238,139.263,126.546,113.2,112.565,140.083,131.454,115.038,193.195,129.658,141.422,209.973,0,145.949,192.433,113.053,18.127,173.666,13.628,29.134,173.966,141.972,178.809,139.982,183.805,114.256,39.291,166.365,164.112,172.759,75.576,215.687,185.136,201.342,194.058,193.544,65.56,168.25,147.519,193.792,115.857,137.319,128.032,78.385,164.553,120.594,196,37.123,108.234,166.507,106.94,203.598,204.687,66.027,146.799,39.442,19.737,157.722,175.511,136.766,129.143,43.319,175.19,196.321, 
Salto de Eyipantla,157.414,163.574,128.898,92.937,147.13,128.715,42.792,124.997,38.818,196.679,105.839,115.183,136.29,140.125,110.915,69.188,117.347,93.695,107.502,61.024,153.374,149.156,116.192,135.306,185.499,47.285,97.964,104.17,56.484,135.621,7.771,149.973,114.334,153.046,204.432,6.715,169.716,145.949,0,171.32,92.241,137.388,105.265,162.627,155.947,128.583,4.47,111.874,98.524,116.87,51.91,110.452,124.907,122.654,129.853,96.459,175.939,121.983,161.594,130.905,153.796,137.889,126.792,112.501,154.044,55.626,98.764,106.919,102.685,123.095,27.16,156.252,121.304,64.765,125.049,97.767,163.85,164.939,90.327,14.774,116.407,127.451,116.264,135.589,95.052,10.871,170.233,135.267,156.573, 
Jess Carranza,204.148,141.643,193.048,76.051,183.097,202.965,189.157,103.99,132.941,156.109,119.003,161.667,200.44,186.609,111.515,226.585,55.695,111.565,120.081,111.072,199.858,127.117,117.113,113.267,227.513,193.65,77.076,74.828,119.515,150.177,164.159,104.816,70.648,131.007,104.588,165.089,90.48,192.433,171.32,0,67.011,201.091,111.223,207.99,201.31,111.523,167.826,116.366,77.539,121.362,120.344,155.814,103.922,101.669,110.316,223.302,153.244,122.693,138.899,131.615,131.101,171.944,105.807,85.076,131.349,216.051,74.876,64.458,117.691,102.11,187.379,133.557,185.007,225.19,104.064,254.667,141.155,142.244,131.047,159.364,180.11,172.813,95.279,113.068,74.323,168.884,218.888,112.747,133.878, 
San Juan Evangelista,124.768,98.329,116.5,10.766,114.308,126.417,112.205,60.675,53.862,163.857,75.688,82.287,123.892,107.229,68.2,152.967,32.297,68.25,76.766,32.257,120.478,83.803,37.733,69.953,143.372,116.698,33.761,21.044,40.436,70.797,85.08,59.31,23.671,87.693,102.653,86.01,104.471,113.053,92.241,67.011,0,133.879,67.816,137.801,131.121,68.116,93.889,72.959,34.132,77.955,46.406,85.626,60.515,58.262,66.909,156.09,109.837,79.286,95.492,88.208,87.694,113.063,62.4,41.669,87.942,148.441,31.469,22.181,47.503,58.703,119.768,90.15,117.795,157.58,60.657,187.455,97.748,98.837,60.858,85.426,112.898,102.625,51.872,69.661,30.916,94.946,145.306,69.34,90.471, 
Chacaltianguis,49.094,205.189,45.052,128.08,135.886,42.471,112.24,177.531,122.905,139.089,183.208,34.19,52.444,53.492,175.72,94.518,146.634,175.77,184.286,118.423,50.223,190.663,104.948,176.813,73.117,116.733,141.281,138.358,113.882,124.377,130.578,149.54,126.85,194.553,146.842,131.917,211.331,18.127,137.388,201.091,133.879,0,176.369,30.812,46.319,176.29,133.653,181.512,142.684,186.508,113.252,40.673,169.067,166.814,175.083,57.833,218.011,187.838,203.666,196.76,195.868,125.768,170.952,150.222,196.116,98.114,140.022,137.379,90.564,167.255,112.275,198.324,19.38,90.491,169.209,89.197,205.922,207.011,78.206,138.48,21.699,36.921,160.424,177.835,139.469,120.823,60.504,177.514,198.645, 
Buena Vista,185.381,102.993,167.637,57.285,174.921,177.554,134.133,64.416,66.886,224.47,5.928,142.9,175.029,167.842,26.57,160.529,56.767,6.216,7.591,45.016,181.091,88.575,98.346,74.725,203.985,138.626,37.383,43.589,53.459,131.411,98.103,119.923,84.284,65.326,202.998,99.034,109.135,173.666,105.265,111.223,67.816,176.369,0,195.702,189.023,75.044,95.934,13.453,44.985,18.449,48.451,143.527,71.368,45.263,76.314,182.198,122.4,37.807,108.055,46.729,68.106,170.964,73.253,58.962,100.505,141.365,45.226,53.38,105.404,48.425,112.899,70.562,165.902,150.504,71.51,183.506,110.311,111.4,118.76,87.472,161.005,160.526,62.725,82.05,41.513,96.991,214.831,81.728,74.284, 
Otatitln,18.693,219.565,39.516,132.002,96.695,85.707,137.479,181.911,137.957,133.326,196.924,47.695,36.92,23.091,189.436,143.419,153.534,189.486,198.002,133.475,19.822,205.039,108.87,191.189,42.716,141.972,154.997,142.28,128.934,128.299,155.817,142.874,130.772,208.929,141.078,157.156,225.707,13.628,162.627,207.99,137.801,30.812,195.702,0,15.918,189.587,157.593,194.43,155.603,199.426,129.877,54.912,181.986,179.733,188.38,88.261,231.308,200.757,216.963,209.679,209.165,90.729,183.871,163.14,209.413,128.542,152.94,143.653,94.006,180.174,136.215,211.621,49.808,120.919,182.128,119.625,219.219,220.308,81.648,162.42,64.576,37.482,173.343,191.132,152.387,144.764,30.103,190.811,211.942, 
Gabino Barreda,2.763,224.735,26.543,125.322,88.674,72.734,130.799,175.232,131.277,125.305,190.245,41.015,23.947,16.411,182.757,130.446,146.854,182.807,191.323,126.795,13.142,210.209,102.19,196.359,34.695,135.292,148.318,135.6,122.254,121.619,149.137,134.853,124.092,214.099,133.057,150.476,230.877,29.134,155.947,201.31,131.121,46.319,189.023,15.918,0,182.907,150.662,187.75,148.923,192.746,123.197,48.232,175.306,173.053,181.7,93.004,224.628,194.077,210.283,202.999,202.485,77.661,177.191,156.46,202.733,133.285,146.26,136.973,87.326,173.494,129.284,204.941,54.709,125.662,175.448,124.368,212.539,213.628,74.968,155.489,49.812,30.802,166.663,184.452,145.707,137.832,17.035,184.131,205.262, 
San Pedro Mrtir,185.681,35.944,167.558,57.585,175.221,177.475,163.667,4.84,90.204,224.77,51.865,143.2,174.95,168.142,33.293,183.847,57.067,68.828,52.943,68.334,181.391,23.219,98.646,10.67,204.285,168.16,34.338,56.362,76.777,131.711,121.421,120.223,84.584,28.41,203.298,122.352,42.086,173.966,128.583,111.523,68.116,176.29,75.044,189.587,182.907,0,124.743,49.492,32.189,46.123,77.261,133.46,8.737,11.643,4.403,199.387,49.374,44.587,34.706,42.407,29.145,160.897,5.412,33.195,27.479,170.175,35.106,43.313,95.337,8.775,141.709,31.601,161.092,179.314,4.483,230.752,36.962,38.051,108.693,116.281,156.195,150.459,13.717,8.175,34.741,125.801,210.021,7.854,29.686, 
Comoapan,153.437,159.597,124.921,88.96,143.153,124.738,38.815,121.02,34.841,192.702,101.862,111.206,132.313,136.148,106.938,65.211,113.37,89.718,103.525,57.047,149.397,145.179,112.215,131.329,181.522,43.308,93.987,100.193,52.507,131.644,3.794,145.996,110.357,149.069,200.455,2.738,165.739,141.972,4.47,167.826,93.889,133.653,95.934,157.593,150.662,124.743,0,107.898,94.548,112.894,47.934,106.476,120.931,118.678,125.877,92.483,171.963,118.007,157.618,126.929,149.82,133.913,122.816,108.525,150.068,51.65,94.788,102.943,98.709,119.119,23.184,152.276,117.328,60.789,121.073,93.791,159.874,160.963,86.351,10.798,112.431,123.475,112.288,131.613,91.076,6.895,166.257,131.291,152.597, 
Soteapan,190.524,84.346,172.78,62.428,180.064,182.697,140.742,45.768,73.495,229.613,9.095,148.043,180.172,172.985,19.782,167.139,61.91,19.669,10.173,51.626,186.234,69.927,103.489,56.077,209.128,145.235,35.104,48.732,60.069,136.554,104.713,125.066,89.427,58.538,208.141,105.643,90.488,178.809,111.874,116.366,72.959,181.512,13.453,194.43,187.75,49.492,107.898,0,37.451,5.653,60.376,142.163,50.227,38.319,50.549,202.833,96.635,24.457,82.29,33.448,61.162,169.6,47.515,46.805,74.74,153.29,43.861,52.016,104.04,41.481,124.824,63.618,164.538,162.429,45.745,195.431,84.546,85.635,117.396,99.396,159.641,159.162,45.042,56.285,40.148,108.916,213.467,55.963,67.34, 
Soconusco,151.697,67.043,133.952,23.601,141.237,143.869,130.061,28.465,60.145,190.786,40.037,109.216,141.344,134.158,35.99,153.788,23.083,38.769,41.115,38.276,147.407,52.625,64.662,38.775,170.301,134.554,2.816,16.3,46.718,97.727,91.363,86.239,50.6,56.515,169.313,92.293,73.185,139.982,98.524,77.539,34.132,142.684,44.985,155.603,148.923,32.189,94.548,37.451,0,41.485,47.42,103.62,28.757,26.504,33.703,164.29,79.789,45.918,65.444,54.84,57.646,131.057,30.642,16.351,57.894,140.334,5.265,13.473,65.497,26.945,111.868,60.102,125.995,149.473,28.899,182.475,67.7,68.789,78.853,86.441,121.098,120.619,20.114,39.439,4.9,95.96,174.924,39.117,60.423, 
Mecayapan,195.52,80.977,177.776,67.424,185.06,187.693,145.738,42.399,78.491,234.609,14.091,153.039,185.168,177.981,12.43,172.135,66.906,24.665,15.169,56.622,191.23,66.558,108.485,52.708,214.124,150.231,40.1,53.728,65.065,141.55,109.709,130.062,94.423,55.169,213.137,110.639,87.119,183.805,116.87,121.362,77.955,186.508,18.449,199.426,192.746,46.123,112.894,5.653,41.485,0,65.571,147.358,47.076,35.168,47.398,208.028,93.484,23.317,79.139,32.308,58.011,174.795,44.364,52,71.589,158.485,49.056,57.211,109.235,38.33,130.019,60.467,169.733,167.624,42.594,200.626,81.395,82.484,122.591,104.591,164.836,164.357,41.891,53.134,45.343,114.111,218.662,52.812,64.189, 
Juan Daz Covarrubias,125.971,112.115,104.52,41.477,115.511,114.437,80.778,73.537,13.531,165.06,54.379,83.49,111.912,108.432,59.456,107.175,65.888,42.235,56.042,9.565,121.681,97.696,52.601,83.846,144.575,85.271,46.504,52.71,5.024,72.001,44.749,98.513,62.874,101.586,212.119,45.68,118.257,114.256,51.91,120.344,46.406,113.252,48.451,129.877,123.197,77.261,47.934,60.376,47.42,65.571,0,72.366,73.651,71.398,78.596,134.401,124.682,70.727,110.337,79.649,102.539,99.803,75.536,61.245,102.787,93.568,47.508,55.663,39.579,71.839,65.102,104.995,93.405,102.707,73.793,135.709,112.593,113.682,52.241,39.675,88.508,89.365,65.008,84.332,43.795,49.194,142.334,84.01,105.316, 
Villa Azueta,51.007,167.39,71.83,79.827,52.933,71.831,85.304,129.736,85.782,102.482,144.749,7.446,69.234,33.467,137.261,126.066,101.358,137.311,145.827,81.3,46.716,152.864,56.695,139.014,69.61,89.797,102.822,90.105,76.759,76.124,103.642,101.287,78.596,156.754,110.235,104.981,173.532,39.291,110.452,155.814,85.626,40.673,143.527,54.912,48.232,133.46,106.476,142.163,103.62,147.358,72.366,0,129.802,127.549,136.196,87.184,179.124,148.573,164.779,157.495,156.981,38.053,131.687,110.956,157.229,112.704,100.756,91.468,41.822,127.99,84.031,159.437,48.731,121.843,129.944,118.548,167.035,168.124,29.464,110.236,51.05,19.747,121.159,138.948,100.203,92.58,62.428,138.627,159.758, 
Coacotla,178.08,34.894,160.335,49.984,167.62,170.252,156.444,7.773,86.528,217.169,52.813,135.599,167.727,160.541,34.241,180.172,49.466,65.152,53.891,64.659,173.79,33.335,91.045,19.485,196.684,160.937,30.662,42.683,73.102,124.11,117.746,112.622,76.983,37.225,195.696,118.676,41.036,166.365,124.907,103.922,60.515,169.067,71.368,181.986,175.306,8.737,120.931,50.227,28.757,47.076,73.651,129.802,0,12.745,14.324,187.767,60.41,45.689,46.065,43.509,38.267,154.534,4.498,26.832,38.515,163.812,28.743,36.95,88.974,9.877,135.346,40.723,149.472,172.951,9.211,205.953,48.321,49.41,102.33,109.918,144.575,144.096,7.913,20.06,28.378,119.438,198.401,19.738,41.044, 
Chinameca,175.827,46.497,158.082,47.731,165.367,167.999,154.191,7.919,84.275,214.916,40.905,133.346,165.474,158.288,22.333,177.919,47.213,62.899,41.983,62.406,171.537,32.078,88.792,18.228,194.431,158.684,28.409,40.43,70.849,121.857,115.493,110.369,74.73,35.968,193.443,116.423,52.639,164.112,122.654,101.669,58.262,166.814,45.263,179.733,173.053,11.643,118.678,38.319,26.504,35.168,71.398,127.549,12.745,0,12.913,188.202,58.999,33.627,44.654,31.447,36.856,154.969,9.879,27.267,37.104,164.246,29.177,37.385,89.409,3.845,135.78,39.312,149.907,173.385,8.109,206.387,46.91,47.999,102.765,110.353,145.01,144.531,6.546,18.649,28.812,119.872,198.836,18.327,39.633, 
El Naranjito,184.474,34.887,166.351,56.378,174.014,176.268,162.459,6.397,91.474,223.563,53.135,141.993,173.743,166.935,34.563,185.117,55.86,70.098,54.213,69.605,180.184,21.675,97.439,7.825,203.078,166.952,35.608,55.155,78.047,130.504,122.692,119.016,83.377,25.565,202.091,123.622,41.029,172.759,129.853,110.316,66.909,175.083,76.314,188.38,181.7,4.403,125.877,50.549,33.703,47.398,78.596,136.196,14.324,12.913,0,195.19,47.931,45.418,33.586,43.238,25.788,162.617,9.306,34.027,26.036,187.939,35.937,45.032,97.057,9.607,159.267,28.244,156.895,197.078,3.694,226.555,35.842,36.931,110.413,117.113,151.998,152.179,14.548,7.581,35.572,126.632,205.824,7.259,28.565, 
Tlacotalpan,95.779,227.4,67.263,150.291,158.097,33.524,62.948,199.742,121.105,207.646,188.126,92.981,74.655,108.261,197.931,37.178,168.845,175.982,189.789,143.312,105.828,212.874,127.159,199.024,123.864,58.424,163.492,160.569,138.771,146.588,89.649,171.751,149.061,216.764,215.399,90.988,233.542,75.576,96.459,223.302,156.09,57.833,182.198,88.261,93.004,199.387,92.483,202.833,164.29,208.028,134.401,87.184,187.767,188.202,195.19,0,240.147,209.974,225.802,218.896,218.004,147.904,193.088,172.358,218.252,40.798,162.158,159.515,112.7,189.391,68.649,220.46,39.999,33.175,191.345,31.881,228.058,229.147,100.342,96.558,43.834,121.542,182.56,199.971,161.605,84.817,106.984,199.65,220.781, 
Cuichapa,227.402,74.325,209.279,99.306,216.942,219.196,205.387,52.483,137.56,266.491,99.221,184.921,216.671,209.863,80.649,231.203,98.788,116.184,100.299,115.69,223.112,42.11,140.367,43.184,246.006,209.88,81.694,98.083,124.133,173.432,168.777,161.944,126.305,59.514,245.019,169.708,80.467,215.687,175.939,153.244,109.837,218.011,122.4,231.308,224.628,49.374,171.963,96.635,79.789,93.484,124.682,179.124,60.41,58.999,47.931,240.147,0,92.911,29.105,79.984,50.079,208.19,57.899,81.52,25.079,233.512,83.43,90.605,142.63,57.1,204.84,52.535,202.468,242.651,52.231,272.128,34.981,27.747,155.986,164.606,197.571,197.752,62.041,46.257,83.065,174.125,251.397,44.532,41.863, 
Tatahuicapan,196.851,79.441,179.106,68.755,186.391,189.023,150.851,40.863,83.604,235.94,33.449,154.37,186.498,179.312,11.806,177.248,68.237,44.023,34.527,61.735,192.561,65.022,109.816,51.172,215.455,155.344,45.213,58.841,70.178,142.881,114.822,131.393,95.754,51.097,214.467,115.752,85.583,185.136,121.983,122.693,79.286,187.838,37.807,200.757,194.077,44.587,118.007,24.457,45.918,23.317,70.727,148.573,45.689,33.627,45.418,209.974,92.911,0,77.585,9.172,53.828,175.979,42.81,48.277,70.035,163.651,50.188,58.395,110.419,36.776,135.185,56.284,170.917,172.79,41.04,205.792,79.841,80.93,123.775,109.757,166.02,165.541,40.337,51.58,49.823,119.277,219.846,51.258,60.006, 
Mundo Nuevo,213.057,59.657,194.934,84.961,202.597,204.851,191.042,38.138,123.215,252.146,84.876,170.576,202.326,195.518,66.304,216.858,84.443,101.839,85.954,101.345,208.767,12.342,126.022,28.839,231.661,195.535,67.349,83.738,109.788,159.087,154.432,147.599,111.96,21.121,230.674,155.363,65.799,201.342,161.594,138.899,95.492,203.666,108.055,216.963,210.283,34.706,157.618,82.29,65.444,79.139,110.337,164.779,46.065,44.654,33.586,225.802,29.105,77.585,0,63.577,20.975,191.783,41.492,65.113,16.883,217.105,67.023,74.198,126.223,40.693,188.433,23.431,186.061,226.244,35.824,255.721,5.876,6.686,139.579,148.199,181.164,181.345,45.634,29.392,66.658,157.718,234.99,27.667,12.759, 
Pajapan,205.773,73.56,188.028,77.677,195.313,197.945,159.773,38.683,92.526,244.862,42.371,163.292,195.42,188.234,20.728,186.17,77.159,52.945,43.449,70.657,201.483,52.095,118.738,36.257,224.377,164.266,54.135,67.763,79.1,151.803,123.744,140.315,104.676,43.723,223.389,124.674,79.702,194.058,130.905,131.615,88.208,196.76,46.729,209.679,202.999,42.407,126.929,33.448,54.84,32.308,79.649,157.495,43.509,31.447,43.238,218.896,79.984,9.172,63.577,0,46.454,184.929,40.644,57.227,56.632,172.601,59.138,67.345,119.369,34.61,144.135,48.91,179.867,181.74,38.874,214.742,66.438,67.527,132.725,118.707,174.97,174.491,38.171,42.312,58.773,128.227,228.796,40.587,52.632, 
Lomas de Barrillas,205.259,54.097,187.136,77.163,194.799,197.053,183.244,30.34,115.417,244.348,63.748,162.778,194.528,187.72,45.176,209.06,76.645,94.041,64.826,93.547,200.969,16.982,118.224,16.795,223.863,187.737,59.551,75.94,101.99,151.289,146.634,139.801,104.162,2.02,222.876,147.565,60.239,193.544,153.796,131.101,87.694,195.868,68.106,209.165,202.485,29.145,149.82,61.162,57.646,58.011,102.539,156.981,38.267,36.856,25.788,218.004,50.079,53.828,20.975,46.454,0,183.737,33.446,57.067,37.165,209.059,58.977,66.152,118.177,32.647,180.387,4.356,178.015,218.198,27.778,247.675,23.275,24.364,131.533,140.153,173.118,173.299,37.588,22.845,58.612,149.672,226.944,21.12,8.709, 
Playa Vicente,80.436,194.827,100.468,107.264,10.954,126.953,112.741,157.173,113.219,60.341,172.186,38.837,97.872,59.736,164.698,153.503,128.796,164.748,173.264,108.737,68.573,180.301,84.132,166.451,66.823,117.234,130.259,117.542,104.196,40.109,131.079,69.89,106.034,184.191,68.094,132.418,200.969,65.56,137.889,171.944,113.063,125.768,170.964,90.729,77.661,160.897,133.913,169.6,131.057,174.795,99.803,38.053,154.534,154.969,162.617,147.904,208.19,175.979,191.783,184.929,183.737,0,159.071,138.34,184.613,140.013,128.14,118.853,69.206,155.374,111.341,186.821,109.368,149.152,157.328,179.028,194.419,195.508,48.456,137.546,104.471,53.597,148.543,166.332,127.587,119.889,58.417,166.011,187.142, 
Zaragoza,179.965,35.146,162.22,51.869,169.505,172.137,158.329,4.448,88.413,219.054,50.101,137.484,169.612,162.426,31.529,182.057,51.351,67.037,51.179,66.544,175.675,30.01,92.93,16.16,198.569,162.822,32.548,44.568,74.987,125.995,119.631,114.507,78.868,33.9,197.581,120.561,41.288,168.25,126.792,105.807,62.4,170.952,73.253,183.871,177.191,5.412,122.816,47.515,30.642,44.364,75.536,131.687,4.498,9.879,9.306,193.088,57.899,42.81,41.492,40.644,33.446,159.071,0,31.405,35.036,168.385,33.316,41.523,93.547,6.985,139.919,37.244,154.045,177.524,5.732,210.526,44.842,45.931,106.903,114.491,149.148,148.669,11.926,16.581,32.951,124.011,202.974,16.259,37.565, 
Texistepec,159.234,68.049,141.49,31.138,148.774,151.407,137.599,29.472,74.122,198.323,49.391,116.753,148.882,141.695,36.996,167.766,30.62,52.746,50.469,52.253,154.944,53.631,72.199,39.781,177.838,142.092,18.257,23.441,60.696,105.264,105.34,93.776,58.137,57.521,176.851,106.27,63.121,147.519,112.501,85.076,41.669,150.222,58.962,163.14,156.46,33.195,108.525,46.805,16.351,52,61.245,110.956,26.832,27.267,34.027,172.358,81.52,48.277,65.113,57.227,57.067,138.34,31.405,0,58.656,154.094,10.435,21.095,73.12,27.708,125.628,60.864,133.617,163.233,29.662,203.277,68.462,69.551,86.476,100.2,128.72,128.242,20.877,40.201,14.423,109.72,182.546,39.879,61.185, 
Ixhuatln del Sureste,205.507,52.43,187.384,77.411,195.047,197.301,183.492,30.588,115.665,244.596,77.326,163.026,194.776,187.968,58.754,209.308,76.893,94.289,78.404,93.795,201.217,29.225,118.472,21.289,224.111,187.985,59.799,76.188,102.238,151.537,146.882,140.049,104.41,37.619,223.124,147.813,58.572,193.792,154.044,131.349,87.942,196.116,100.505,209.413,202.733,27.479,150.068,74.74,57.894,71.589,102.787,157.229,38.515,37.104,26.036,218.252,25.079,70.035,16.883,56.632,37.165,184.613,35.036,58.656,0,210.024,59.942,67.117,119.142,33.612,181.352,39.489,178.98,219.163,28.743,248.64,24.588,7.312,132.498,141.118,174.083,174.264,38.553,22.769,59.577,150.637,227.909,21.044,31.47, 
Angel R. Cabada,136.06,220.149,107.544,142.642,150.447,73.805,25.335,166.451,80.272,199.996,147.293,118.501,114.936,143.443,152.37,10.201,161.594,135.149,148.956,102.479,146.11,205.623,119.51,191.773,164.145,20.811,139.418,152.92,97.938,138.939,48.816,164.102,141.412,209.513,207.749,50.155,226.291,115.857,55.626,216.051,148.441,98.114,141.365,128.542,133.285,170.175,51.65,153.29,140.334,158.485,93.568,112.704,163.812,164.246,187.939,40.798,233.512,163.651,217.105,172.601,209.059,140.013,168.385,154.094,210.024,0,140.418,148.572,104.688,164.748,28.518,197.905,81.767,10.49,166.702,43.493,205.503,206.592,92.33,56.427,85.602,129.454,157.917,177.242,136.705,44.686,148.752,176.92,198.226, 
Oluta,149.034,69.96,131.29,20.938,138.574,141.207,127.399,31.382,60.385,188.123,46.447,106.553,138.682,131.495,38.907,154.029,20.42,39.01,47.525,38.516,144.744,55.541,61.999,41.691,167.638,131.892,6.88,13.241,46.959,95.064,91.603,83.576,47.937,59.431,166.651,92.534,76.102,137.319,98.764,74.876,31.469,140.022,45.226,152.94,146.26,35.106,94.788,43.861,5.265,49.056,47.508,100.756,28.743,29.177,35.937,162.158,83.43,50.188,67.023,59.138,58.977,128.14,33.316,10.435,59.942,140.418,0,10.894,62.919,29.619,114.043,62.775,123.416,151.648,31.572,193.076,70.373,71.462,76.275,88.615,118.519,118.041,22.787,42.112,4.222,98.135,172.345,41.79,63.096, 
