LOCALIDADES,Santa Elena Paliseca,El Huixm,San Bartolo Tutotepec,Santiago Tepeyahualco,San Juan Tilcuautla,Almoloya,Rinconada de los ngeles,Manuel vila Camacho,El Pedregal de San Jos,Xolotla,Huehuetla,Ixtlahuaca Barrio,Santa Mara Nativitas,El Saucillo,Rincones de la Hacienda,La Colonia,Santa Mara Asuncin,Cuacuila,Metztitln,Epazoyucan,San Pablito,Jagey de Tllez (Estacin Tllez),Unidades Habitacionales,Santiago Tlapacoya,PRI Chacn,Ciudad de Pahuatln de Valle,Santa Mara Aticpac,Forjadores de Pachuca,El Saucillo (Fraccionamiento),Los Reyes,San Felipe Teotitln,Acaxochitln,Singuilucan,Santa Ana Tzacuala,Almoloya,Tepepa (Santiago Tepepa),Colinas de Plata,Jaltepec,Los Tuzos,Privadas Santa Matilde,Huayacocotla,Unidad Minera 11 de Julio,Santa Ana Hueytlalpan,Pachuquilla,Parque Urbano Napateco,Javier Rojo Gmez,Campestre Villas del lamo,Jaltepec,Zempoala,Atotonilco el Grande,Tlanalapa,Acayuca,Emiliano Zapata,San Agustn Tlaxiaca,Mineral del Monte,Tepeapulco,Santiago Tulantepec,La Providencia Siglo XXI,Cuautepec de Hinojosa,Ciudad de Chignahuapan,Zacualtipn,Apan,Fray Bernardino de Sahagn (Ciudad Sahagn),Huauchinango,Tulancingo,Pachuca de Soto, 
Huehuetla,124.546,189.317,33.635,176.468,188.778,140.732,175.354,127.689,136.061,56.626,0,142.82,128.158,196.465,134.653,196.681,121.545,91.471,141.779,165.428,54.254,194.979,145.504,189.208,175.088,52.247,184.229,196.148,174.245,109.131,189.821,113.604,153.465,71.608,199.762,108.826,176.199,196.298,195.311,198.731,104.251,175.003,82.683,170.718,87.903,137.422,174.606,134.97,175.432,115.206,182.449,217.069,213.666,196.813,121.572,179.212,137.381,173.586,141.76,139.974,133.506,193.871,191.1,90.345,130.289,178.465, 
Ixtlahuaca Barrio,38.95,129.781,116.275,116.932,129.242,48.209,115.818,118.775,76.525,73.02,142.82,0,59.75,136.873,75.061,137.089,61.953,56.451,167.284,105.836,85.895,135.387,85.912,129.616,115.496,75.62,124.637,136.556,114.653,47.533,130.229,52.006,93.873,56.467,75.278,47.228,116.607,114.299,135.719,139.139,124.961,115.411,64.15,111.126,68.353,77.83,115.014,75.378,115.84,113.096,122.857,157.477,91.456,137.221,122.984,92.859,77.789,113.994,53.118,3.706,176.653,78.841,96.862,53.452,70.697,118.873, 
Santa Mara Nativitas,8.184,67.682,81.97,54.842,67.143,5.104,53.719,56.676,15.288,42.138,128.158,59.75,0,75.324,17.769,75.54,20.719,41.944,109.992,44.288,55.978,73.838,18.531,68.068,53.948,45.703,63.088,75.007,53.105,24.791,68.68,21.058,32.324,26.55,56.263,21.048,55.059,75.157,74.17,77.59,88.865,53.863,28.054,49.578,20.091,16.412,53.466,18.086,54.291,55.804,61.308,95.928,92.525,75.673,61.436,46.719,9.372,52.446,3.812,43.55,119.361,57.426,69.959,38.945,12.026,57.325, 
El Saucillo,82.997,14.675,134.451,31.258,14.938,74.668,8.917,8.455,62.153,106.636,196.465,136.873,75.324,0,47.182,8.363,61.874,100.81,92.289,21.022,101.734,20.61,40.07,15.115,0.839,91.459,34.415,9.177,2.558,74.857,38.695,69.25,47.525,72.306,66.248,76.206,2.219,52.033,8.34,16.269,115.244,7.086,64.07,7.377,53.533,43.287,8.193,47.499,26.106,38.1,37.525,19.698,69.401,22.72,14.673,44.991,48.293,4.161,52.672,114.587,101.657,59.65,46.176,90.972,46.779,4.373, 
Rincones de la Hacienda,25.442,59.53,72.639,46.681,58.991,17.113,45.567,48.524,10.178,44.824,134.653,75.061,17.769,47.182,0,66.168,20.992,59.928,94.998,34.915,60.852,64.466,14.991,58.695,44.575,50.577,53.716,65.635,43.732,33.975,59.308,28.368,22.952,31.424,69.956,35.324,45.686,65.785,64.798,68.218,70.361,44.49,23.188,40.205,13.212,8.064,44.093,3.092,44.919,40.81,51.936,86.556,83.153,66.3,47.175,48.699,11.666,43.073,16.045,73.705,104.367,63.358,60.587,50.09,7.37,47.952, 
La Colonia,83.213,8.746,134.667,31.474,16.966,74.884,9.133,15.312,62.369,106.852,196.681,137.089,75.54,8.363,66.168,0,67.134,106.07,97.548,17.552,106.994,10.209,45.33,11.988,8.055,96.719,32.174,1.388,6.298,80.117,36.454,74.51,45.285,77.566,64.008,81.466,9.141,49.792,2.569,5.867,120.503,12.346,69.33,12.637,58.793,48.547,13.453,52.759,23.865,43.359,35.285,13.349,67.16,21.502,19.932,42.751,53.553,8.667,57.932,119.847,106.916,57.41,43.935,96.232,52.039,4.514, 
Santa Mara Asuncin,25.444,74.222,58.263,61.373,73.683,25.202,60.259,63.216,20.531,27.227,121.545,61.953,20.719,61.874,20.992,67.134,0,45.882,111.092,49.644,41.131,79.195,23.319,73.424,59.304,30.856,68.445,80.364,58.461,14.254,74.037,8.647,37.681,11.703,84.685,15.603,60.415,80.514,79.527,82.947,67.361,59.219,6.551,54.934,11.723,21.199,58.822,19.186,59.648,56.904,66.665,101.285,97.882,81.029,66.792,63.428,21.159,57.802,25.538,59.659,96.616,78.087,75.316,36.044,14.067,62.681, 
Cuacuila,39.054,113.158,99.652,100.309,112.619,47.576,99.195,102.152,59.903,36.251,91.471,56.451,41.944,100.81,59.928,106.07,45.882,0,150.247,88.799,50.629,118.35,68.875,112.579,98.459,40.354,107.6,119.519,97.616,32.502,113.192,36.975,76.836,41.436,113.632,32.197,99.57,119.669,118.682,122.102,107.924,98.374,47.113,94.089,51.316,60.793,97.977,58.341,98.803,96.059,105.82,140.44,137.037,120.184,105.947,102.583,60.752,96.957,65.131,53.844,159.616,117.242,114.471,4.588,53.66,101.836, 
Metztitln,117.665,104.636,108.556,122.201,104.098,109.336,99.86,84.299,102.401,137.047,141.779,167.284,109.992,92.289,94.998,97.548,111.092,150.247,0,105.121,145.044,110.316,113.004,104.821,90.701,133.732,124.121,98.883,92.564,131.722,128.401,126.115,117.247,129.171,155.954,133.071,91.812,141.739,98.046,105.975,55.283,87.451,108.215,91.476,105.676,104.352,88.912,98.552,115.812,54.123,127.231,109.404,159.107,112.426,81.035,134.697,109.68,91.905,114.059,171.452,24.436,149.356,135.882,147.837,105.384,94.079, 
Epazoyucan,51.961,33.37,103.414,27.364,32.831,43.632,9.119,22.364,31.117,75.599,165.428,105.836,44.288,21.022,34.915,17.552,49.644,88.799,105.121,0,89.981,24.443,28.317,34.013,21.694,79.706,27.978,19.927,19.235,63.104,42.805,57.497,15.487,60.553,52.795,64.453,22.78,49.282,19.09,22.511,128.47,20.326,52.317,10.339,41.78,31.534,19.93,35.746,19.577,51.326,28.796,29.393,66.65,41.618,27.899,31.538,36.54,12.459,40.919,102.834,114.883,46.196,36.065,79.219,35.026,23.271, 
