LOCALIDADES,Mariano Matamoros,El Lucero (Arcinas),Transporte,Laguna del Rey (Qumicas del Rey),Hidalgo,Pastor Rouaix,El Huarache (El Guarache),Guanacev,Luchana,Carlos Real (San Carlos),Villa las Nieves,Len Guzmn,La Popular,Viesca,Nazas,Ceballos,El Cambio,La Concha,Hrcules,La Partida,La Loma,Hidalgo,Valle de Ignacio Allende,San Francisco del Oro,San Felipe,Rodeo,Santa Catarina de Tepehuanes,Mapim,Santa Mara del Oro,Ciudad Jurez,Nazareno,Concordia (La Rosita),Santa Brbara,Bermejillo,Tlahualilo de Zaragoza,San Antonio del Coyote,Santiago Papasquiaro,Francisco I. Madero (Chvez),Parras de la Fuente,Jos Mariano Jimnez,Santa Rosala de Camargo,San Pedro,Matamoros,Lerdo,Hidalgo del Parral,Gmez Palacio,Torren, 
Villa las Nieves,51.813,243.924,249.955,419.683,276.943,248.461,266.119,214.928,302.803,266.54,0,272.327,256.581,340.78,233.953,163.904,277.548,271.37,401.266,277.14,282.377,298.558,105.644,102.016,271.855,177.426,208.556,194.69,99.282,274.668,282.215,287.538,103.584,217.98,255.211,285.972,260.049,269.239,426.934,152.739,217.436,300.376,286.943,262.061,81.354,256.601,271.9, 
Len Guzmn,350.649,64.145,26.293,228.348,64.938,31.001,20.59,386.963,74.988,16.881,272.327,0,34.39,114.002,107.443,154.499,50.77,44.592,505.534,50.362,10.231,71.78,308.859,360.361,45.077,163.434,382.287,79.215,273.013,23.196,36.412,80.001,361.929,57.037,85.281,59.194,361.696,61.568,200.156,251.845,321.122,92.839,60.165,18.968,337.527,29.823,45.122, 
La Popular,334.903,29.952,10.547,196.293,32.883,6.066,21.64,371.217,41.814,27.763,256.581,34.39,0,96.866,134.334,137.544,25.992,16.867,488.579,25.59,43.254,54.644,291.904,343.406,12.354,190.325,365.332,62.26,256.058,35.545,38.301,47.144,344.974,40.082,60.888,28.406,388.587,28.845,183.02,234.89,304.167,59.982,43.029,22.938,320.572,13.401,21.09, 
Viesca,419.102,109.922,94.745,239.888,97.762,99.454,82.001,455.416,87.255,85.068,340.78,114.002,96.866,0,214.559,221.72,75.048,82.512,572.755,69.954,123.479,47.037,376.08,427.582,93.926,270.55,449.508,146.436,340.234,92.982,90.375,77.657,429.15,124.258,149.616,77.641,468.812,93.229,78.687,319.066,388.343,62.35,54.397,96.204,404.748,85.731,73.855, 
Nazas,285.002,165.275,127.423,329.478,166.068,132.131,121.93,348.589,176.118,118.221,233.953,107.443,134.334,214.559,0,254.294,150.565,144.387,605.329,150.157,100.037,171.575,338.982,335.354,144.872,57.475,319.997,131.012,234.043,123.989,137.205,179.796,336.922,156.832,185.076,158.989,268.276,161.363,299.951,351.64,420.917,192.634,159.96,119.761,314.692,129.618,144.917, 
Ceballos,218.559,123.036,130.431,137.792,157.419,128.937,146.595,278.54,183.279,147.016,163.904,154.499,137.544,221.72,254.294,0,157.787,151.609,372.661,157.379,162.616,178.797,175.986,227.488,152.094,241.514,272.644,124.57,163.37,154.907,162.454,167.777,229.056,102.294,93.327,166.211,324.137,149.478,307.173,118.972,188.249,180.615,167.182,142.3,204.654,136.84,152.139, 
El Cambio,355.87,36.387,31.513,187.638,24.228,36.222,27.081,392.184,30.749,27.099,277.548,50.77,25.992,75.048,150.565,157.787,0,7.089,509.408,10.813,60.132,32.884,312.733,364.235,11.562,207.203,386.161,83.089,276.887,38.943,44.02,35.157,365.803,60.911,70.718,12.162,405.465,19.281,159.334,255.719,324.996,47.995,22.299,32.857,341.401,22.384,15.762, 
La Concha,349.692,36.953,25.335,188.203,24.793,30.044,18.941,386.006,31.314,22.008,271.37,44.592,16.867,82.512,144.387,151.609,7.089,0,503.313,12.317,54.037,41.623,306.638,358.14,9.561,201.108,380.066,76.994,270.792,32.838,37.915,35.741,359.708,54.816,65.82,14.934,399.37,19.865,169.999,249.624,318.901,48.579,30.008,26.762,335.306,16.289,12.948, 
Hrcules,349.235,474.072,481.466,164.878,329.185,479.972,497.63,614.478,326.744,498.051,401.266,505.534,488.579,572.755,605.329,372.661,509.408,503.313,0,509.107,514.344,530.525,305.61,357.112,503.822,577.331,608.461,476.298,499.187,506.635,514.182,328.717,358.68,454.022,286.839,517.939,659.954,501.206,658.901,254.354,195.983,343.064,518.91,494.028,334.278,488.568,503.867, 
La Partida,355.462,43.463,31.105,194.713,31.303,35.814,26.673,391.776,37.824,26.696,277.14,50.362,25.59,69.954,150.157,157.379,10.813,12.317,509.107,0,59.74,25.929,312.341,363.843,27.802,206.811,385.769,82.697,276.495,38.253,36.871,41.204,365.411,60.519,76.765,14.451,405.073,25.328,153.196,255.327,324.604,54.042,15.343,32.465,341.009,21.992,15.37, 
