LOCALIDADES,Cala Sur,San Isidro,Amixtln,Tlacotepec (San Mateo),Zoatecpan,Coahuixco,Xaltepec,El Mirador,Ahueyahualco,Chicahuaxtla,San Juan Tahitic,Xonocuautla,Chapopote Nez,Espinal,Xochitln de Vicente Surez,Juan Marcos (San Jos Buenavista),Ocotln de Betancourt,Colonias Pedernales,Oyameles,Ayotoxco de Guerrero,Plan de Arroyos,Tzinacapan,La Libertad,General Lzaro Crdenas del Ro,Xoloateno,Nautla,San Francisco,Mecapalapa,Coahuitln,Jicolapa,Los Molinos (San Jos),Zozocolco de Hidalgo,Comaltepec,Las Colonias de Hidalgo,Arroyo del Maz Uno,Las Lomas,Ixtepec,Villa Aldama,Chicontla,Colonia Libertad,Entabladero,Chiconcuautla,Atzingo (La Cumbre),San Jos Acateno,San Francisco,San Andrs Payuca,Caxhuacan,Tepango de Rodrguez,Sosa,Huitzilan,Xaltepuxtla,Estero del dolo,Felipe Carrillo Puerto,La Palmilla,Metlaltoyuca,San Sebastin,Zacate Colorado,El Chote,Coxquihui,San Antonio Limn (Totalco),San Miguel Tenextatiloyan,Tacopan,Cazones de Herrera,Zongozotla,Tatoxcac,Castillo de Teayo,Ciudad de Tetela de Ocampo,Xalacapan,Teteles de Avila Castillo,San Juan Acateno,Yaonhuac,Tecolutla,Puntilla Aldama,Xaltipan,Mecatln,Atoluca,Hueytamalco,Agua Dulce,Ciudad de Cuetzalan,Hueyapan,Venustiano Carranza,Atempan,San Rafael,Tenango de las Flores,Totolapa,Nuevo Necaxa,San Juan Xiutetelco,Zacapoaxtla,Coyutla,Santiago de la Pea,Villa vila Camacho (La Ceiba),Ciudad de Tlatlauquitepec,Zaragoza,Chignautla,Plan de Ayala,Villa Lzaro Crdenas (La Uno),Filomeno Mata,Jalacingo,Gutirrez Zamora,Tihuatln,Alto Lucero,Independencia,Altotonga,lamo,Zacatln,Coatzintla,Tlapacoyan,Perote,Xicotepec de Jurez,Papantla de Olarte,Teziutln,Martnez de la Torre,Txpam de Rodrguez Cano,Poza Rica de Hidalgo, 
San Juan Tahitic,51.241,60.489,77.464,83.552,21.836,54.643,166.731,28.461,93.375,173.88,0,35.655,189.136,98.85,32.315,97.732,26.699,118.368,40.443,73.96,117.239,41.211,32.204,137.321,60.184,159.208,71.697,190.692,109.55,118.036,86.203,60.847,14.694,163.286,142.794,21.633,55.693,93.263,146.685,99.548,96.862,178.444,118.878,116.281,192.258,59.765,65.99,61.611,57.487,33.091,165.813,182.485,132.347,105.496,196.152,67.831,125.76,113.62,79.925,91.345,35.568,49.532,163.662,41.926,15.106,167.331,58.33,9.043,43.933,68.453,44.696,169.302,140.984,72.636,110.553,66.629,89.572,121.961,38.991,47.82,143.02,46.674,143.272,161.422,136.012,158.939,72.563,11.179,97.117,182.859,163.429,32.749,29.452,57.431,133.661,125.207,111.491,75.201,158.136,154.818,190.189,117.11,88.516,185.503,115.082,132.559,95.928,79.592,170.783,128.894,63.479,118.092,187.922,138.199, 
Xonocuautla,17.346,22.901,97.125,103.213,41.497,20.749,237.826,7.083,52.375,244.975,35.655,0,209.267,88.214,52.03,59.949,9.3,80.584,17.23,63.422,79.455,60.926,12.638,157.452,24.523,121.424,33.914,280.35,129.265,189.423,58.037,80.561,24.824,230.98,156.022,24.923,75.408,65.097,258.415,61.765,116.577,246.138,190.266,82.977,313.968,40.199,85.704,81.326,19.737,52.806,233.507,202.616,94.563,67.712,216.283,30.371,145.475,129.367,99.64,63.179,16.001,23.993,179.435,61.641,24.587,187.462,56.006,28.423,18.394,30.827,19.157,158.826,103.2,28.885,130.268,29.003,51.788,126.539,58.705,22.281,162.735,21.135,105.488,229.116,156.143,226.633,34.78,25.29,116.832,202.99,265.386,7.053,6.107,31.892,153.792,144.922,131.206,37.418,147.659,174.949,210.32,79.326,50.733,205.634,186.47,145.221,58.144,51.426,238.477,134.731,25.695,80.308,208.053,153.973, 
Chapopote Nez,190.362,188.145,219.571,222.733,170.835,182.477,140.128,209.056,198.357,147.277,189.136,209.267,0,100.543,151.48,210.461,199.631,153.154,213.376,125.412,195.259,150.517,205.137,51.832,180.149,147.406,194.137,83.977,118.414,183.529,224.891,117.023,186.56,136.269,63.353,194.348,146.64,215.469,148.266,212.278,93.231,159.545,189.796,136.355,92.148,315.34,133.808,163.734,181.071,166.628,138.796,7.06,144.688,162.488,35.696,171.343,63.449,81.047,110.04,236.572,208.501,187.479,78.329,170.599,188.3,28.737,222.181,179.96,192.814,168.726,184.173,113.627,148.989,195.076,119.417,181.023,157.994,88.161,149.653,181.343,74.019,190.254,157.1,134.405,54.719,131.922,188.485,183.64,105.981,38.16,149.544,195.076,202.385,179.392,55.301,86.453,120.355,186.82,102.461,35.716,29.32,151.896,201.245,4.308,186.002,63.768,172.074,224.511,127.504,78.082,184.932,150.685,37.638,60.418, 
Espinal,77.001,74.56,96.008,102.096,80.549,77.303,135.338,85.869,94.735,142.487,98.85,88.214,100.543,0,84.027,107.099,89.552,66.888,94.239,24.847,91.075,60.406,99.386,53.007,75.171,104.474,79.762,106.378,42.849,190.296,121.529,33.407,96.449,130.314,51.578,104.237,63.024,112.107,72.871,108.916,17.057,153.59,196.563,42.119,139.996,126.947,50.192,80.118,76.093,83.012,132.841,98.171,87.1,74.201,111.838,66.365,46.612,20.723,26.423,133.21,102.75,72.823,74.99,86.983,98.189,83.017,123.241,89.849,70.252,63.748,69.151,70.695,88.639,80.701,43.852,77.661,54.632,23.354,59.542,66.321,63.872,72.49,97.544,128.305,51.698,126.944,85.123,93.529,30.416,98.545,89.615,80.054,93.355,74.414,49.347,65.895,44.79,83.458,59.529,70.504,105.875,65.63,97.883,101.189,192.769,40.776,68.258,121.149,115.984,30.287,70.388,65.146,103.608,49.528, 
Xochitln de Vicente Surez,67.614,76.862,55.389,61.477,11.631,71.016,157.174,44.834,109.748,164.323,32.315,52.03,151.48,84.027,0,114.036,43.002,126.525,56.746,59.202,125.396,26.453,48.507,100.08,76.488,172.628,88.001,153.451,72.309,76.393,102.506,34.618,29.931,152.386,105.553,37.719,33.584,109.566,109.444,115.852,59.621,98.169,82.425,101.523,155.017,76.068,39.761,39.502,73.791,18.588,154.913,145.244,140.504,113.653,158.911,84.135,88.519,84.071,42.684,107.648,51.871,65.836,126.421,25.356,31.671,130.09,53.726,23.331,60.237,84.757,61,131.227,149.141,88.94,73.312,82.933,88.954,107.203,24.233,64.124,105.779,62.978,151.429,150.377,98.771,149.016,88.867,27.011,59.876,145.618,126.188,49.053,45.755,73.735,96.42,87.966,74.25,91.505,120.061,117.577,152.948,125.267,104.82,148.262,74.18,95.318,102.579,95.895,138.056,90.819,79.783,126.249,150.681,100.958, 
Juan Marcos (San Jos Buenavista),51.154,37.506,236.635,241.416,103.575,43.269,254.459,69.848,15.079,261.608,97.732,59.949,210.461,107.099,114.036,0,73.884,68.059,74.404,74.708,52.36,110.135,83.719,151.307,41.492,108.899,22.542,204.678,132.806,206.538,22.791,101.48,87.308,248.095,149.877,87.407,131.925,13.369,275.53,7.138,120.118,263.253,207.381,69.536,238.296,65.268,119.093,143.81,39.677,115.29,250.622,196.471,82.038,55.187,210.138,42.584,153.055,123.222,103.181,37.108,86.79,48.822,173.29,124.125,87.072,181.317,120.585,90.907,54.157,42.119,56.968,146.301,90.675,28.516,133.809,34.216,45.643,120.394,109.271,57.968,170.315,51.597,92.963,246.231,149.998,243.748,25.175,87.774,120.373,196.845,282.501,64.386,61.578,40.735,147.647,172.338,134.747,23.053,135.134,168.804,204.175,66.801,10.412,199.489,203.585,139.076,44.803,27.604,255.592,128.586,35.685,67.783,201.908,147.828, 
Ocotln de Betancourt,26.984,36.231,88.169,94.257,32.541,30.386,235.46,3.628,69.118,242.609,26.699,9.3,199.631,89.552,43.002,73.884,0,94.112,17.187,64.705,92.983,51.969,10.271,148.079,35.928,134.952,47.441,277.983,120.308,187.056,59.847,71.605,15.867,228.613,159.439,15.966,66.451,66.907,256.048,75.292,107.62,243.771,187.899,86.394,311.601,37.832,76.748,72.369,33.231,43.849,231.14,193.243,108.091,81.24,206.91,43.575,136.518,132.784,90.683,64.989,13.634,25.276,182.852,52.684,15.631,178.089,53.639,19.467,19.677,44.197,20.44,172.354,116.728,48.38,121.311,42.373,65.316,129.956,49.749,23.564,153.778,22.418,119.016,226.749,146.77,224.266,48.307,16.333,107.875,193.617,263.019,8.493,4.239,33.175,144.419,135.965,122.249,50.945,161.187,165.576,200.947,92.854,64.26,196.261,184.103,148.638,71.672,53.236,236.11,138.148,39.223,93.836,198.68,157.39, 
Colonias Pedernales,71.79,59.462,157.614,163.702,122.982,63.905,191.837,90.484,63.294,198.986,118.368,80.584,153.154,66.888,126.525,68.059,94.112,0,86.275,66.819,31.979,102.246,102.283,101.59,60.056,44.227,64.146,173.29,124.917,247.022,90.389,93.591,105.872,187.04,100.16,105.971,124.036,80.967,193.473,75.726,83.532,210.316,253.289,25.003,206.908,129.844,111.204,141.13,60.978,133.854,189.567,165.196,18.321,14.355,178.863,57.735,103.338,73.505,95.292,102.07,105.647,67.386,131.358,150.58,105.636,150.042,145.651,109.471,72.721,57.27,75.532,82.584,26.958,65.085,125.92,51.031,37.753,70.677,101.382,76.532,120.598,70.161,29.246,185.031,100.281,183.67,58.494,106.338,112.484,156.594,194.751,82.95,96.252,59.299,97.93,122.621,126.858,56.829,71.417,137.529,163.924,1.324,63.07,168.214,249.495,89.359,23.941,90.009,172.71,78.869,54.94,4.099,161.657,98.111, 
Oyameles,26.722,32.166,101.913,108.001,46.285,25.223,227.973,20.379,66.471,235.122,40.443,17.23,213.376,94.239,56.746,74.404,17.187,86.275,0,82.069,86.919,65.003,12.935,161.113,31.987,128.888,39.347,268.847,133.342,177.92,54.001,84.638,28.901,219.477,163.486,26.525,79.485,61.061,246.912,67.325,120.654,234.635,178.763,90.441,302.465,28.695,89.781,85.403,30.361,56.883,222.004,206.277,102.027,75.176,219.944,37.835,149.552,136.831,103.717,59.143,11.307,25.176,186.899,65.718,28.664,191.123,51.046,32.5,37.041,38.291,37.804,166.29,110.664,37.825,134.345,36.467,59.252,134.003,62.782,40.928,166.812,22.021,112.952,217.613,159.804,215.13,41.219,29.367,120.909,206.651,253.883,25.857,13.963,28.115,157.453,148.999,135.283,43.857,155.123,178.61,213.981,86.79,57.172,209.295,174.967,152.685,65.608,47.39,226.974,142.195,33.159,87.772,211.714,161.437, 
Ayotoxco de Guerrero,52.209,49.768,90.291,96.379,55.659,52.511,143.292,61.077,69.943,150.441,73.96,63.422,125.412,24.847,59.202,74.708,64.705,66.819,82.069,0,66.284,35.517,73.453,77.612,50.38,113.384,54.971,130.983,58.188,111.291,96.738,26.862,71.56,138.265,76.183,79.348,57.306,87.316,95.323,84.125,45.5,161.541,117.323,42.41,164.601,101.014,44.474,74.4,51.302,73.113,140.792,122.776,81.392,54.541,136.443,41.574,69.149,49.528,28.563,108.419,76.817,46.89,99.595,83.851,73.3,107.622,98.352,64.96,44.319,38.957,43.218,95.3,90.029,55.91,59.191,52.87,29.841,47.959,34.653,40.388,86.409,46.557,92.317,136.256,76.303,134.895,60.332,68.64,45.755,123.15,112.067,54.121,67.422,49.623,73.952,73.845,60.129,58.667,84.134,95.109,130.48,66.155,73.092,125.794,109.078,65.381,43.467,96.358,123.935,54.892,45.597,67.137,128.213,74.133, 
