LOCALIDADES,Cala Sur,San Isidro,Amixtln,Tlacotepec (San Mateo),Zoatecpan,Coahuixco,Xaltepec,El Mirador,Ahueyahualco,Chicahuaxtla,San Juan Tahitic,Xonocuautla,Chapopote Nez,Espinal,Xochitln de Vicente Surez,Juan Marcos (San Jos Buenavista),Ocotln de Betancourt,Colonias Pedernales,Oyameles,Ayotoxco de Guerrero,Plan de Arroyos,Tzinacapan,La Libertad,General Lzaro Crdenas del Ro,Xoloateno,Nautla,San Francisco,Mecapalapa,Coahuitln,Jicolapa,Los Molinos (San Jos),Zozocolco de Hidalgo,Comaltepec,Las Colonias de Hidalgo,Arroyo del Maz Uno,Las Lomas,Ixtepec,Villa Aldama,Chicontla,Colonia Libertad,Entabladero,Chiconcuautla,Atzingo (La Cumbre),San Jos Acateno,San Francisco,San Andrs Payuca,Caxhuacan,Tepango de Rodrguez,Sosa,Huitzilan,Xaltepuxtla,Estero del dolo,Felipe Carrillo Puerto,La Palmilla,Metlaltoyuca,San Sebastin,Zacate Colorado,El Chote,Coxquihui,San Antonio Limn (Totalco),San Miguel Tenextatiloyan,Tacopan,Cazones de Herrera,Zongozotla,Tatoxcac,Castillo de Teayo,Ciudad de Tetela de Ocampo,Xalacapan,Teteles de Avila Castillo,San Juan Acateno,Yaonhuac,Tecolutla,Puntilla Aldama,Xaltipan,Mecatln,Atoluca,Hueytamalco,Agua Dulce,Ciudad de Cuetzalan,Hueyapan,Venustiano Carranza,Atempan,San Rafael,Tenango de las Flores,Totolapa,Nuevo Necaxa,San Juan Xiutetelco,Zacapoaxtla,Coyutla,Santiago de la Pea,Villa vila Camacho (La Ceiba),Ciudad de Tlatlauquitepec,Zaragoza,Chignautla,Plan de Ayala,Villa Lzaro Crdenas (La Uno),Filomeno Mata,Jalacingo,Gutirrez Zamora,Tihuatln,Alto Lucero,Independencia,Altotonga,lamo,Zacatln,Coatzintla,Tlapacoyan,Perote,Xicotepec de Jurez,Papantla de Olarte,Teziutln,Martnez de la Torre,Txpam de Rodrguez Cano,Poza Rica de Hidalgo, 
Tepango de Rodrguez,96.91,106.158,15.888,21.976,47.538,100.312,109.986,74.13,139.044,117.135,61.611,81.326,163.734,80.118,39.502,143.81,72.369,141.13,85.403,74.4,139.443,65.246,77.874,112.081,106.322,176.954,116.423,154.404,84.321,36.893,129.809,46.633,59.511,104.963,116.203,67.085,25.277,138.907,132.815,146.107,71.806,58.669,42.924,116.602,188.023,106.483,37.378,0,103.07,28.525,106.471,157.26,155.705,128.854,170.927,113.414,100.535,96.087,54.7,136.927,81.15,95.115,138.437,32.496,60.95,142.106,33.774,52.61,89.516,114.036,90.279,143.243,164.342,118.219,85.328,112.212,104.155,103.362,63.027,93.403,117.795,92.257,166.63,102.08,110.787,99.597,118.146,56.29,71.892,157.634,138.35,78.332,75.034,103.014,108.436,99.982,86.266,120.784,132.077,129.593,164.964,140.468,134.099,160.278,34.679,107.334,117.78,125.174,111.441,102.835,109.062,141.45,162.697,112.974, 
Sosa,10.91,2.46,118.958,125.046,63.33,3.024,268.256,29.603,28.52,275.405,57.487,19.737,181.071,76.093,73.791,39.677,33.231,60.978,30.361,51.302,59.291,82.67,43.066,129.418,4.926,102.268,12.81,182.496,109.397,220.557,53.909,78.073,46.655,263.233,130.485,46.754,97.15,45.167,204.734,41.974,94.499,286.508,222.131,55.042,216.115,71.676,95.689,103.07,0,74.297,263.596,174.683,76.741,49.89,188.35,12.225,131.267,101.434,79.841,61.114,46.09,7.829,151.502,83.132,46.079,159.529,86.094,49.914,13.164,12.847,15.975,141.004,85.378,11.253,110.469,11.023,33.966,98.606,80.196,16.975,148.527,10.604,87.666,259.205,128.21,256.722,14.796,46.781,97.033,175.057,222.68,23.393,36.695,1.781,125.859,150.55,111.407,17.434,129.837,147.016,182.387,61.504,30.749,177.701,216.559,117.288,40.322,49.361,200.639,106.798,7.873,62.486,180.12,126.04, 
Huitzilan,68.39,77.638,44.413,50.501,19.018,71.792,138.511,45.61,110.524,145.66,33.091,52.806,166.628,83.012,18.588,115.29,43.849,133.854,56.883,73.113,132.167,40.363,49.354,114.975,77.802,179.848,87.903,136.898,87.215,65.418,101.289,49.527,30.991,133.488,119.097,38.565,22.605,110.387,124.35,117.587,74.7,87.194,71.449,115.314,169.929,77.963,33.759,28.525,74.297,0,134.996,160.155,149.406,122.555,173.822,84.89,103.43,98.982,57.595,108.403,52.626,66.591,141.332,8.841,32.426,145.001,54.19,24.086,60.992,85.512,61.755,146.138,158.043,89.695,88.223,83.688,102.86,106.257,38.139,64.879,120.69,63.733,160.331,130.605,113.682,128.122,89.622,27.766,74.787,160.529,166.875,49.808,46.51,74.49,111.331,102.877,89.161,92.26,134.972,132.488,167.859,134.169,105.575,163.173,63.204,110.229,112.987,96.65,139.966,105.73,80.538,135.151,165.592,115.869, 
Xaltepuxtla,257.688,266.936,106.242,109.404,152.436,261.091,5.691,234.332,245.246,12.004,165.813,233.507,138.796,132.841,154.913,250.622,231.14,189.567,222.004,140.792,219.103,153.71,224.112,101.747,267.101,203.057,257.921,72.334,121.605,70.056,237.761,120.216,163.713,2.527,105.87,152.514,131.747,244.409,29.242,243.517,116.259,21.49,76.322,172.778,105.953,201.733,137.002,106.471,263.596,134.996,0,130.98,180.873,198.674,144.647,207.529,90.2,117.232,113.237,238.441,222.797,257.804,132.305,139.985,163.608,115.826,108.804,155.268,252.205,204.912,252.968,167.603,202.965,257.545,55.544,217.209,194.18,124.347,152.85,256.092,74.041,254.946,211.076,4.745,108.963,7.14,266.621,158.948,109.178,131.243,44.076,241.02,229.126,265.703,98.1,66.999,51.082,264.5,156.437,103.313,138.573,188.082,251.982,133.998,72.625,99.954,208.26,234.719,17.167,120.302,221.118,186.871,136.306,102.638, 
Estero del dolo,183.711,181.494,212.92,216.082,164.184,175.826,133.477,202.405,191.706,140.626,182.485,202.616,7.06,98.171,145.244,196.471,193.243,165.196,206.277,122.776,194.732,144.041,198.748,45.344,175.372,140.144,178.002,78.162,111.936,176.734,209.637,110.547,180.384,128.454,56.507,187.959,142.048,201.962,124.724,198.769,86.755,151.729,183,129.965,99.119,308.411,127.333,157.26,174.683,160.155,130.98,0,140.072,157.872,35.761,166.727,58.833,76.431,105.424,231.956,203.885,182.863,78.018,165.983,183.684,23.585,217.565,175.344,188.198,164.11,179.557,113.316,148.678,190.46,114.801,176.407,153.378,83.545,145.037,176.727,69.403,185.638,156.789,129.789,50.103,127.306,183.869,179.024,101.365,35.85,144.928,190.46,197.769,174.776,50.686,81.837,115.739,182.204,102.15,31.1,37.742,147.28,196.629,4.517,181.386,59.152,167.458,219.895,122.888,73.466,180.316,146.069,40.914,55.802, 
Felipe Carrillo Puerto,85.769,73.441,171.593,177.681,136.961,77.884,183.37,104.463,77.273,190.519,132.347,94.563,144.688,87.1,140.504,82.038,108.091,18.321,102.027,81.392,47.857,116.818,117.926,93.035,77.43,37.695,69.949,146.113,123.506,237.471,95.204,108.163,121.515,178.347,94.102,121.614,140.493,87.529,168.35,84.336,97.715,201.622,243.737,37.23,179.732,146.536,125.778,155.705,76.741,149.406,180.873,140.072,0,38.414,164.697,81.794,115.355,75.891,119.351,126.129,129.706,91.445,117.192,174.639,129.695,135.876,169.71,133.53,96.78,81.329,99.591,68.418,9.531,89.144,135.352,75.09,61.812,73.062,125.441,100.591,136.336,94.22,11.82,209.552,110.083,207.069,82.553,130.397,121.916,142.428,210.49,107.009,120.311,83.358,107.732,138.359,136.29,80.888,57.251,123.363,149.758,27.822,87.129,154.048,261.149,91.744,48,114.068,188.449,85.078,78.999,26.611,147.491,111.852, 
La Palmilla,58.918,46.59,144.742,150.83,110.11,51.033,201.171,77.612,50.422,208.32,105.496,67.712,162.488,74.201,113.653,55.187,81.24,14.355,75.176,54.541,33.696,89.967,91.075,110.835,50.579,55.645,43.098,163.913,112.636,251.432,68.353,81.312,94.664,196.148,111.902,94.763,113.642,60.678,186.151,57.485,90.62,219.423,253.006,32.092,197.532,119.685,98.927,128.854,49.89,122.555,198.674,157.872,38.414,0,188.333,44.32,112.808,82.975,81.877,88.655,92.232,53.971,140.828,137.165,92.221,159.512,132.236,96.056,59.306,43.855,62.117,92.054,36.428,51.67,112.505,37.616,24.338,80.147,87.967,63.117,130.068,56.746,38.716,194.501,109.751,193.14,45.079,92.923,99.069,166.064,204.221,69.535,82.837,45.884,107.4,132.091,113.443,43.414,80.887,146.999,173.394,12.554,49.655,177.684,255.132,98.829,10.526,76.594,182.18,88.339,41.525,13.536,171.127,107.581, 
Metlaltoyuca,197.378,195.161,226.587,229.749,177.851,189.493,147.144,216.072,205.373,154.293,196.152,216.283,35.696,111.838,158.911,210.138,206.91,178.863,219.944,136.443,208.399,157.708,212.415,59.011,189.039,153.811,191.669,91.829,125.603,190.401,223.304,124.214,194.051,142.121,70.174,201.626,155.715,215.629,138.391,212.436,100.422,165.396,196.667,143.632,127.755,322.078,141,170.927,188.35,173.822,144.647,35.761,164.697,188.333,0,178.443,70.549,88.147,117.14,243.672,215.601,194.579,85.43,177.699,195.4,29.038,229.282,187.06,199.914,175.826,191.273,120.728,156.09,202.176,126.517,188.123,165.094,95.261,156.753,188.443,81.12,197.354,164.201,141.506,61.82,139.023,195.585,190.74,113.081,76.888,156.645,202.176,209.485,186.492,62.402,93.553,127.455,193.92,109.562,42.817,65.411,158.996,208.345,32.678,193.103,70.868,179.174,231.611,134.605,85.182,192.032,157.785,73.729,67.518, 
San Sebastin,21.253,11.712,129.302,135.39,73.674,13.368,210.026,39.947,37.818,217.175,67.831,30.371,171.343,66.365,84.135,42.584,43.575,57.735,37.835,41.574,56.048,77.001,53.41,119.69,12.914,99.025,18.508,172.768,99.669,230.901,55.749,68.345,56.999,205.003,120.757,57.098,100.676,48.074,195.006,44.881,84.771,228.278,232.475,45.314,206.387,82.02,85.961,113.414,12.225,84.89,207.529,166.727,81.794,44.32,178.443,0,121.412,91.579,69.986,69.127,50.214,18.816,141.647,87.257,50.204,149.674,90.219,54.039,24.151,2.377,16.615,112.383,80.77,17.92,100.614,8.044,29.358,88.751,76.076,13.785,138.672,21.591,83.058,203.105,118.355,201.744,17.847,50.906,87.178,165.202,212.825,27.518,40.819,10.729,116.004,140.695,101.552,15.627,101.216,137.161,172.532,56.896,33.8,167.846,220.683,107.433,35.714,45.428,190.784,96.943,7.607,57.878,170.265,116.185, 
Zacate Colorado,140.295,138.078,116.423,186.145,107.459,132.41,92.697,138.279,148.29,99.846,125.76,145.475,63.449,46.612,88.519,153.055,136.518,103.338,149.552,69.149,132.874,87.316,142.023,11.796,131.956,104.469,134.586,64.874,55.211,146.797,166.221,53.822,123.659,87.674,15.919,131.234,85.323,158.546,77.677,155.353,30.03,110.949,153.063,86.549,98.493,170.632,70.608,100.535,131.267,103.43,90.2,58.833,115.355,112.808,70.549,121.412,0,31.003,46.839,186.529,145.3,137.436,38.15,107.398,125.099,41.819,186.306,116.759,117.976,118.683,116.875,70.684,106.047,145.033,56.216,130.98,107.951,38.118,86.452,114.045,21.23,140.211,114.158,85.664,10.5,84.303,138.442,120.439,42.78,57.347,95.384,127.778,139.184,129.349,8.149,23.253,57.154,136.777,59.518,29.306,64.677,101.853,151.202,59.991,150.127,13.725,122.031,174.468,73.343,30.351,134.889,100.642,62.41,12.687, 
El Chote,110.462,108.245,111.975,118.063,95.319,102.577,119.729,129.156,118.457,126.878,113.62,129.367,81.047,20.723,84.071,123.222,132.784,73.505,136.831,49.528,103.041,75.176,142.619,29.394,102.123,81.227,104.753,82.472,58.815,173.83,136.388,49.374,111.519,114.706,30.795,119.094,80.875,128.713,104.709,125.52,33.024,137.981,180.096,56.716,116.091,171.229,66.16,96.087,101.434,98.982,117.232,76.431,75.891,82.975,88.147,91.579,31.003,0,42.39,156.933,138.133,107.84,51.475,102.95,112.961,59.502,138.013,104.621,113.175,89.087,104.534,47.514,66.588,115.437,59.819,101.384,78.355,8.523,74.314,101.704,48.5,110.615,75.493,112.933,28.183,111.572,108.846,108.301,46.383,75.03,122.653,115.437,128.738,99.753,25.832,50.523,60.757,107.181,36.348,46.989,82.36,72.258,121.606,77.674,177.397,17.261,92.436,144.872,100.612,7.106,105.293,71.047,80.093,26.013, 
Coxquihui,78.827,78.241,70.588,76.676,61.624,80.984,115.734,92.444,98.416,122.883,79.925,99.64,110.04,26.423,42.684,103.181,90.683,95.292,103.717,28.563,93.605,41.481,96.188,58.387,80.53,123.259,84.712,80.31,30.627,91.593,116.347,7.987,77.824,110.711,62.509,85.399,39.488,108.672,67.762,105.479,18.112,133.986,97.624,70.765,113.341,124.797,24.773,54.7,79.841,57.595,113.237,105.424,119.351,81.877,117.14,69.986,46.839,42.39,0,136.892,99.465,74.712,84.741,61.563,79.264,88.41,104.316,70.924,72.141,67.429,71.04,89.546,108.62,84.382,31.632,81.343,58.314,49.665,40.617,68.21,64.099,74.379,120.789,108.697,57.091,107.336,88.805,74.604,18.196,103.938,84.508,81.943,93.349,78.095,54.74,46.286,32.57,87.14,78.38,75.897,111.268,94.627,101.565,106.582,89.376,53.638,71.939,124.831,96.376,49.138,74.069,95.609,109.001,59.278, 
San Antonio Limn (Totalco),69.759,49.003,223.114,227.895,97.187,62,240.938,68.181,31.732,248.087,91.345,63.179,236.572,133.21,107.648,37.108,64.989,102.07,59.143,108.419,87.964,116.528,77.343,184.919,68.926,143.36,42.324,285.356,166.515,193.239,18.09,135.191,80.513,235.915,185.986,91.276,131.007,27.188,263.767,30.003,151.617,259.19,194.813,110.543,318.975,52.683,141.306,136.927,61.114,108.403,238.441,231.956,126.129,88.655,243.672,69.127,186.529,156.933,136.892,0,55.947,90.954,215.022,114.032,76.978,318.35,89.742,80.814,85.355,83.85,86.118,188.033,132.407,54.853,175.541,75.947,87.375,162.126,111.096,89.242,283.062,88.096,134.695,222.435,191.73,219.952,66.906,77.681,162.105,333.767,258.705,74.17,62.276,77.636,189.379,280.367,176.479,64.785,176.866,305.837,341.097,108.533,52.267,336.522,179.789,180.808,86.535,28.337,231.796,170.318,77.416,109.515,338.83,189.56, 
San Miguel Tenextatiloyan,40.182,49.43,97.038,103.126,41.41,43.585,225.294,16.826,82.317,232.443,35.568,16.001,208.501,102.75,51.871,86.79,13.634,105.647,11.307,76.817,103.96,60.751,6.606,156.848,49.595,146.937,59.696,269.712,129.088,99.882,73.929,80.212,24.736,220.271,160.97,20.539,75.23,80.577,248.123,79.685,114.19,243.546,101.456,91.743,303.331,28.713,85.529,81.15,46.09,52.626,222.797,203.885,129.706,92.232,215.601,50.214,145.3,138.133,99.465,55.947,0,38.719,183.533,61.797,24.743,187.202,41.161,28.579,33.12,57.64,33.883,185.797,130.171,61.823,130.424,55.816,78.759,143.399,58.861,37.007,162.891,35.861,132.459,212.871,155.883,210.388,61.75,25.446,116.988,202.73,249.141,21.936,10.042,46.618,153.532,145.078,131.362,64.388,174.63,174.689,210.06,106.297,77.703,205.374,170.225,162.081,85.115,66.771,222.232,151.591,52.666,107.279,207.793,158.07, 
Tacopan,1.445,11.169,111.003,117.091,55.375,5.324,260.301,21.648,44.056,267.45,49.532,23.993,187.479,72.823,65.836,48.822,25.276,67.386,25.176,46.89,65.699,74.715,35.111,135.826,11.333,108.676,21.435,188.904,104.335,212.602,59.931,73.011,38.7,255.278,136.893,38.799,89.195,54.312,141.47,51.119,89.437,278.553,214.176,61.45,222.523,63.721,99.493,95.115,7.829,66.591,257.804,182.863,91.445,53.971,194.579,18.816,137.436,107.84,74.712,90.954,38.719,0,159.345,75.637,38.584,167.372,78.599,42.419,5.669,20.69,8.481,148.847,93.221,24.873,107.867,18.866,41.809,106.449,72.701,9.48,156.37,3.109,95.509,251.71,136.053,249.227,24.8,39.286,94.431,182.9,287.98,15.898,29.2,9.668,133.702,158.393,108.805,27.438,137.68,154.859,190.23,69.347,40.753,185.544,209.064,125.131,48.165,56.821,261.071,114.641,15.716,70.329,187.963,133.883, 
Cazones de Herrera,160.53,158.313,214.245,217.407,145.361,152.645,134.802,179.224,168.525,141.951,163.662,179.435,78.329,74.99,126.421,173.29,182.852,131.358,186.899,99.595,160.894,125.218,179.925,32.569,152.191,106.306,154.821,79.487,93.113,178.059,186.456,91.724,161.561,129.779,29.37,169.136,123.225,178.781,115.578,175.588,67.932,153.054,184.325,106.784,113.106,208.534,108.51,138.437,151.502,141.332,132.305,78.018,117.192,140.828,85.43,141.647,38.15,51.475,84.741,215.022,183.533,159.345,0,144.194,161.895,52.281,213.733,153.555,163.249,139.161,154.608,72.064,107.426,165.511,93.012,151.458,128.429,58.596,123.248,151.778,58.026,160.689,115.537,125.957,31.16,123.474,158.92,157.235,79.576,40.499,132.18,165.511,175.98,149.827,29.422,60.049,93.95,157.255,60.898,39.768,49.025,129.648,171.68,70.453,177.554,34.203,149.826,194.946,110.139,48.224,155.367,128.437,46.758,28.166, 
Zongozotla,77.225,86.473,48.384,54.472,27.853,80.627,142.482,54.445,119.359,149.631,41.926,61.641,170.599,86.983,25.356,124.125,52.684,150.58,65.718,83.851,148.893,51.1,58.189,118.946,86.637,183.819,96.738,140.869,91.186,69.389,110.124,53.498,39.826,137.459,123.068,47.4,26.576,119.222,128.321,126.422,78.671,91.165,75.42,126.052,173.9,86.798,37.73,32.496,83.132,8.841,139.985,165.983,174.639,137.165,177.699,87.257,107.398,102.95,61.563,114.032,61.797,75.637,144.194,0,41.267,148.973,63.031,32.927,69.833,94.353,70.596,150.11,166.884,98.536,92.195,92.529,113.604,110.229,48.883,73.72,124.662,72.574,169.172,134.577,117.654,132.094,98.463,36.607,78.759,164.501,170.847,58.649,55.351,83.331,115.303,106.849,93.133,101.101,138.944,136.46,171.831,143.01,114.416,167.145,67.176,114.201,127.229,105.491,143.938,109.702,89.379,143.992,169.564,119.841, 
Tatoxcac,40.172,49.42,76.838,82.926,21.21,43.574,166.105,17.392,82.306,173.254,15.106,24.587,188.3,98.189,31.671,87.072,15.631,105.636,28.664,73.3,103.949,40.55,21.135,136.647,49.584,146.926,59.685,158.57,108.887,113.669,73.07,60.011,6.516,161.082,140.769,13.455,55.03,82.168,146.022,89.369,93.989,184.357,115.243,91.733,191.601,49.744,65.328,60.95,46.079,32.426,163.608,183.684,129.695,92.221,195.4,50.204,125.099,112.961,79.264,76.978,24.743,38.584,161.895,41.267,0,166.774,57.773,8.909,32.865,57.385,33.628,168.745,129.916,61.568,109.996,55.561,78.504,121.404,38.434,36.752,142.463,35.606,132.204,160.865,135.455,158.382,61.495,6.665,96.56,182.302,162.872,21.681,18.383,46.363,133.104,124.65,110.934,64.133,157.579,154.261,189.632,106.042,77.448,184.946,114.525,132.002,84.86,68.523,170.226,128.337,52.411,107.024,187.365,137.642, 
Castillo de Teayo,168.557,166.34,197.766,200.928,149.03,160.672,118.323,187.251,176.552,125.472,167.331,187.462,28.737,83.017,130.09,181.317,178.089,150.042,191.123,107.622,179.578,128.887,183.594,30.19,160.218,124.99,162.848,63.008,96.782,161.58,194.483,95.393,165.23,113.3,41.353,172.805,126.894,186.808,109.57,183.615,71.601,136.575,167.846,114.811,96.627,293.257,112.179,142.106,159.529,145.001,115.826,23.585,135.876,159.512,29.038,149.674,41.819,59.502,88.41,318.35,187.202,167.372,52.281,148.973,166.774,0,200.499,158.277,171.131,147.043,162.49,91.945,127.307,173.393,97.734,159.34,136.311,66.478,127.97,159.66,52.337,168.571,135.418,112.723,33.037,110.24,166.802,161.957,84.298,48.105,127.862,173.393,180.702,157.709,33.619,64.77,98.672,165.137,80.779,14.034,55.436,130.213,179.562,25.227,164.32,42.085,150.391,202.828,105.822,56.399,163.249,129.002,53.169,38.735, 
Ciudad de Tetela de Ocampo,80.187,89.434,49.661,53.156,44.953,83.589,111.301,56.831,115.209,118.45,58.33,56.006,222.181,123.241,53.726,120.585,53.639,145.651,51.046,98.352,143.964,65.602,46.61,191.756,89.599,186.941,99.7,155.719,133.939,58.865,107.724,83.592,56.23,106.278,202.919,45.031,58.946,114.372,134.13,113.48,119.041,129.553,60.439,140.553,189.338,62.509,71.047,33.774,86.094,54.19,108.804,217.565,169.71,132.236,229.282,90.219,186.306,138.013,104.316,89.742,41.161,78.599,213.733,63.031,57.773,200.499,0,46.604,72.887,97.407,73.65,250.925,169.938,101.59,132.219,95.583,118.526,143.627,60.657,76.774,163.86,75.628,172.226,103.233,192.285,100.75,101.517,50.284,118.783,214.565,139.503,61.703,49.809,86.385,192.867,161.165,133.157,104.155,239.759,186.635,221.895,146.064,117.47,217.32,56.893,194.12,124.882,104.259,112.594,215.647,92.433,147.046,219.628,197.983, 
Xalacapan,44.007,53.255,68.498,74.586,12.87,47.409,157.765,21.227,86.141,164.914,9.043,28.423,179.96,89.849,23.331,90.907,19.467,109.471,32.5,64.96,107.784,32.21,24.971,128.307,53.419,150.761,63.52,150.23,100.547,105.329,76.906,51.671,6.451,152.742,132.429,14.182,46.69,86.004,137.682,93.204,85.649,176.017,106.903,107.161,183.261,53.58,56.988,52.61,49.914,24.086,155.268,175.344,133.53,96.056,187.06,54.039,116.759,104.621,70.924,80.814,28.579,42.419,153.555,32.927,8.909,158.277,46.604,0,36.626,61.146,37.389,160.404,133.677,65.329,101.655,59.322,82.265,113.063,30.093,40.513,134.122,39.367,135.965,152.524,127.114,150.041,65.256,3.401,88.219,173.961,154.531,25.442,22.145,50.124,124.763,116.309,102.593,67.894,149.238,145.92,181.291,109.803,81.209,176.605,106.184,123.661,88.621,72.285,161.885,119.996,56.172,110.785,179.024,129.301, 
Teteles de Avila Castillo,7.256,16.504,105.404,111.492,49.776,10.659,254.702,16.049,49.391,261.851,43.933,18.394,192.814,70.252,60.237,54.157,19.677,72.721,37.041,44.319,71.034,69.116,29.512,141.161,16.669,114.011,26.77,194.239,101.764,207.003,58.816,70.44,33.101,249.679,142.228,33.2,83.596,59.647,138.899,56.454,86.866,272.954,208.577,66.785,227.858,58.122,93.894,89.516,13.164,60.992,252.205,188.198,96.78,59.306,199.914,24.151,117.976,113.175,72.141,85.355,33.12,5.669,163.249,69.833,32.865,171.131,72.887,36.626,0,24.589,2.865,152.746,97.12,28.772,102.69,22.765,45.708,110.348,67.086,4.303,135.157,2.81,99.408,246.094,139.952,243.611,28.699,33.671,89.254,186.799,282.364,10.283,23.584,13.567,137.601,117.344,103.628,31.337,141.579,158.758,194.129,73.246,44.652,189.443,203.448,129.03,52.064,54.734,255.455,118.54,19.615,74.228,191.862,137.782, 
San Juan Acateno,21.875,11.247,129.924,136.012,74.296,13.99,207.409,40.569,37.353,214.558,68.453,30.827,168.726,63.748,84.757,42.119,44.197,57.27,38.291,38.957,55.583,74.384,54.032,117.073,13.536,98.56,18.043,170.151,97.052,231.523,55.284,65.728,57.621,202.386,118.14,57.72,98.059,47.609,192.389,44.416,82.154,225.661,233.097,42.697,203.77,82.642,83.344,114.036,12.847,85.512,204.912,164.11,81.329,43.855,175.826,2.377,118.683,89.087,67.429,83.85,57.64,20.69,139.161,94.353,57.385,147.043,97.407,61.146,24.589,0,16.243,109.894,80.306,17.456,98.125,7.58,20.794,86.262,73.587,13.413,136.183,22.031,82.594,200.616,115.866,199.255,17.383,50.534,84.689,162.713,210.336,27.146,40.447,11.169,113.515,138.206,99.063,15.163,98.727,134.672,170.043,56.432,33.336,165.357,220.311,104.944,35.25,44.964,188.295,94.454,7.143,57.414,167.776,113.696, 
Yaonhuac,10.068,19.316,106.167,112.255,50.539,13.47,255.465,16.812,52.202,262.614,44.696,19.157,184.173,69.151,61,56.968,20.44,75.532,37.804,43.218,73.845,69.879,30.275,132.52,19.48,116.822,29.582,185.598,100.663,207.766,62.092,69.339,33.864,250.442,133.587,33.963,84.359,62.458,137.798,59.265,85.765,273.717,209.34,58.144,219.217,58.885,86.955,90.279,15.975,61.755,252.968,179.557,99.591,62.117,191.273,16.615,116.875,104.534,71.04,86.118,33.883,8.481,154.608,70.596,33.628,162.49,73.65,37.389,2.865,16.243,0,125.337,99.962,31.614,101.668,25.607,48.55,101.705,67.825,3.268,134.135,5.652,102.25,246.833,131.309,244.35,31.541,34.41,88.232,178.156,283.103,11.022,24.323,16.409,128.958,116.322,102.606,34.179,114.17,150.115,185.486,76.088,47.494,180.8,204.187,120.387,54.906,57.576,256.194,109.897,22.457,77.07,183.219,129.139, 
Tecolutla,150.032,137.704,249.543,252.705,151.001,142.147,170.1,168.726,141.536,177.249,169.302,158.826,113.627,70.695,131.227,146.301,172.354,82.584,166.29,95.3,112.12,130.858,182.189,66.762,141.693,57.531,134.212,114.785,125.647,213.357,159.467,96.53,167.201,165.077,67.928,174.776,128.031,151.792,148.112,148.599,100.466,188.352,219.623,72.863,148.404,210.799,113.316,143.243,141.004,146.138,167.603,113.316,68.418,92.054,120.728,112.383,70.684,47.514,89.546,188.033,185.797,148.847,72.064,150.11,168.745,91.945,250.925,160.404,152.746,109.894,125.337,0,59.063,142.607,126.605,128.553,94.675,54.176,120.684,118.024,91.619,126.935,67.173,164.834,65.366,162.351,136.016,154.671,113.169,97.71,165.773,131.757,145.058,116.073,63.015,93.642,127.543,134.351,11.855,78.645,105.04,81.285,140.592,109.33,216.431,59.19,101.463,167.531,143.732,40.361,132.462,80.074,102.773,67.134, 
Puntilla Aldama,94.406,82.078,180.23,288.067,145.598,86.521,205.462,113.1,85.91,212.611,140.984,103.2,148.989,88.639,149.141,90.675,116.728,26.958,110.664,90.029,56.494,125.455,126.563,102.125,86.067,26.197,78.586,150.147,125.045,248.719,103.841,116.8,130.152,200.439,103.29,130.251,149.13,96.166,183.475,92.973,99.254,223.714,254.985,45.867,183.766,155.173,134.415,164.342,85.378,158.043,202.965,148.678,9.531,36.428,156.09,80.77,106.047,66.588,108.62,132.407,130.171,93.221,107.426,166.884,129.916,127.307,169.938,133.677,97.12,80.306,99.962,59.063,0,87.231,126.105,73.177,59.899,63.815,123.528,98.678,127.089,92.307,9.34,200.305,100.836,197.822,80.64,128.484,112.669,133.181,201.243,105.096,118.398,81.445,98.485,129.112,127.043,78.975,48.004,114.116,140.511,25.908,85.216,144.801,251.902,82.497,46.087,112.155,179.202,75.831,77.086,24.697,138.244,102.605, 
Xaltipan,26.058,9.009,134.107,140.195,78.479,18.173,260.042,44.752,17.202,267.191,72.636,28.885,195.076,80.701,88.94,28.516,48.38,65.085,37.825,55.91,58.91,91.337,58.215,143.423,13.915,106.375,2.313,196.501,114.005,212.343,31.093,82.681,61.804,255.019,144.49,61.903,112.299,23.794,218.739,23.346,99.107,278.294,213.917,69.047,230.12,86.825,100.297,118.219,11.253,89.695,257.545,190.46,89.144,51.67,202.176,17.92,145.033,115.437,84.382,54.853,61.823,24.873,165.511,98.536,61.568,173.393,101.59,65.329,28.772,17.456,31.614,142.607,87.231,0,117.108,16.666,28.942,103.693,92.57,29.206,153.614,22.834,82.642,254.02,133.297,251.537,3.573,59.011,103.672,180.144,227.767,35.623,48.925,12.364,130.946,155.637,118.046,6.465,124.813,152.103,187.474,56.48,19.78,182.788,211.374,122.375,35.298,27.158,205.726,111.885,12.445,57.462,185.207,131.127, 
