LOCALIDADES,Ejido Sinaloa (Estacin Kasey),Vias del Sol,Ejido Hechicera,Francisco Zarco (Valle de Guadalupe),Rancho Verde,Michoacn de Ocampo,Los Valles,Poblado Paredones,Lomas del Valle,Real del Castillo Nuevo (Ojos Negros),Parajes del Valle,Nuevo Len,Benito Jurez (Ejido Tecolotes),Cereso del Hongo,Nueva Colonia Hind,Primo Tapia,Ejido Hermosillo,Delta (Estacin Delta),Vicente Guerrero (Algodones),Ingeniero Luis B. Snchez,Ciudad Coahuila (Kilmetro Cincuenta y Siete),Quinta del Cedro,Ampliacin Ejido Plan Libertador,Colonia Venustiano Carranza (La Carranza),Benito Garca (El Zorrillo),Lomas de Santa Anita,Maclovio Rojas,Ciudad Morelos (Cuervos),San Luis,El Sauzal de Rodrguez,El Nio,Villa del Prado,Progreso,Villa del Campo,Puebla,Las Delicias,Ciudad Guadalupe Victoria (Kilmetro Cuarenta y Tres),Villa del Prado 2da Seccin,Terrazas del Valle,Rodolfo Snchez Taboada (Maneadero),La Joya,Santa Isabel,Prticos de San Antonio,El Refugio,Tecate,Playas de Rosarito,San Luis Ro Colorado,Ensenada,Mexicali,Tijuana, 
Vicente Guerrero (Algodones),58.808,88.12,46.341,283.005,322.386,79.715,254.242,24.695,233.131,367.306,225.414,70.475,32.468,176.062,218.043,277.793,37.922,77.24,0,73.705,74.33,257.579,260.173,82.382,342.785,207.512,229.577,17.036,257.32,308.459,228.893,259.373,95.408,222.218,66.073,252.928,71.688,261.984,239.286,334.164,255.5,89.772,254.65,242.775,206.636,278.422,41.398,319.567,81.578,243.936, 
Ingeniero Luis B. Snchez,59.766,86.48,56.416,276.546,315.927,51.12,247.783,63.084,226.672,360.847,218.955,36.91,63.077,169.603,211.584,271.334,54.132,30.172,73.705,0,1.445,252.658,255.252,19.435,337.864,202.591,224.656,62.581,252.399,303.538,223.972,254.452,89.138,217.297,64.051,248.007,18.692,257.063,234.365,329.243,250.579,88.444,249.729,237.854,201.715,273.501,45.091,314.646,75.307,239.015, 
Ciudad Coahuila (Kilmetro Cincuenta y Siete),60.736,87.45,57.386,277.516,316.897,52.09,248.753,63.709,227.642,361.817,219.925,37.88,63.702,170.573,212.554,272.304,54.757,31.142,74.33,1.445,0,253.63,256.224,20.406,338.836,203.563,225.628,63.226,253.371,304.51,224.944,255.424,90.11,218.269,65.022,248.979,19.663,258.035,235.337,330.215,251.551,89.416,250.701,238.826,202.687,274.473,45.736,315.618,76.279,239.987, 
Quinta del Cedro,201.17,175.06,212.704,96.911,101.219,203.227,35.352,233.699,37.874,139.916,49.056,217.812,225.979,93.891,63.4,33.735,242.314,224.175,257.579,252.658,253.63,0,7.983,238.339,120.529,57.121,34.408,245.042,18.549,86.203,40.483,15.587,172.779,47.215,208.524,19.12,244.486,14.945,38.395,111.908,9.138,177.927,4.131,32.525,56.867,11.805,257.811,97.311,187.528,14.383, 
Ampliacin Ejido Plan Libertador,203.764,177.654,215.298,94.15,98.458,205.821,12.635,236.293,33.138,137.155,44.32,220.406,228.573,96.485,65.994,30.974,244.908,226.769,260.173,255.252,256.224,7.983,0,240.882,116.613,59.664,36.951,247.585,13.4,82.287,43.026,11.251,175.322,49.758,211.067,12.453,247.029,9.826,40.938,107.992,8.424,180.47,7.991,35.068,59.41,7.889,260.354,93.395,190.071,16.926, 
Colonia Venustiano Carranza (La Carranza),46.401,69.154,49.702,259.22,298.601,37.755,230.457,58.502,209.346,343.521,201.629,23.544,50.782,152.277,194.258,254.008,51.394,16.807,82.382,19.435,20.406,238.339,240.882,0,320.545,185.272,207.337,65.949,235.08,286.219,206.653,237.133,71.819,199.978,57.111,230.688,12.017,239.744,217.046,311.924,233.26,71.125,232.41,220.535,184.396,256.182,64.53,297.327,57.988,221.696, 
Benito Garca (El Zorrillo),286.376,260.266,297.91,65.594,34.958,288.433,117.2,318.905,135.425,67.877,155.686,303.018,311.185,179.096,130.312,88.546,327.52,309.381,342.785,337.864,338.836,120.529,116.613,320.545,0,141.303,133.035,329.955,133.815,34.73,139.11,135.868,257.692,145.842,293.437,129.424,329.399,123.92,136.862,9.065,121.269,262.84,120.811,131.152,141.494,109.675,342.724,23.722,272.441,129.771, 
Lomas de Santa Anita,151.103,124.993,162.637,77.27,116.652,153.16,49.24,183.632,28.129,161.572,20.412,167.745,175.912,43.823,12.308,72.791,192.247,174.108,207.512,202.591,203.563,57.121,59.664,185.272,141.303,0,26.819,194.68,56.86,106.921,26.135,58.913,122.417,19.46,158.162,52.468,194.124,61.524,38.826,132.626,55.04,127.565,54.19,29.302,3.702,77.962,207.449,118.029,137.166,43.476, 
Maclovio Rojas,173.168,147.058,184.702,102.255,114.607,175.225,23.572,205.697,2.263,153.304,14.874,189.81,197.977,65.888,37.293,47.123,214.312,196.173,229.577,224.656,225.628,34.408,36.951,207.337,133.035,26.819,0,215.251,20.399,98.995,6.761,22.452,142.988,14.47,178.733,16.007,214.695,25.063,3.599,124.7,23.241,148.136,32.84,4.071,25.316,41.501,228.02,110.103,157.737,22.126, 
Ciudad Morelos (Cuervos),41.726,71.038,29.259,265.923,305.304,62.633,237.16,7.613,216.049,350.224,208.332,53.393,15.386,158.98,200.961,260.711,18.44,60.158,17.036,62.581,63.226,245.042,247.585,65.949,329.955,194.68,215.251,0,240.889,292.028,212.462,242.942,78.977,205.787,49.642,236.497,55.257,245.553,222.855,317.733,239.069,73.341,238.219,226.344,190.205,261.991,28.677,303.136,65.147,227.505, 
San Luis,200.911,174.801,212.445,111.079,115.387,202.968,4.549,233.44,22.503,154.084,33.685,217.553,225.72,93.632,63.141,47.903,242.055,223.916,257.32,252.399,253.371,18.549,13.4,235.08,133.815,56.86,20.399,240.889,0,87.424,25.243,4.833,160.493,31.975,196.238,3.929,232.2,2.82,23.155,113.129,7.997,165.641,15.784,17.285,42.822,29.93,245.525,98.532,175.242,14.883, 
